Trade Date,M:04 Y:21
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,27.49
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,27.4
2020-08-13,27.45
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,25.5
2020-08-20,27.05
2020-08-21,27.9
2020-08-24,27.9
2020-08-25,
2020-08-26,28.0
2020-08-27,27.7
2020-08-28,27.21
2020-08-31,27.6
2020-09-01,27.39
2020-09-02,27.89
2020-09-03,27.85
2020-09-04,27.19
2020-09-08,27.43
2020-09-09,27.05
2020-09-10,26.9
2020-09-11,27.0
2020-09-14,27.05
2020-09-15,27.32
2020-09-16,27.55
2020-09-17,28.02
2020-09-18,28.35
2020-09-21,28.6
2020-09-22,29.0
2020-09-23,29.42
2020-09-24,29.1
2020-09-25,28.7
2020-09-28,28.4
2020-09-29,28.1
2020-09-30,28.35
2020-10-01,28.55
2020-10-02,28.9
2020-10-05,28.35
2020-10-06,28.55
2020-10-07,28.35
2020-10-08,27.89
2020-10-09,27.25
2020-10-12,26.95
2020-10-13,27.15
2020-10-14,27.0
2020-10-15,27.15
2020-10-16,27.4
2020-10-19,27.76
2020-10-20,27.7
2020-10-21,27.4
2020-10-22,27.25
2020-10-23,27.35
2020-10-26,28.25
2020-10-27,28.47
2020-10-28,29.6
2020-10-29,29.05
2020-10-30,28.91
2020-11-02,28.37
2020-11-03,27.9
2020-11-04,27.4
2020-11-05,27.34
2020-11-06,26.75
2020-11-09,25.47
2020-11-10,25.45
2020-11-11,25.46
2020-11-12,26.05
2020-11-13,25.44
2020-11-16,25.55
2020-11-17,25.55
2020-11-18,26.15
2020-11-19,26.1
2020-11-20,26.01
2020-11-23,25.85
2020-11-24,25.55
2020-11-25,25.27
2020-11-27,25.35
2020-11-30,25.28
2020-12-01,25.3
2020-12-02,25.32
2020-12-03,25.4
2020-12-04,25.36
2020-12-07,25.55
2020-12-08,25.16
2020-12-09,25.6
2020-12-10,25.85
2020-12-11,26.45
2020-12-14,26.75
2020-12-15,26.31
2020-12-16,26.07
2020-12-17,25.93
2020-12-18,26.05
2020-12-21,26.75
2020-12-22,26.88
2020-12-23,26.1
2020-12-24,25.8
2020-12-28,25.75
2020-12-29,26.45
2020-12-30,26.01
2020-12-31,25.85
2021-01-04,26.8
2021-01-05,26.61
2021-01-06,26.0
2021-01-07,25.71
2021-01-08,25.51
2021-01-11,26.5
2021-01-12,26.27
2021-01-13,25.95
2021-01-14,26.47
2021-01-15,27.15
2021-01-19,26.86
2021-01-20,26.65
2021-01-21,26.75
2021-01-22,26.89
2021-01-25,27.64
2021-01-26,27.65
2021-01-27,30.84
2021-01-28,30.37
2021-01-29,31.5
2021-02-01,30.92
2021-02-02,29.15
2021-02-03,28.18
2021-02-04,27.89
2021-02-05,27.85
2021-02-08,27.85
2021-02-09,28.15
2021-02-10,28.67
2021-02-11,28.81
2021-02-12,28.0
2021-02-16,28.45
2021-02-17,28.63
2021-02-18,28.7
2021-02-19,27.97
2021-02-22,28.36
2021-02-23,27.99
2021-02-24,26.85
2021-02-25,29.68
2021-02-26,28.55
2021-03-01,26.77
2021-03-02,27.05
2021-03-03,27.9
2021-03-04,28.75
2021-03-05,27.28
2021-03-08,27.55
2021-03-09,26.67
2021-03-10,26.38
2021-03-11,25.87
2021-03-12,25.44
2021-03-15,24.1
2021-03-16,24.0
2021-03-17,23.2
2021-03-18,24.16
2021-03-19,23.55
2021-03-22,21.81
2021-03-23,22.6
2021-03-24,22.9
2021-03-25,22.25
2021-03-26,21.45
2021-03-29,21.9
2021-03-30,21.1
2021-03-31,20.75
2021-04-01,19.9
2021-04-05,19.45
2021-04-06,19.65
2021-04-07,18.85
2021-04-08,18.4
2021-04-09,18.45
2021-04-12,18.05
2021-04-13,17.8
2021-04-14,17.88
2021-04-15,17.2
2021-04-16,17.11
2021-04-19,17.65
2021-04-20,18.96
2021-04-21,19.05
