Trade Date,May23
2022-08-22,28.65
2022-08-23,28.56
2022-08-24,28.35
2022-08-25,28.15
2022-08-26,28.85
2022-08-29,28.9
2022-08-30,28.8
2022-08-31,28.72
2022-09-01,29.05
2022-09-02,28.65
2022-09-06,28.85
2022-09-07,28.76
2022-09-08,28.4
2022-09-09,28.05
2022-09-12,28.05
2022-09-13,28.95
2022-09-14,28.95
2022-09-15,28.92
2022-09-16,29.2
2022-09-19,28.97
2022-09-20,28.67
2022-09-21,28.7
2022-09-22,28.85
2022-09-23,29.6
2022-09-26,29.95
2022-09-27,30.2
2022-09-28,30.35
2022-09-29,30.1
2022-09-30,30.06
2022-10-03,30.2
2022-10-04,29.35
2022-10-05,29.75
2022-10-06,29.8
2022-10-07,30.4
2022-10-10,30.65
2022-10-11,30.81
2022-10-12,30.8
2022-10-13,31.05
2022-10-14,30.85
2022-10-17,30.6
2022-10-18,30.1
2022-10-19,30.25
2022-10-20,30.2
2022-10-21,30.15
2022-10-24,30.15
2022-10-25,29.8
2022-10-26,29.55
2022-10-27,29.15
2022-10-28,29.05
2022-10-31,28.62
2022-11-01,28.35
2022-11-02,28.45
2022-11-03,28.6
2022-11-04,28.17
2022-11-07,27.86
2022-11-08,28.0
2022-11-09,28.6
2022-11-10,28.55
2022-11-11,28.02
2022-11-14,28.15
2022-11-15,28.37
2022-11-16,28.45
2022-11-17,28.39
2022-11-18,28.07
2022-11-21,27.9
2022-11-22,27.55
2022-11-23,27.05
2022-11-25,26.95
2022-11-28,27.5
2022-11-29,27.52
2022-11-30,27.35
2022-12-01,26.75
2022-12-02,26.81
2022-12-05,26.46
2022-12-06,26.58
2022-12-07,26.78
2022-12-08,26.67
2022-12-09,26.6
2022-12-12,26.65
2022-12-13,26.46
2022-12-14,26.2
2022-12-15,26.68
2022-12-16,27.09
2022-12-19,26.75
2022-12-20,26.8
2022-12-21,26.42
2022-12-22,26.9
2022-12-23,26.7
2022-12-27,26.57
2022-12-28,26.4
2022-12-29,26.34
2022-12-30,26.43
2023-01-03,26.25
2023-01-04,25.75
2023-01-05,25.48
2023-01-06,25.2
2023-01-09,24.75
2023-01-10,24.76
2023-01-11,24.15
2023-01-12,24.2
2023-01-13,23.62
2023-01-17,23.25
2023-01-18,23.7
2023-01-19,24.07
2023-01-20,23.66
2023-01-23,23.07
2023-01-24,22.85
2023-01-25,22.74
2023-01-26,22.13
2023-01-27,21.95
2023-01-30,22.03
2023-01-31,21.95
2023-02-01,21.71
2023-02-02,21.72
2023-02-03,22.02
2023-02-06,22.05
2023-02-07,22.03
2023-02-08,22.29
2023-02-09,22.68
2023-02-10,23.22
2023-02-13,23.25
2023-02-14,22.32
2023-02-15,22.05
2023-02-16,22.28
2023-02-17,22.75
2023-02-21,23.5
2023-02-22,23.62
2023-02-23,23.05
2023-02-24,23.35
2023-02-27,23.1
2023-02-28,22.73
2023-03-01,22.65
2023-03-02,22.85
2023-03-03,21.93
2023-03-06,21.35
2023-03-07,21.4
2023-03-08,21.5
2023-03-09,22.75
2023-03-10,26.2
2023-03-13,26.52
2023-03-14,25.3
2023-03-15,27.28
2023-03-16,26.25
2023-03-17,26.17
2023-03-20,27.55
2023-03-21,25.13
2023-03-22,23.9
2023-03-23,24.75
2023-03-24,26.05
2023-03-27,24.42
2023-03-28,23.33
2023-03-29,22.7
2023-03-30,22.77
2023-03-31,22.42
2023-04-03,22.62
2023-04-04,22.55
2023-04-05,22.5
2023-04-06,22.15
2023-04-10,21.8
2023-04-11,21.27
2023-04-12,21.25
2023-04-13,21.15
2023-04-14,20.72
2023-04-17,20.2
2023-04-18,19.75
2023-04-19,19.9
2023-04-20,20.0
2023-04-21,20.05
2023-04-24,19.85
2023-04-25,21.2
2023-04-26,21.13
2023-04-27,20.38
2023-04-28,19.87
2023-05-01,18.65
2023-05-02,20.8
2023-05-03,20.6
2023-05-04,22.1
2023-05-05,21.15
2023-05-08,19.46
2023-05-09,19.7
2023-05-10,19.88
2023-05-11,19.65
2023-05-12,19.1
2023-05-15,18.77
2023-05-16,18.43
2023-05-17,18.31
