Trade Date,Oct17
2017-01-23,19.7
2017-01-24,19.48
2017-01-25,18.8
2017-01-26,18.8
2017-01-27,18.9
2017-01-30,19.25
2017-01-31,19.09
2017-02-01,18.9
2017-02-02,18.81
2017-02-03,18.78
2017-02-06,18.62
2017-02-07,18.67
2017-02-08,18.76
2017-02-09,18.81
2017-02-10,18.85
2017-02-13,18.51
2017-02-14,18.35
2017-02-15,18.06
2017-02-16,18.04
2017-02-17,17.96
2017-02-21,17.91
2017-02-22,18.15
2017-02-23,18.2
2017-02-24,18.47
2017-02-27,18.2
2017-02-28,18.13
2017-03-01,17.95
2017-03-02,18.05
2017-03-03,18.0
2017-03-06,17.91
2017-03-07,17.75
2017-03-08,17.85
2017-03-09,17.85
2017-03-10,17.8
2017-03-13,17.73
2017-03-14,17.77
2017-03-15,17.7
2017-03-16,17.55
2017-03-17,17.36
2017-03-20,17.37
2017-03-21,17.55
2017-03-22,17.75
2017-03-23,17.77
2017-03-24,17.8
2017-03-27,17.75
2017-03-28,17.25
2017-03-29,16.92
2017-03-30,16.8
2017-03-31,16.81
2017-04-03,16.85
2017-04-04,16.86
2017-04-05,16.78
2017-04-06,16.79
2017-04-07,16.7
2017-04-10,16.9
2017-04-11,17.15
2017-04-12,17.07
2017-04-13,17.08
2017-04-17,17.05
2017-04-18,16.74
2017-04-19,16.88
2017-04-20,16.62
2017-04-21,16.6
2017-04-24,16.3
2017-04-25,16.0
2017-04-26,15.8
2017-04-27,15.8
2017-04-28,15.88
2017-05-01,15.71
2017-05-02,15.45
2017-05-03,15.55
2017-05-04,15.62
2017-05-05,15.55
2017-05-08,15.69
2017-05-09,15.7
2017-05-10,15.8
2017-05-11,16.04
2017-05-12,15.85
2017-05-15,15.8
2017-05-16,15.89
2017-05-17,16.58
2017-05-18,16.53
2017-05-19,16.32
2017-05-22,15.83
2017-05-23,15.8
2017-05-24,15.85
2017-05-25,15.75
2017-05-26,15.79
2017-05-30,15.7
2017-05-31,15.59
2017-06-01,15.4
2017-06-02,15.4
2017-06-05,15.4
2017-06-06,15.55
2017-06-07,15.64
2017-06-08,15.5
2017-06-09,15.6
2017-06-12,15.61
2017-06-13,15.32
2017-06-14,15.18
2017-06-15,15.34
2017-06-16,15.19
2017-06-19,14.9
2017-06-20,14.9
2017-06-21,14.77
2017-06-22,14.68
2017-06-23,14.64
2017-06-26,14.55
2017-06-27,14.47
2017-06-28,14.45
2017-06-29,15.14
2017-06-30,14.58
2017-07-03,14.6
2017-07-05,14.75
2017-07-06,15.0
2017-07-07,14.9
2017-07-10,14.8
2017-07-11,14.73
2017-07-12,14.34
2017-07-13,14.15
2017-07-14,14.1
2017-07-17,13.75
2017-07-18,13.85
2017-07-19,13.7
2017-07-20,13.62
2017-07-21,13.75
2017-07-24,13.54
2017-07-25,13.4
2017-07-26,13.45
2017-07-27,13.79
2017-07-28,13.63
2017-07-31,13.54
2017-08-01,13.25
2017-08-02,13.35
2017-08-03,13.54
2017-08-04,13.6
2017-08-07,13.6
2017-08-08,13.85
2017-08-09,14.1
2017-08-10,15.26
2017-08-11,15.7
2017-08-14,15.45
2017-08-15,14.05
2017-08-16,14.03
2017-08-17,15.38
2017-08-18,15.33
2017-08-21,15.2
2017-08-22,14.65
2017-08-23,14.33
2017-08-24,14.55
2017-08-25,14.28
2017-08-28,14.3
2017-08-29,15.15
2017-08-30,14.15
2017-08-31,14.1
2017-09-01,13.85
2017-09-05,14.81
2017-09-06,14.35
2017-09-07,14.35
2017-09-08,14.5
2017-09-11,14.2
2017-09-12,13.7
2017-09-13,13.4
2017-09-14,13.25
2017-09-15,13.36
2017-09-18,12.9
2017-09-19,12.52
2017-09-20,12.85
2017-09-21,12.5
2017-09-22,12.85
2017-09-25,12.85
2017-09-26,12.61
2017-09-27,12.35
2017-09-28,12.3
2017-09-29,12.05
2017-10-02,11.7
2017-10-03,11.5
2017-10-04,11.5
2017-10-05,11.35
2017-10-06,11.28
2017-10-09,11.35
2017-10-10,11.3
2017-10-11,11.1
2017-10-12,10.9
2017-10-13,10.7
2017-10-16,10.4
2017-10-17,10.6
2017-10-18,10.55
