Trade Date,Jan25
2024-04-22,17.6
2024-04-23,18.35
2024-04-24,18.3
2024-04-25,18.45
2024-04-26,18.6
2024-04-29,18.7
2024-04-30,18.55
2024-05-01,18.9
2024-05-02,18.8
2024-05-03,18.33
2024-05-06,18.05
2024-05-07,18.1
2024-05-08,18.1
2024-05-09,17.95
2024-05-10,17.9
2024-05-13,18.05
2024-05-14,17.9
2024-05-15,17.65
2024-05-16,17.5
2024-05-17,17.6
2024-05-20,17.3
2024-05-21,17.31
2024-05-22,17.53
2024-05-23,17.65
2024-05-24,17.72
2024-05-28,17.76
2024-05-29,17.85
2024-05-30,17.88
2024-05-31,17.75
2024-06-03,17.6
2024-06-04,17.73
2024-06-05,17.7
2024-06-06,17.8
2024-06-07,17.85
2024-06-10,17.83
2024-06-11,17.75
2024-06-12,17.75
2024-06-13,17.9
2024-06-14,18.06
2024-06-17,18.1
2024-06-18,18.05
2024-06-20,18.6
2024-06-21,18.75
2024-06-24,18.2
2024-06-25,18.15
2024-06-26,18.05
2024-06-27,18.06
2024-06-28,18.02
2024-07-01,18.0
2024-07-02,17.76
2024-07-03,17.72
2024-07-05,17.75
2024-07-08,17.72
2024-07-09,17.8
2024-07-10,17.75
2024-07-11,17.87
2024-07-12,17.8
2024-07-15,17.76
2024-07-16,17.8
2024-07-17,18.17
2024-07-18,18.33
2024-07-19,18.47
2024-07-22,18.5
2024-07-23,18.05
2024-07-24,18.67
2024-07-25,18.85
2024-07-26,18.75
2024-07-29,18.35
2024-07-30,18.6
2024-07-31,18.25
2024-08-01,18.83
2024-08-02,20.4
2024-08-05,26.75
2024-08-06,22.85
2024-08-07,21.8
2024-08-08,21.75
2024-08-09,20.6
2024-08-12,19.5
2024-08-13,19.3
2024-08-14,18.28
2024-08-15,18.0
2024-08-16,17.9
2024-08-19,17.99
2024-08-20,18.35
2024-08-21,18.53
2024-08-22,18.57
2024-08-23,18.45
2024-08-26,18.22
2024-08-27,18.14
2024-08-28,18.35
2024-08-29,18.27
2024-08-30,18.0
2024-09-03,19.3
2024-09-04,20.25
2024-09-05,19.7
2024-09-06,20.18
2024-09-09,20.05
2024-09-10,19.85
2024-09-11,19.9
2024-09-12,18.85
2024-09-13,18.65
2024-09-16,18.9
2024-09-17,19.0
2024-09-18,18.95
2024-09-19,18.65
2024-09-20,18.25
2024-09-23,18.37
2024-09-24,18.5
2024-09-25,18.35
2024-09-26,18.38
2024-09-27,18.9
2024-09-30,19.05
2024-10-01,19.6
2024-10-02,19.62
2024-10-03,19.75
2024-10-04,19.71
2024-10-07,20.28
2024-10-08,20.38
2024-10-09,19.75
2024-10-10,19.57
2024-10-11,19.56
2024-10-14,19.25
2024-10-15,18.95
2024-10-16,18.98
2024-10-17,18.9
2024-10-18,18.6
2024-10-21,18.67
2024-10-22,18.6
2024-10-23,19.07
2024-10-24,19.15
2024-10-25,19.22
2024-10-28,19.15
2024-10-29,18.67
2024-10-30,18.9
2024-10-31,19.8
2024-11-01,19.82
2024-11-04,19.72
2024-11-05,19.18
2024-11-06,18.37
2024-11-07,17.22
2024-11-08,16.88
2024-11-11,16.64
2024-11-12,16.95
2024-11-13,16.87
2024-11-14,16.6
2024-11-15,17.6
2024-11-18,17.15
2024-11-19,17.66
2024-11-20,17.75
2024-11-21,17.75
2024-11-22,17.52
2024-11-25,16.97
2024-11-26,16.7
2024-11-27,16.65
2024-11-29,16.25
2024-12-02,16.1
2024-12-03,16.36
2024-12-04,16.15
2024-12-05,16.25
2024-12-06,16.3
2024-12-09,16.45
2024-12-10,16.35
2024-12-11,16.35
2024-12-12,16.45
2024-12-13,16.5
2024-12-16,16.65
2024-12-17,17.05
2024-12-18,20.65
2024-12-19,21.8
2024-12-20,22.8
2024-12-23,18.61
2024-12-24,17.05
2024-12-26,16.75
2024-12-27,17.9
2024-12-30,18.6
2024-12-31,17.7
2025-01-02,18.85
2025-01-03,17.9
2025-01-06,17.0
2025-01-07,18.21
2025-01-08,18.8
2025-01-09,18.25
2025-01-10,19.65
2025-01-13,20.2
