Trade Date,Jun18
2017-09-25,16.95
2017-09-26,17.0
2017-09-27,17.05
2017-09-28,17.05
2017-09-29,17.05
2017-10-02,16.95
2017-10-03,16.82
2017-10-04,16.7
2017-10-05,16.65
2017-10-06,16.6
2017-10-09,16.7
2017-10-10,16.7
2017-10-11,16.7
2017-10-12,16.6
2017-10-13,16.52
2017-10-16,16.4
2017-10-17,16.5
2017-10-18,16.29
2017-10-19,16.6
2017-10-20,16.2
2017-10-23,16.27
2017-10-24,16.35
2017-10-25,16.8
2017-10-26,16.55
2017-10-27,16.45
2017-10-30,16.15
2017-10-31,16.1
2017-11-01,16.05
2017-11-02,16.2
2017-11-03,16.2
2017-11-06,16.3
2017-11-07,16.35
2017-11-08,16.4
2017-11-09,16.73
2017-11-10,16.68
2017-11-13,16.78
2017-11-14,17.05
2017-11-15,17.38
2017-11-16,17.18
2017-11-17,16.95
2017-11-20,16.82
2017-11-21,16.5
2017-11-22,16.24
2017-11-24,16.25
2017-11-27,16.2
2017-11-28,16.22
2017-11-29,16.3
2017-11-30,16.25
2017-12-01,16.82
2017-12-04,16.25
2017-12-05,16.2
2017-12-06,16.22
2017-12-07,16.1
2017-12-08,15.85
2017-12-11,15.9
2017-12-12,15.75
2017-12-13,15.77
2017-12-14,15.73
2017-12-15,15.67
2017-12-18,15.39
2017-12-19,15.29
2017-12-20,15.2
2017-12-21,15.17
2017-12-22,15.07
2017-12-26,15.04
2017-12-27,14.9
2017-12-28,14.8
2017-12-29,14.85
2018-01-02,14.83
2018-01-03,14.49
2018-01-04,14.4
2018-01-05,14.42
2018-01-08,14.3
2018-01-09,14.25
2018-01-10,14.35
2018-01-11,14.05
2018-01-12,13.98
2018-01-16,14.49
2018-01-17,14.4
2018-01-18,14.53
2018-01-19,14.4
2018-01-22,14.35
2018-01-23,14.35
2018-01-24,14.7
2018-01-25,14.74
2018-01-26,14.7
2018-01-29,15.0
2018-01-30,15.43
2018-01-31,15.19
2018-02-01,15.08
2018-02-02,15.48
2018-02-05,35.0
2018-02-06,24.0
2018-02-07,18.52
2018-02-08,19.65
2018-02-09,20.15
2018-02-12,18.38
2018-02-13,18.65
2018-02-14,18.82
2018-02-15,17.8
2018-02-16,17.4
2018-02-20,17.84
2018-02-21,17.95
2018-02-22,18.15
2018-02-23,17.5
2018-02-26,16.85
2018-02-27,17.35
2018-02-28,17.65
2018-03-01,18.6
2018-03-02,19.0
2018-03-05,18.5
2018-03-06,18.1
2018-03-07,18.6
2018-03-08,17.93
2018-03-09,17.7
2018-03-12,17.17
2018-03-13,17.43
2018-03-14,17.72
2018-03-15,17.72
2018-03-16,17.35
2018-03-19,18.0
2018-03-20,17.83
2018-03-21,17.67
2018-03-22,18.42
2018-03-23,19.01
2018-03-26,18.92
2018-03-27,19.4
2018-03-28,19.73
2018-03-29,19.43
2018-04-02,20.02
2018-04-03,19.6
2018-04-04,20.18
2018-04-05,18.95
2018-04-06,19.88
2018-04-09,19.45
2018-04-10,19.61
2018-04-11,19.45
2018-04-12,19.36
2018-04-13,18.88
2018-04-16,18.2
2018-04-17,17.7
2018-04-18,17.41
2018-04-19,17.19
2018-04-20,17.25
2018-04-23,17.27
2018-04-24,18.18
2018-04-25,18.1
2018-04-26,17.7
2018-04-27,17.33
2018-04-30,17.0
2018-05-01,17.1
2018-05-02,16.8
2018-05-03,17.6
2018-05-04,17.05
2018-05-07,16.5
2018-05-08,16.57
2018-05-09,16.36
2018-05-10,15.75
2018-05-11,15.2
2018-05-14,14.7
2018-05-15,15.5
2018-05-16,15.42
2018-05-17,14.86
2018-05-18,14.8
2018-05-21,14.25
2018-05-22,14.3
2018-05-23,14.95
2018-05-24,14.72
2018-05-25,14.3
2018-05-29,16.7
2018-05-30,16.22
2018-05-31,15.8
2018-06-01,15.37
2018-06-04,14.5
2018-06-05,14.12
2018-06-06,13.65
2018-06-07,13.95
2018-06-08,14.2
2018-06-11,13.6
2018-06-12,13.2
2018-06-13,13.25
2018-06-14,13.45
2018-06-15,13.4
2018-06-18,13.61
2018-06-19,14.45
2018-06-20,13.88
