Trade Date,M:02 Y:25
2024-05-28,
2024-05-29,
2024-05-30,
2024-05-31,
2024-06-03,17.95
2024-06-04,18.0
2024-06-05,17.95
2024-06-06,18.05
2024-06-07,17.95
2024-06-10,17.95
2024-06-11,18.05
2024-06-12,18.05
2024-06-13,18.2
2024-06-14,18.12
2024-06-17,18.15
2024-06-18,18.27
2024-06-20,18.84
2024-06-21,18.5
2024-06-24,18.41
2024-06-25,18.3
2024-06-26,18.4
2024-06-27,18.2
2024-06-28,18.3
2024-07-01,18.0
2024-07-02,17.8
2024-07-03,18.02
2024-07-05,18.05
2024-07-08,17.94
2024-07-09,18.07
2024-07-10,17.95
2024-07-11,18.12
2024-07-12,17.93
2024-07-15,17.94
2024-07-16,18.15
2024-07-17,18.37
2024-07-18,18.45
2024-07-19,18.5
2024-07-22,18.31
2024-07-23,18.21
2024-07-24,18.77
2024-07-25,18.93
2024-07-26,18.52
2024-07-29,18.32
2024-07-30,18.55
2024-07-31,18.17
2024-08-01,18.9
2024-08-02,20.36
2024-08-05,23.23
2024-08-06,21.45
2024-08-07,21.55
2024-08-08,20.26
2024-08-09,19.33
2024-08-12,19.35
2024-08-13,18.47
2024-08-14,18.05
2024-08-15,18.0
2024-08-16,18.15
2024-08-19,18.2
2024-08-20,18.6
2024-08-21,18.46
2024-08-22,18.67
2024-08-23,18.3
2024-08-26,18.22
2024-08-27,18.05
2024-08-28,18.22
2024-08-29,18.25
2024-08-30,18.08
2024-09-03,19.4
2024-09-04,19.75
2024-09-05,19.28
2024-09-06,20.25
2024-09-09,19.44
2024-09-10,19.32
2024-09-11,18.8
2024-09-12,18.73
2024-09-13,18.77
2024-09-16,18.86
2024-09-17,18.86
2024-09-18,18.77
2024-09-19,18.25
2024-09-20,18.46
2024-09-23,18.53
2024-09-24,18.44
2024-09-25,18.56
2024-09-26,18.56
2024-09-27,19.15
2024-09-30,18.88
2024-10-01,19.51
2024-10-02,19.41
2024-10-03,19.76
2024-10-04,19.36
2024-10-07,20.21
2024-10-08,19.73
2024-10-09,19.45
2024-10-10,19.4
2024-10-11,19.28
2024-10-14,18.7
2024-10-15,18.89
2024-10-16,18.75
2024-10-17,18.63
2024-10-18,18.35
2024-10-21,18.27
2024-10-22,18.22
2024-10-23,18.68
2024-10-24,18.6
2024-10-25,19.07
2024-10-28,18.51
2024-10-29,18.5
2024-10-30,18.77
2024-10-31,19.57
2024-11-01,19.58
2024-11-04,19.17
2024-11-05,18.46
2024-11-06,17.6
2024-11-07,17.25
2024-11-08,17.13
2024-11-11,17.05
2024-11-12,17.17
2024-11-13,16.97
2024-11-14,17.09
2024-11-15,17.47
2024-11-18,17.2
2024-11-19,17.35
2024-11-20,17.52
2024-11-21,17.51
2024-11-22,17.16
2024-11-25,16.89
2024-11-26,16.85
2024-11-27,16.78
2024-11-29,16.56
2024-12-02,16.55
2024-12-03,16.51
2024-12-04,16.71
2024-12-05,16.92
2024-12-06,16.72
2024-12-09,17.08
2024-12-10,16.97
2024-12-11,17.07
2024-12-12,17.22
2024-12-13,17.17
2024-12-16,17.43
2024-12-17,17.75
2024-12-18,20.0
2024-12-19,20.89
2024-12-20,18.65
2024-12-23,17.52
2024-12-24,16.83
2024-12-26,16.95
2024-12-27,17.53
2024-12-30,17.89
2024-12-31,17.86
2025-01-02,18.24
2025-01-03,17.5
2025-01-06,17.32
2025-01-07,18.14
2025-01-08,18.23
2025-01-09,18.34
2025-01-10,19.31
2025-01-13,18.77
2025-01-14,18.45
2025-01-15,17.16
2025-01-16,17.21
2025-01-17,17.26
