Trade Date,May24
2023-08-21,21.15
2023-08-22,21.15
2023-08-23,20.98
2023-08-24,21.2
2023-08-25,21.2
2023-08-28,20.75
2023-08-29,20.59
2023-08-30,20.35
2023-08-31,20.2
2023-09-01,20.25
2023-09-05,20.09
2023-09-06,20.15
2023-09-07,20.25
2023-09-08,19.9
2023-09-11,19.6
2023-09-12,19.52
2023-09-13,19.5
2023-09-14,19.4
2023-09-15,19.4
2023-09-18,19.55
2023-09-19,19.6
2023-09-20,19.65
2023-09-21,20.0
2023-09-22,20.05
2023-09-25,20.1
2023-09-26,20.5
2023-09-27,20.7
2023-09-28,20.38
2023-09-29,20.1
2023-10-02,20.15
2023-10-03,20.91
2023-10-04,21.21
2023-10-05,21.01
2023-10-06,20.95
2023-10-09,20.79
2023-10-10,20.3
2023-10-11,20.35
2023-10-12,20.4
2023-10-13,21.2
2023-10-16,21.1
2023-10-17,21.0
2023-10-18,21.43
2023-10-19,22.07
2023-10-20,22.25
2023-10-23,22.58
2023-10-24,21.7
2023-10-25,21.96
2023-10-26,22.35
2023-10-27,22.35
2023-10-30,22.25
2023-10-31,21.55
2023-11-01,21.02
2023-11-02,20.3
2023-11-03,20.05
2023-11-06,19.55
2023-11-07,19.35
2023-11-08,19.3
2023-11-09,19.35
2023-11-10,19.25
2023-11-13,19.05
2023-11-14,18.9
2023-11-15,18.85
2023-11-16,18.65
2023-11-17,18.52
2023-11-20,18.35
2023-11-21,18.31
2023-11-22,18.26
2023-11-24,18.25
2023-11-27,17.95
2023-11-28,17.92
2023-11-29,18.05
2023-11-30,18.05
2023-12-01,17.91
2023-12-04,18.13
2023-12-05,18.1
2023-12-06,18.05
2023-12-07,18.1
2023-12-08,17.98
2023-12-11,17.6
2023-12-12,17.32
2023-12-13,17.12
2023-12-14,17.0
2023-12-15,17.1
2023-12-18,17.25
2023-12-19,17.65
2023-12-20,18.35
2023-12-21,18.22
2023-12-22,18.25
2023-12-26,18.05
2023-12-27,17.7
2023-12-28,17.4
2023-12-29,17.45
2024-01-02,17.65
2024-01-03,17.72
2024-01-04,17.57
2024-01-05,17.71
2024-01-08,17.15
2024-01-09,16.85
2024-01-10,16.6
2024-01-11,16.67
2024-01-12,16.6
2024-01-16,17.13
2024-01-17,17.52
2024-01-18,17.23
2024-01-19,16.88
2024-01-22,16.55
2024-01-23,16.2
2024-01-24,16.25
2024-01-25,16.35
2024-01-26,16.4
2024-01-29,16.4
2024-01-30,16.26
2024-01-31,16.78
2024-02-01,16.81
2024-02-02,16.67
2024-02-05,16.83
2024-02-06,16.41
2024-02-07,16.2
2024-02-08,16.18
2024-02-09,16.15
2024-02-12,16.5
2024-02-13,17.65
2024-02-14,17.0
2024-02-15,16.75
2024-02-16,16.7
2024-02-20,17.02
2024-02-21,16.85
2024-02-22,16.55
2024-02-23,16.43
2024-02-26,16.08
2024-02-27,15.94
2024-02-28,15.98
2024-02-29,15.97
2024-03-01,15.86
2024-03-04,15.85
2024-03-05,16.58
2024-03-06,16.33
2024-03-07,16.42
2024-03-08,16.98
2024-03-11,16.87
2024-03-12,16.7
2024-03-13,16.02
2024-03-14,16.7
2024-03-15,16.97
2024-03-18,16.51
2024-03-19,16.39
2024-03-20,16.02
2024-03-21,15.65
2024-03-22,15.65
2024-03-25,15.8
2024-03-26,15.46
2024-03-27,15.5
2024-03-28,15.45
2024-04-01,15.7
2024-04-02,16.25
2024-04-03,16.1
2024-04-04,16.65
2024-04-05,16.7
2024-04-08,16.55
2024-04-09,16.5
2024-04-10,16.75
2024-04-11,16.8
2024-04-12,17.95
2024-04-15,18.17
2024-04-16,18.61
2024-04-17,18.0
2024-04-18,17.65
2024-04-19,19.7
2024-04-22,17.7
2024-04-23,16.45
2024-04-24,16.1
2024-04-25,16.85
2024-04-26,15.71
2024-04-29,15.5
2024-04-30,15.85
2024-05-01,16.15
2024-05-02,15.86
2024-05-03,15.07
2024-05-06,14.6
2024-05-07,14.35
2024-05-08,14.25
2024-05-09,14.06
2024-05-10,13.87
2024-05-13,13.9
2024-05-14,13.95
2024-05-15,13.66
2024-05-16,13.1
2024-05-17,13.0
2024-05-20,12.8
2024-05-21,13.0
2024-05-22,12.47
