Trade Date,Jun21
2020-09-21,25.75
2020-09-22,26.45
2020-09-23,27.1
2020-09-24,28.05
2020-09-25,27.3
2020-09-28,27.05
2020-09-29,24.05
2020-09-30,18.1
2020-10-01,26.7
2020-10-02,26.1
2020-10-05,27.65
2020-10-06,26.3
2020-10-07,28.6
2020-10-08,24.35
2020-10-09,20.05
2020-10-12,25.05
2020-10-13,25.05
2020-10-14,25.05
2020-10-15,25.15
2020-10-16,25.5
2020-10-19,27.22
2020-10-20,25.7
2020-10-21,25.8
2020-10-22,27.25
2020-10-23,26.66
2020-10-26,28.0
2020-10-27,27.95
2020-10-28,28.95
2020-10-29,27.97
2020-10-30,28.15
2020-11-02,28.25
2020-11-03,27.4
2020-11-04,27.55
2020-11-05,26.7
2020-11-06,26.9
2020-11-09,25.95
2020-11-10,25.36
2020-11-11,25.35
2020-11-12,25.9
2020-11-13,25.95
2020-11-16,25.65
2020-11-17,25.92
2020-11-18,26.3
2020-11-19,26.35
2020-11-20,26.15
2020-11-23,26.0
2020-11-24,25.87
2020-11-25,25.86
2020-11-27,25.52
2020-11-30,26.0
2020-12-01,25.35
2020-12-02,25.46
2020-12-03,25.4
2020-12-04,25.4
2020-12-07,25.55
2020-12-08,25.62
2020-12-09,25.8
2020-12-10,25.95
2020-12-11,26.65
2020-12-14,26.65
2020-12-15,26.75
2020-12-16,26.5
2020-12-17,26.11
2020-12-18,26.47
2020-12-21,27.65
2020-12-22,26.8
2020-12-23,27.0
2020-12-24,26.05
2020-12-28,26.1
2020-12-29,26.53
2020-12-30,26.5
2020-12-31,26.0
2021-01-04,27.08
2021-01-05,27.05
2021-01-06,26.45
2021-01-07,25.65
2021-01-08,25.87
2021-01-11,26.47
2021-01-12,26.62
2021-01-13,26.35
2021-01-14,26.57
2021-01-15,27.15
2021-01-19,27.05
2021-01-20,26.86
2021-01-21,27.26
2021-01-22,27.5
2021-01-25,28.05
2021-01-26,27.9
2021-01-27,30.5
2021-01-28,30.27
2021-01-29,30.47
2021-02-01,30.9
2021-02-02,29.8
2021-02-03,28.7
2021-02-04,28.3
2021-02-05,28.15
2021-02-08,28.4
2021-02-09,28.6
2021-02-10,29.4
2021-02-11,29.6
2021-02-12,29.45
2021-02-16,29.47
2021-02-17,30.2
2021-02-18,29.97
2021-02-19,29.95
2021-02-22,30.0
2021-02-23,30.41
2021-02-24,29.78
2021-02-25,30.4
2021-02-26,29.87
2021-03-01,29.31
2021-03-02,28.61
2021-03-03,29.05
2021-03-04,29.93
2021-03-05,29.97
2021-03-08,29.1
2021-03-09,28.65
2021-03-10,28.6
2021-03-11,28.3
2021-03-12,28.22
2021-03-15,27.92
2021-03-16,27.25
2021-03-17,27.1
2021-03-18,26.71
2021-03-19,26.81
2021-03-22,26.55
2021-03-23,25.76
2021-03-24,25.6
2021-03-25,26.37
2021-03-26,25.21
2021-03-29,25.1
2021-03-30,24.65
2021-03-31,23.98
2021-04-01,23.68
2021-04-05,22.95
2021-04-06,22.75
2021-04-07,22.7
2021-04-08,22.39
2021-04-09,22.5
2021-04-12,22.7
2021-04-13,22.37
2021-04-14,22.45
2021-04-15,22.35
2021-04-16,22.13
2021-04-19,22.64
2021-04-20,23.2
2021-04-21,23.05
2021-04-22,23.1
2021-04-23,22.77
2021-04-26,22.3
2021-04-27,22.27
2021-04-28,21.9
2021-04-29,22.25
2021-04-30,22.35
2021-05-03,22.2
2021-05-04,23.05
2021-05-05,22.42
2021-05-06,22.45
2021-05-07,21.77
2021-05-10,21.57
2021-05-11,23.25
2021-05-12,27.2
2021-05-13,26.85
2021-05-14,24.23
2021-05-17,22.89
2021-05-18,22.65
2021-05-19,25.65
2021-05-20,24.0
2021-05-21,22.2
2021-05-24,22.25
2021-05-25,21.15
2021-05-26,20.65
2021-05-27,20.1
2021-05-28,19.2
2021-06-01,19.65
2021-06-02,19.61
2021-06-03,20.0
2021-06-04,19.71
2021-06-07,18.55
2021-06-08,18.46
2021-06-09,18.5
2021-06-10,18.65
2021-06-11,17.05
2021-06-14,17.08
2021-06-15,17.43
2021-06-16,17.44
