Trade Date,M:11 Y:24
2024-02-20,20.64
2024-02-21,20.34
2024-02-22,19.6
2024-02-23,19.2
2024-02-26,18.85
2024-02-27,18.65
2024-02-28,18.95
2024-02-29,18.82
2024-03-01,18.89
2024-03-04,18.95
2024-03-05,19.3
2024-03-06,19.3
2024-03-07,19.28
2024-03-08,19.42
2024-03-11,19.4
2024-03-12,19.3
2024-03-13,19.35
2024-03-14,19.52
2024-03-15,19.75
2024-03-18,19.4
2024-03-19,19.2
2024-03-20,19.03
2024-03-21,19.1
2024-03-22,19.25
2024-03-25,19.3
2024-03-26,19.15
2024-03-27,19.05
2024-03-28,19.2
2024-04-01,19.16
2024-04-02,19.28
2024-04-03,19.15
2024-04-04,19.45
2024-04-05,19.48
2024-04-08,19.2
2024-04-09,19.15
2024-04-10,19.37
2024-04-11,19.25
2024-04-12,19.5
2024-04-15,19.82
2024-04-16,19.25
2024-04-17,19.12
2024-04-18,19.2
2024-04-19,19.37
2024-04-22,18.51
2024-04-23,18.42
2024-04-24,18.46
2024-04-25,18.21
2024-04-26,18.36
2024-04-29,18.07
2024-04-30,18.27
2024-05-01,18.37
2024-05-02,18.02
2024-05-03,17.73
2024-05-06,17.52
2024-05-07,17.57
2024-05-08,17.52
2024-05-09,17.45
2024-05-10,17.47
2024-05-13,17.5
2024-05-14,17.3
2024-05-15,16.9
2024-05-16,16.98
2024-05-17,16.82
2024-05-20,16.85
2024-05-21,16.7
2024-05-22,16.86
2024-05-23,17.08
2024-05-24,16.81
2024-05-28,16.97
2024-05-29,17.22
2024-05-30,17.05
2024-05-31,16.83
2024-06-03,16.85
2024-06-04,16.97
2024-06-05,17.05
2024-06-06,17.17
2024-06-07,17.09
2024-06-10,17.07
2024-06-11,17.17
2024-06-12,17.17
2024-06-13,17.17
2024-06-14,17.4
2024-06-17,17.37
2024-06-18,17.48
2024-06-20,17.96
2024-06-21,17.59
2024-06-24,17.5
2024-06-25,17.42
2024-06-26,17.35
2024-06-27,17.23
2024-06-28,17.37
2024-07-01,17.0
2024-07-02,16.95
2024-07-03,17.15
2024-07-05,17.23
2024-07-08,17.05
2024-07-09,17.13
2024-07-10,16.95
2024-07-11,17.22
2024-07-12,17.0
2024-07-15,17.27
2024-07-16,17.3
2024-07-17,17.45
2024-07-18,17.67
2024-07-19,17.86
2024-07-22,17.47
2024-07-23,17.47
2024-07-24,18.28
2024-07-25,18.52
2024-07-26,18.0
2024-07-29,17.67
2024-07-30,18.06
2024-07-31,17.62
2024-08-01,18.57
2024-08-02,20.67
2024-08-05,23.85
2024-08-06,21.75
2024-08-07,22.26
2024-08-08,20.52
2024-08-09,19.13
2024-08-12,19.09
2024-08-13,18.06
2024-08-14,17.53
2024-08-15,17.39
2024-08-16,17.57
2024-08-19,17.45
2024-08-20,17.9
2024-08-21,17.92
2024-08-22,18.2
2024-08-23,17.56
2024-08-26,17.64
2024-08-27,17.25
2024-08-28,17.71
2024-08-29,17.49
2024-08-30,17.12
2024-09-03,19.27
2024-09-04,19.56
2024-09-05,19.06
2024-09-06,20.35
2024-09-09,19.17
2024-09-10,19.07
2024-09-11,18.45
2024-09-12,18.31
2024-09-13,18.27
2024-09-16,18.5
2024-09-17,18.65
2024-09-18,18.5
2024-09-19,17.79
2024-09-20,17.77
2024-09-23,17.73
2024-09-24,17.67
2024-09-25,17.83
2024-09-26,17.84
2024-09-27,18.58
2024-09-30,18.15
2024-10-01,19.39
2024-10-02,19.1
2024-10-03,19.95
2024-10-04,19.25
2024-10-07,20.57
2024-10-08,19.94
2024-10-09,19.46
2024-10-10,19.65
2024-10-11,19.37
2024-10-14,18.52
2024-10-15,19.31
2024-10-16,19.1
2024-10-17,18.75
2024-10-18,18.26
2024-10-21,18.35
2024-10-22,18.35
2024-10-23,19.15
2024-10-24,18.95
2024-10-25,19.9
2024-10-28,18.76
2024-10-29,18.72
2024-10-30,19.33
2024-10-31,20.86
2024-11-01,20.45
2024-11-04,19.45
2024-11-05,18.23
2024-11-06,16.24
2024-11-07,15.7
2024-11-08,15.5
2024-11-11,15.45
2024-11-12,15.3
2024-11-13,14.5
2024-11-14,14.69
2024-11-15,16.3
2024-11-18,15.7
2024-11-19,16.7
2024-11-20,16.25
