Trade Date,M:09 Y:20
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,18.85
2019-12-13,18.7
2019-12-16,
2019-12-17,18.53
2019-12-18,18.6
2019-12-19,18.52
2019-12-20,18.49
2019-12-23,18.48
2019-12-24,18.49
2019-12-26,18.41
2019-12-27,18.6
2019-12-30,18.72
2019-12-31,18.49
2020-01-02,18.2
2020-01-03,18.37
2020-01-06,18.26
2020-01-07,18.2
2020-01-08,18.15
2020-01-09,18.0
2020-01-10,17.94
2020-01-13,17.72
2020-01-14,17.68
2020-01-15,17.67
2020-01-16,17.48
2020-01-17,17.55
2020-01-21,17.55
2020-01-22,17.6
2020-01-23,17.5
2020-01-24,17.7
2020-01-27,18.0
2020-01-28,17.83
2020-01-29,17.9
2020-01-30,17.6
2020-01-31,18.11
2020-02-03,17.9
2020-02-04,17.37
2020-02-05,17.4
2020-02-06,17.35
2020-02-07,17.47
2020-02-10,17.37
2020-02-11,17.41
2020-02-12,17.17
2020-02-13,17.24
2020-02-14,17.22
2020-02-18,17.41
2020-02-19,17.37
2020-02-20,17.6
2020-02-21,17.75
2020-02-24,18.45
2020-02-25,18.97
2020-02-26,19.2
2020-02-27,19.91
2020-02-28,19.52
2020-03-02,19.82
2020-03-03,20.51
2020-03-04,20.3
2020-03-05,21.57
2020-03-06,23.23
2020-03-09,25.75
2020-03-10,24.7
2020-03-11,25.92
2020-03-12,28.47
2020-03-13,26.55
2020-03-16,30.86
2020-03-17,31.25
2020-03-18,34.82
2020-03-19,34.33
2020-03-20,33.0
2020-03-23,28.15
2020-03-24,26.32
2020-03-25,30.9
2020-03-26,28.81
2020-03-27,30.86
2020-03-30,29.9
2020-03-31,30.1
2020-04-01,32.21
2020-04-02,31.87
2020-04-03,31.67
2020-04-06,30.44
2020-04-07,31.66
2020-04-08,31.15
2020-04-09,30.37
2020-04-13,30.1
2020-04-14,29.32
2020-04-15,30.95
2020-04-16,30.69
2020-04-17,30.45
2020-04-20,32.36
2020-04-21,33.6
2020-04-22,33.22
2020-04-23,33.1
2020-04-24,32.05
2020-04-27,30.8
2020-04-28,31.15
2020-04-29,29.93
2020-04-30,30.95
2020-05-01,33.03
2020-05-04,32.75
2020-05-05,31.95
2020-05-06,32.35
2020-05-07,31.17
2020-05-08,30.04
2020-05-11,29.46
2020-05-12,31.92
2020-05-13,32.33
2020-05-14,32.18
2020-05-15,32.25
2020-05-18,30.55
2020-05-19,31.49
2020-05-20,30.5
2020-05-21,31.41
2020-05-22,30.95
2020-05-26,30.45
2020-05-27,30.12
2020-05-28,30.75
2020-05-29,30.25
2020-06-01,30.55
2020-06-02,29.95
2020-06-03,29.43
2020-06-04,29.0
2020-06-05,27.7
2020-06-08,28.2
2020-06-09,29.21
2020-06-10,28.97
2020-06-11,34.98
2020-06-12,32.99
2020-06-15,32.59
2020-06-16,32.83
2020-06-17,32.62
2020-06-18,32.82
2020-06-19,34.1
2020-06-22,31.75
2020-06-23,31.7
2020-06-24,33.11
2020-06-25,32.4
2020-06-26,34.17
2020-06-29,32.85
2020-06-30,31.74
2020-07-01,30.9
2020-07-02,30.25
2020-07-06,30.32
2020-07-07,31.05
2020-07-08,30.55
2020-07-09,31.3
2020-07-10,30.9
2020-07-13,32.87
2020-07-14,31.68
2020-07-15,31.14
2020-07-16,31.09
2020-07-17,30.2
2020-07-20,28.88
2020-07-21,29.45
2020-07-22,29.16
2020-07-23,30.2
2020-07-24,30.56
2020-07-27,29.82
2020-07-28,29.93
2020-07-29,29.3
2020-07-30,29.55
2020-07-31,29.68
2020-08-03,29.34
2020-08-04,28.45
2020-08-05,28.08
2020-08-06,27.75
2020-08-07,27.84
2020-08-10,27.1
2020-08-11,27.9
2020-08-12,26.95
2020-08-13,26.82
2020-08-14,26.94
2020-08-17,25.93
2020-08-18,25.55
2020-08-19,26.25
2020-08-20,25.88
2020-08-21,26.0
2020-08-24,25.9
2020-08-25,25.35
2020-08-26,26.15
2020-08-27,27.05
2020-08-28,26.9
2020-08-31,28.15
2020-09-01,28.35
2020-09-02,28.95
2020-09-03,34.1
2020-09-04,29.85
2020-09-08,30.1
2020-09-09,28.5
2020-09-10,28.86
2020-09-11,26.6
2020-09-14,25.85
2020-09-15,25.45
2020-09-16,25.4
