Trade Date,Jul21
2020-10-26,26.93
2020-10-27,16.6
2020-10-28,28.27
2020-10-29,27.77
2020-10-30,17.1
2020-11-02,23.55
2020-11-03,27.15
2020-11-04,26.35
2020-11-05,26.15
2020-11-06,25.0
2020-11-09,25.6
2020-11-10,24.95
2020-11-11,25.0
2020-11-12,25.65
2020-11-13,25.5
2020-11-16,25.6
2020-11-17,25.92
2020-11-18,25.3
2020-11-19,26.23
2020-11-20,26.15
2020-11-23,25.9
2020-11-24,25.85
2020-11-25,25.55
2020-11-27,25.56
2020-11-30,25.8
2020-12-01,26.25
2020-12-02,25.55
2020-12-03,25.45
2020-12-04,25.45
2020-12-07,25.55
2020-12-08,25.6
2020-12-09,25.86
2020-12-10,26.01
2020-12-11,26.7
2020-12-14,26.65
2020-12-15,26.76
2020-12-16,26.62
2020-12-17,26.25
2020-12-18,26.6
2020-12-21,27.6
2020-12-22,26.87
2020-12-23,27.05
2020-12-24,26.15
2020-12-28,26.05
2020-12-29,26.51
2020-12-30,26.5
2020-12-31,26.05
2021-01-04,27.17
2021-01-05,27.09
2021-01-06,26.45
2021-01-07,25.75
2021-01-08,25.93
2021-01-11,26.51
2021-01-12,26.66
2021-01-13,26.43
2021-01-14,26.7
2021-01-15,27.26
2021-01-19,27.2
2021-01-20,27.1
2021-01-21,27.32
2021-01-22,27.56
2021-01-25,28.25
2021-01-26,27.96
2021-01-27,30.4
2021-01-28,30.17
2021-01-29,30.27
2021-02-01,30.6
2021-02-02,29.68
2021-02-03,28.65
2021-02-04,28.4
2021-02-05,28.25
2021-02-08,28.4
2021-02-09,28.6
2021-02-10,29.35
2021-02-11,29.45
2021-02-12,29.4
2021-02-16,29.46
2021-02-17,30.15
2021-02-18,30.0
2021-02-19,30.05
2021-02-22,30.2
2021-02-23,30.63
2021-02-24,30.1
2021-02-25,30.27
2021-02-26,30.0
2021-03-01,29.44
2021-03-02,28.95
2021-03-03,29.28
2021-03-04,30.05
2021-03-05,29.98
2021-03-08,29.21
2021-03-09,28.9
2021-03-10,29.0
2021-03-11,28.7
2021-03-12,28.65
2021-03-15,28.45
2021-03-16,27.96
2021-03-17,27.8
2021-03-18,27.28
2021-03-19,27.35
2021-03-22,27.27
2021-03-23,26.42
2021-03-24,26.25
2021-03-25,26.77
2021-03-26,25.85
2021-03-29,25.75
2021-03-30,25.2
2021-03-31,24.65
2021-04-01,24.33
2021-04-05,23.75
2021-04-06,23.5
2021-04-07,23.4
2021-04-08,23.33
2021-04-09,23.45
2021-04-12,23.65
2021-04-13,23.3
2021-04-14,23.49
2021-04-15,23.37
2021-04-16,23.3
2021-04-19,23.68
2021-04-20,24.26
2021-04-21,24.18
2021-04-22,24.18
2021-04-23,23.95
2021-04-26,23.57
2021-04-27,23.6
2021-04-28,23.2
2021-04-29,23.56
2021-04-30,23.6
2021-05-03,23.55
2021-05-04,24.0
2021-05-05,23.55
2021-05-06,23.55
2021-05-07,23.12
2021-05-10,22.92
2021-05-11,24.23
2021-05-12,27.02
2021-05-13,26.83
2021-05-14,25.02
2021-05-17,24.1
2021-05-18,24.05
2021-05-19,26.08
2021-05-20,24.9
2021-05-21,23.68
2021-05-24,23.52
2021-05-25,22.9
2021-05-26,22.6
2021-05-27,22.02
2021-05-28,20.9
2021-06-01,21.42
2021-06-02,21.43
2021-06-03,21.78
2021-06-04,21.68
2021-06-07,20.65
2021-06-08,20.61
2021-06-09,20.65
2021-06-10,20.74
2021-06-11,19.6
2021-06-14,19.4
2021-06-15,19.65
2021-06-16,20.2
2021-06-17,20.55
2021-06-18,21.65
2021-06-21,22.25
2021-06-22,20.35
2021-06-23,18.95
2021-06-24,18.4
2021-06-25,18.3
2021-06-28,18.05
2021-06-29,18.2
2021-06-30,18.41
2021-07-01,18.0
2021-07-02,17.66
2021-07-06,18.7
2021-07-07,18.8
2021-07-08,20.5
2021-07-09,20.1
2021-07-12,18.4
2021-07-13,17.9
2021-07-14,18.05
2021-07-15,18.25
2021-07-16,18.76
2021-07-19,24.76
2021-07-20,22.85
2021-07-21,20.0
