Trade Date,Oct22
2022-01-24,28.1
2022-01-25,27.8
2022-01-26,27.25
2022-01-27,27.45
2022-01-28,27.4
2022-01-31,27.0
2022-02-01,26.2
2022-02-02,25.87
2022-02-03,26.45
2022-02-04,26.45
2022-02-07,26.37
2022-02-08,26.2
2022-02-09,25.9
2022-02-10,26.35
2022-02-11,27.15
2022-02-14,27.05
2022-02-15,26.7
2022-02-16,26.28
2022-02-17,26.4
2022-02-18,26.71
2022-02-22,27.0
2022-02-23,27.05
2022-02-24,27.95
2022-02-25,27.14
2022-02-28,27.25
2022-03-01,27.8
2022-03-02,27.6
2022-03-03,27.45
2022-03-04,27.95
2022-03-07,28.55
2022-03-08,28.85
2022-03-09,28.45
2022-03-10,28.9
2022-03-11,28.7
2022-03-14,29.6
2022-03-15,29.5
2022-03-16,28.9
2022-03-17,28.25
2022-03-18,27.95
2022-03-21,27.35
2022-03-22,27.22
2022-03-23,27.1
2022-03-24,27.05
2022-03-25,26.95
2022-03-28,27.05
2022-03-29,26.65
2022-03-30,26.7
2022-03-31,26.9
2022-04-01,26.95
2022-04-04,26.85
2022-04-05,27.2
2022-04-06,27.63
2022-04-07,27.7
2022-04-08,27.45
2022-04-11,27.88
2022-04-12,28.15
2022-04-13,28.16
2022-04-14,28.02
2022-04-18,28.27
2022-04-19,28.15
2022-04-20,27.76
2022-04-21,27.97
2022-04-22,28.95
2022-04-25,29.1
2022-04-26,29.4
2022-04-27,29.4
2022-04-28,29.1
2022-04-29,29.6
2022-05-02,30.05
2022-05-03,29.47
2022-05-04,28.95
2022-05-05,29.9
2022-05-06,30.37
2022-05-09,30.95
2022-05-10,31.0
2022-05-11,30.7
2022-05-12,30.92
2022-05-13,30.25
2022-05-16,29.75
2022-05-17,29.26
2022-05-18,30.65
2022-05-19,31.14
2022-05-20,30.95
2022-05-23,30.0
2022-05-24,30.55
2022-05-25,30.15
2022-05-26,29.49
2022-05-27,29.4
2022-05-31,29.58
2022-06-01,29.3
2022-06-02,28.85
2022-06-03,28.7
2022-06-06,28.67
2022-06-07,28.95
2022-06-08,28.42
2022-06-09,28.8
2022-06-10,30.07
2022-06-13,31.8
2022-06-14,31.77
2022-06-15,31.17
2022-06-16,31.52
2022-06-17,31.3
2022-06-21,31.21
2022-06-22,30.62
2022-06-23,29.97
2022-06-24,29.65
2022-06-27,29.33
2022-06-28,29.52
2022-06-29,29.78
2022-06-30,30.27
2022-07-01,30.2
2022-07-05,30.13
2022-07-06,29.67
2022-07-07,29.25
2022-07-08,29.07
2022-07-11,29.22
2022-07-12,29.46
2022-07-13,29.94
2022-07-14,30.17
2022-07-15,29.66
2022-07-18,29.26
2022-07-19,29.05
2022-07-20,28.88
2022-07-21,28.6
2022-07-22,28.51
2022-07-25,28.33
2022-07-26,28.65
2022-07-27,28.08
2022-07-28,27.65
2022-07-29,26.62
2022-08-01,27.05
2022-08-02,27.53
2022-08-03,27.35
2022-08-04,26.75
2022-08-05,26.98
2022-08-08,26.65
2022-08-09,26.75
2022-08-10,26.57
2022-08-11,25.92
2022-08-12,25.63
2022-08-15,25.45
2022-08-16,25.2
2022-08-17,25.6
2022-08-18,25.4
2022-08-19,26.27
2022-08-22,27.15
2022-08-23,27.16
2022-08-24,26.91
2022-08-25,26.02
2022-08-26,27.35
2022-08-29,28.0
2022-08-30,27.7
2022-08-31,27.45
2022-09-01,27.95
2022-09-02,27.28
2022-09-06,27.57
2022-09-07,27.71
2022-09-08,26.6
2022-09-09,25.72
2022-09-12,25.72
2022-09-13,27.85
2022-09-14,27.93
2022-09-15,27.6
2022-09-16,28.66
2022-09-19,28.0
2022-09-20,27.7
2022-09-21,28.5
2022-09-22,28.75
2022-09-23,31.21
2022-09-26,31.2
2022-09-27,32.2
2022-09-28,32.71
2022-09-29,32.3
2022-09-30,31.6
2022-10-03,32.2
2022-10-04,30.2
2022-10-05,30.05
2022-10-06,30.06
2022-10-07,31.7
2022-10-10,33.11
2022-10-11,33.24
2022-10-12,32.76
2022-10-13,33.27
2022-10-14,32.7
2022-10-17,32.05
2022-10-18,31.65
2022-10-19,31.6
