Trade Date,Feb20
2019-05-28,0.0
2019-05-29,17.5
2019-05-30,17.75
2019-05-31,18.5
2019-06-03,18.65
2019-06-04,17.75
2019-06-05,18.0
2019-06-06,17.9
2019-06-07,17.95
2019-06-10,17.87
2019-06-11,17.82
2019-06-12,17.9
2019-06-13,17.88
2019-06-14,17.95
2019-06-17,17.85
2019-06-18,17.75
2019-06-19,17.7
2019-06-20,17.73
2019-06-21,17.9
2019-06-24,17.75
2019-06-25,17.99
2019-06-26,17.95
2019-06-27,17.91
2019-06-28,17.75
2019-07-01,17.49
2019-07-02,17.4
2019-07-03,17.25
2019-07-05,17.4
2019-07-08,17.33
2019-07-09,17.4
2019-07-10,17.4
2019-07-11,17.32
2019-07-12,17.2
2019-07-15,17.25
2019-07-16,17.42
2019-07-17,17.62
2019-07-18,17.67
2019-07-19,17.66
2019-07-22,17.68
2019-07-23,17.54
2019-07-24,17.27
2019-07-25,17.3
2019-07-26,17.3
2019-07-29,17.2
2019-07-30,17.45
2019-07-31,17.85
2019-08-01,18.05
2019-08-02,18.15
2019-08-05,18.85
2019-08-06,19.3
2019-08-07,18.9
2019-08-08,18.46
2019-08-09,18.19
2019-08-12,18.75
2019-08-13,18.87
2019-08-14,19.34
2019-08-15,19.37
2019-08-16,18.95
2019-08-19,18.55
2019-08-20,18.65
2019-08-21,18.7
2019-08-22,18.62
2019-08-23,19.65
2019-08-26,19.82
2019-08-27,19.72
2019-08-28,19.88
2019-08-29,19.52
2019-08-30,19.27
2019-09-03,19.65
2019-09-04,19.55
2019-09-05,19.0
2019-09-06,18.78
2019-09-09,18.72
2019-09-10,18.75
2019-09-11,18.65
2019-09-12,18.53
2019-09-13,18.42
2019-09-16,18.67
2019-09-17,18.85
2019-09-18,18.9
2019-09-19,18.75
2019-09-20,19.1
2019-09-23,19.11
2019-09-24,19.33
2019-09-25,19.43
2019-09-26,19.37
2019-09-27,19.62
2019-09-30,19.4
2019-10-01,19.7
2019-10-02,20.3
2019-10-03,20.56
2019-10-04,20.02
2019-10-07,19.75
2019-10-08,20.3
2019-10-09,20.25
2019-10-10,20.45
2019-10-11,19.55
2019-10-14,19.4
2019-10-15,19.06
2019-10-16,18.95
2019-10-17,18.82
2019-10-18,18.9
2019-10-21,18.85
2019-10-22,18.79
2019-10-23,18.87
2019-10-24,18.66
2019-10-25,18.57
2019-10-28,18.42
2019-10-29,18.52
2019-10-30,18.62
2019-10-31,18.55
2019-11-01,18.35
2019-11-04,18.05
2019-11-05,18.25
2019-11-06,18.4
2019-11-07,18.33
2019-11-08,18.32
2019-11-11,18.3
2019-11-12,18.05
2019-11-13,18.15
2019-11-14,18.08
2019-11-15,17.8
2019-11-18,17.6
2019-11-19,17.6
2019-11-20,18.07
2019-11-21,18.07
2019-11-22,18.03
2019-11-25,17.75
2019-11-26,17.5
2019-11-27,17.36
2019-11-29,17.7
2019-12-02,18.25
2019-12-03,18.9
2019-12-04,18.75
2019-12-05,18.25
2019-12-06,17.92
2019-12-09,18.15
2019-12-10,18.35
2019-12-11,18.07
2019-12-12,17.85
2019-12-13,17.35
2019-12-16,16.66
2019-12-17,16.62
2019-12-18,16.52
2019-12-19,16.52
2019-12-20,16.45
2019-12-23,16.6
2019-12-24,16.65
2019-12-26,16.65
2019-12-27,17.05
2019-12-30,17.45
2019-12-31,17.52
2020-01-02,16.7
2020-01-03,17.31
2020-01-06,17.3
2020-01-07,16.88
2020-01-08,18.15
2020-01-09,16.21
2020-01-10,15.9
2020-01-13,15.75
2020-01-14,15.6
2020-01-15,15.4
2020-01-16,15.2
2020-01-17,15.2
2020-01-21,15.4
2020-01-22,15.28
2020-01-23,15.65
2020-01-24,16.35
2020-01-27,17.95
2020-01-28,17.85
2020-01-29,16.96
2020-01-30,17.8
2020-01-31,19.11
2020-02-03,18.5
2020-02-04,18.25
2020-02-05,17.0
2020-02-06,16.0
2020-02-07,16.4
2020-02-10,16.75
2020-02-11,15.8
2020-02-12,15.65
2020-02-13,15.85
2020-02-14,15.07
2020-02-18,15.45
2020-02-19,15.0
