Trade Date,Jun22
2021-09-20,25.5
2021-09-21,25.85
2021-09-22,25.31
2021-09-23,24.9
2021-09-24,24.92
2021-09-27,24.75
2021-09-28,25.61
2021-09-29,25.8
2021-09-30,25.7
2021-10-01,25.75
2021-10-04,26.0
2021-10-05,25.65
2021-10-06,25.95
2021-10-07,25.48
2021-10-08,25.65
2021-10-11,25.55
2021-10-12,25.35
2021-10-13,25.25
2021-10-14,24.8
2021-10-15,25.3
2021-10-18,25.35
2021-10-19,25.3
2021-10-20,25.2
2021-10-21,25.2
2021-10-22,25.25
2021-10-25,25.3
2021-10-26,25.0
2021-10-27,25.25
2021-10-28,25.05
2021-10-29,25.1
2021-11-01,25.15
2021-11-02,25.0
2021-11-03,24.8
2021-11-04,24.75
2021-11-05,24.9
2021-11-08,25.1
2021-11-09,25.35
2021-11-10,25.45
2021-11-11,25.23
2021-11-12,25.0
2021-11-15,25.15
2021-11-16,25.45
2021-11-17,25.9
2021-11-18,26.0
2021-11-19,26.1
2021-11-22,25.93
2021-11-23,26.1
2021-11-24,26.0
2021-11-26,27.2
2021-11-29,26.38
2021-11-30,27.0
2021-12-01,27.45
2021-12-02,27.25
2021-12-03,27.92
2021-12-06,27.55
2021-12-07,26.85
2021-12-08,26.0
2021-12-09,26.0
2021-12-10,26.05
2021-12-13,26.3
2021-12-14,26.72
2021-12-15,26.7
2021-12-16,26.4
2021-12-17,26.8
2021-12-20,27.63
2021-12-21,26.7
2021-12-22,26.55
2021-12-23,26.15
2021-12-27,26.2
2021-12-28,25.95
2021-12-29,25.8
2021-12-30,25.7
2021-12-31,25.7
2022-01-03,25.65
2022-01-04,25.52
2022-01-05,26.05
2022-01-06,26.32
2022-01-07,26.0
2022-01-10,26.12
2022-01-11,25.47
2022-01-12,24.88
2022-01-13,25.4
2022-01-14,25.7
2022-01-18,25.77
2022-01-19,25.75
2022-01-20,26.05
2022-01-21,26.8
2022-01-24,28.47
2022-01-25,27.77
2022-01-26,27.2
2022-01-27,27.6
2022-01-28,27.3
2022-01-31,26.57
2022-02-01,25.66
2022-02-02,25.07
2022-02-03,26.21
2022-02-04,26.25
2022-02-07,26.06
2022-02-08,25.6
2022-02-09,25.0
2022-02-10,25.77
2022-02-11,26.8
2022-02-14,27.1
2022-02-15,26.82
2022-02-16,26.13
2022-02-17,26.27
2022-02-18,26.75
2022-02-22,27.22
2022-02-23,27.41
2022-02-24,28.85
2022-02-25,27.55
2022-02-28,27.75
2022-03-01,28.95
2022-03-02,29.07
2022-03-03,28.4
2022-03-04,29.5
2022-03-07,30.6
2022-03-08,31.2
2022-03-09,30.65
2022-03-10,30.45
2022-03-11,29.9
2022-03-14,31.05
2022-03-15,30.85
2022-03-16,29.9
2022-03-17,28.4
2022-03-18,28.2
2022-03-21,26.8
2022-03-22,26.8
2022-03-23,26.72
2022-03-24,26.42
2022-03-25,26.25
2022-03-28,26.31
2022-03-29,25.4
2022-03-30,25.33
2022-03-31,25.55
2022-04-01,25.64
2022-04-04,25.2
2022-04-05,25.67
2022-04-06,26.87
2022-04-07,26.75
2022-04-08,26.05
2022-04-11,26.7
2022-04-12,26.98
2022-04-13,27.07
2022-04-14,26.25
2022-04-18,26.68
2022-04-19,26.15
2022-04-20,25.35
2022-04-21,26.22
2022-04-22,28.55
2022-04-25,29.37
2022-04-26,30.4
2022-04-27,30.5
2022-04-28,29.9
2022-04-29,31.32
2022-05-02,32.61
2022-05-03,31.2
2022-05-04,29.35
2022-05-05,31.75
2022-05-06,33.1
2022-05-09,33.32
2022-05-10,33.65
2022-05-11,32.95
2022-05-12,32.95
2022-05-13,31.45
2022-05-16,29.85
2022-05-17,28.35
2022-05-18,31.75
2022-05-19,32.95
2022-05-20,31.7
2022-05-23,29.95
2022-05-24,30.55
2022-05-25,30.0
2022-05-26,28.65
2022-05-27,28.4
2022-05-31,28.25
2022-06-01,27.86
2022-06-02,26.55
2022-06-03,26.7
2022-06-06,26.16
2022-06-07,26.45
2022-06-08,25.4
2022-06-09,26.51
2022-06-10,29.35
2022-06-13,33.95
2022-06-14,33.55
2022-06-15,33.1
