Trade Date,M:12 Y:22
2022-03-21,
2022-03-22,25.7
2022-03-23,25.8
2022-03-24,25.73
2022-03-25,25.65
2022-03-28,25.5
2022-03-29,25.3
2022-03-30,25.41
2022-03-31,25.62
2022-04-01,25.45
2022-04-04,25.2
2022-04-05,25.8
2022-04-06,25.95
2022-04-07,25.75
2022-04-08,25.85
2022-04-11,26.3
2022-04-12,26.45
2022-04-13,26.0
2022-04-14,26.45
2022-04-18,26.5
2022-04-19,26.2
2022-04-20,25.85
2022-04-21,26.55
2022-04-22,27.5
2022-04-25,27.05
2022-04-26,27.85
2022-04-27,27.45
2022-04-28,27.2
2022-04-29,27.75
2022-05-02,27.67
2022-05-03,27.35
2022-05-04,26.45
2022-05-05,28.05
2022-05-06,28.15
2022-05-09,29.07
2022-05-10,28.7
2022-05-11,28.7
2022-05-12,28.5
2022-05-13,27.99
2022-05-16,27.95
2022-05-17,27.65
2022-05-18,28.95
2022-05-19,28.27
2022-05-20,28.55
2022-05-23,28.37
2022-05-24,28.45
2022-05-25,28.15
2022-05-26,28.07
2022-05-27,27.75
2022-05-31,27.77
2022-06-01,27.71
2022-06-02,27.3
2022-06-03,27.73
2022-06-06,27.77
2022-06-07,27.65
2022-06-08,27.67
2022-06-09,28.3
2022-06-10,29.02
2022-06-13,30.47
2022-06-14,30.3
2022-06-15,29.12
2022-06-16,30.25
2022-06-17,29.63
2022-06-21,28.97
2022-06-22,28.8
2022-06-23,28.77
2022-06-24,28.32
2022-06-27,28.07
2022-06-28,28.56
2022-06-29,28.61
2022-06-30,28.87
2022-07-01,28.47
2022-07-05,28.42
2022-07-06,28.37
2022-07-07,28.32
2022-07-08,28.1
2022-07-11,28.52
2022-07-12,28.67
2022-07-13,28.82
2022-07-14,28.87
2022-07-15,28.32
2022-07-18,28.67
2022-07-19,28.13
2022-07-20,27.98
2022-07-21,27.92
2022-07-22,27.99
2022-07-25,27.96
2022-07-26,27.98
2022-07-27,27.6
2022-07-28,26.86
2022-07-29,26.6
2022-08-01,27.07
2022-08-02,27.5
2022-08-03,26.98
2022-08-04,27.22
2022-08-05,27.15
2022-08-08,27.1
2022-08-09,27.3
2022-08-10,26.58
2022-08-11,26.52
2022-08-12,26.35
2022-08-15,26.25
2022-08-16,26.2
2022-08-17,26.4
2022-08-18,26.28
2022-08-19,26.85
2022-08-22,27.38
2022-08-23,27.36
2022-08-24,26.88
2022-08-25,26.5
2022-08-26,27.62
2022-08-29,27.55
2022-08-30,27.63
2022-08-31,27.55
2022-09-01,27.31
2022-09-02,27.27
2022-09-06,27.58
2022-09-07,26.89
2022-09-08,26.6
2022-09-09,26.52
2022-09-12,26.21
2022-09-13,27.65
2022-09-14,27.58
2022-09-15,27.72
2022-09-16,27.55
2022-09-19,26.93
2022-09-20,27.31
2022-09-21,27.85
2022-09-22,27.56
2022-09-23,28.62
2022-09-26,29.55
2022-09-27,29.55
2022-09-28,29.01
2022-09-29,29.6
2022-09-30,29.88
2022-10-03,29.15
2022-10-04,28.66
2022-10-05,28.75
2022-10-06,29.36
2022-10-07,30.45
2022-10-10,30.77
2022-10-11,31.07
2022-10-12,31.0
2022-10-13,30.18
2022-10-14,30.83
2022-10-17,30.2
2022-10-18,29.6
2022-10-19,29.91
2022-10-20,29.6
2022-10-21,29.5
2022-10-24,29.42
2022-10-25,28.55
2022-10-26,27.79
2022-10-27,27.7
2022-10-28,26.8
2022-10-31,26.47
2022-11-01,26.12
2022-11-02,26.6
2022-11-03,26.1
2022-11-04,25.79
2022-11-07,25.53
2022-11-08,26.24
2022-11-09,27.0
2022-11-10,25.78
2022-11-11,25.55
2022-11-14,25.2
2022-11-15,25.75
2022-11-16,25.12
2022-11-17,24.78
2022-11-18,24.5
2022-11-21,23.84
2022-11-22,22.95
2022-11-23,22.5
2022-11-25,22.6
2022-11-28,23.45
2022-11-29,23.13
2022-11-30,21.9
2022-12-01,21.73
2022-12-02,21.25
2022-12-05,21.66
2022-12-06,22.47
2022-12-07,22.85
2022-12-08,22.45
2022-12-09,23.25
2022-12-12,23.19
2022-12-13,21.75
2022-12-14,20.6
2022-12-15,22.4
2022-12-16,22.56
2022-12-19,22.3
2022-12-20,21.49
2022-12-21,20.55
