Trade Date,Mar24
2023-06-26,21.6
2023-06-27,21.5
2023-06-28,21.32
2023-06-29,21.05
2023-06-30,20.95
2023-07-03,20.85
2023-07-05,20.91
2023-07-06,21.7
2023-07-07,21.3
2023-07-10,21.05
2023-07-11,20.6
2023-07-12,20.3
2023-07-13,20.1
2023-07-14,20.15
2023-07-17,20.0
2023-07-18,20.0
2023-07-19,20.25
2023-07-20,20.35
2023-07-21,20.25
2023-07-24,20.1
2023-07-25,19.91
2023-07-26,19.95
2023-07-27,20.2
2023-07-28,19.93
2023-07-31,19.81
2023-08-01,20.02
2023-08-02,20.68
2023-08-03,20.8
2023-08-04,20.56
2023-08-07,20.35
2023-08-08,20.82
2023-08-09,20.5
2023-08-10,20.5
2023-08-11,20.47
2023-08-14,20.28
2023-08-15,20.6
2023-08-16,20.76
2023-08-17,21.08
2023-08-18,21.35
2023-08-21,20.9
2023-08-22,20.75
2023-08-23,20.7
2023-08-24,20.8
2023-08-25,20.8
2023-08-28,20.4
2023-08-29,20.1
2023-08-30,19.85
2023-08-31,19.67
2023-09-01,19.5
2023-09-05,19.55
2023-09-06,19.65
2023-09-07,19.8
2023-09-08,19.45
2023-09-11,19.05
2023-09-12,18.95
2023-09-13,18.95
2023-09-14,18.85
2023-09-15,18.9
2023-09-18,19.05
2023-09-19,19.06
2023-09-20,18.95
2023-09-21,19.42
2023-09-22,19.45
2023-09-25,19.6
2023-09-26,20.15
2023-09-27,20.4
2023-09-28,20.0
2023-09-29,19.65
2023-10-02,19.73
2023-10-03,20.6
2023-10-04,20.95
2023-10-05,20.65
2023-10-06,20.62
2023-10-09,20.52
2023-10-10,19.97
2023-10-11,19.9
2023-10-12,19.97
2023-10-13,20.95
2023-10-16,20.8
2023-10-17,20.56
2023-10-18,21.06
2023-10-19,21.8
2023-10-20,22.0
2023-10-23,22.37
2023-10-24,21.35
2023-10-25,21.65
2023-10-26,22.05
2023-10-27,22.1
2023-10-30,21.95
2023-10-31,21.2
2023-11-01,20.56
2023-11-02,19.82
2023-11-03,19.55
2023-11-06,19.07
2023-11-07,18.81
2023-11-08,18.7
2023-11-09,18.75
2023-11-10,18.65
2023-11-13,18.5
2023-11-14,18.27
2023-11-15,18.25
2023-11-16,18.05
2023-11-17,17.87
2023-11-20,17.66
2023-11-21,17.65
2023-11-22,17.55
2023-11-24,17.55
2023-11-27,17.2
2023-11-28,17.2
2023-11-29,17.3
2023-11-30,17.3
2023-12-01,17.1
2023-12-04,17.35
2023-12-05,17.25
2023-12-06,17.18
2023-12-07,17.2
2023-12-08,17.12
2023-12-11,16.7
2023-12-12,16.45
2023-12-13,16.3
2023-12-14,16.18
2023-12-15,16.3
2023-12-18,16.45
2023-12-19,16.9
2023-12-20,17.62
2023-12-21,17.6
2023-12-22,17.5
2023-12-26,17.16
2023-12-27,16.8
2023-12-28,16.4
2023-12-29,16.45
2024-01-02,16.65
2024-01-03,16.74
2024-01-04,16.55
2024-01-05,16.71
2024-01-08,16.18
2024-01-09,15.85
2024-01-10,15.5
2024-01-11,15.65
2024-01-12,15.6
2024-01-16,16.19
2024-01-17,16.72
2024-01-18,16.4
2024-01-19,16.0
2024-01-22,15.65
2024-01-23,15.2
2024-01-24,15.2
2024-01-25,15.35
2024-01-26,15.5
2024-01-29,15.4
2024-01-30,15.3
2024-01-31,15.8
2024-02-01,15.82
2024-02-02,15.7
2024-02-05,15.72
2024-02-06,15.11
2024-02-07,14.75
2024-02-08,14.8
2024-02-09,14.75
2024-02-12,15.15
2024-02-13,16.95
2024-02-14,15.95
2024-02-15,15.35
2024-02-16,15.25
2024-02-20,15.9
2024-02-21,15.75
2024-02-22,15.1
2024-02-23,15.01
2024-02-26,14.6
2024-02-27,14.35
2024-02-28,14.4
2024-02-29,14.45
2024-03-01,14.25
2024-03-04,14.15
2024-03-05,15.25
2024-03-06,14.95
2024-03-07,15.1
2024-03-08,15.75
2024-03-11,15.65
2024-03-12,15.21
2024-03-13,14.05
2024-03-14,15.05
2024-03-15,15.55
2024-03-18,14.65
2024-03-19,14.91
2024-03-20,14.15
