Trade Date,Dec21
2021-03-22,26.63
2021-03-23,25.88
2021-03-24,25.69
2021-03-25,25.9
2021-03-26,25.35
2021-03-29,25.35
2021-03-30,24.85
2021-03-31,24.7
2021-04-01,24.36
2021-04-05,24.05
2021-04-06,23.77
2021-04-07,23.93
2021-04-08,23.5
2021-04-09,23.79
2021-04-12,23.75
2021-04-13,23.55
2021-04-14,23.65
2021-04-15,23.72
2021-04-16,23.75
2021-04-19,24.0
2021-04-20,24.3
2021-04-21,24.25
2021-04-22,24.45
2021-04-23,24.44
2021-04-26,24.3
2021-04-27,24.3
2021-04-28,23.76
2021-04-29,24.05
2021-04-30,24.02
2021-05-03,24.0
2021-05-04,24.35
2021-05-05,24.1
2021-05-06,23.95
2021-05-07,23.8
2021-05-10,23.7
2021-05-11,24.4
2021-05-12,25.75
2021-05-13,25.55
2021-05-14,24.65
2021-05-17,24.55
2021-05-18,24.75
2021-05-19,25.82
2021-05-20,25.1
2021-05-21,24.45
2021-05-24,24.35
2021-05-25,24.1
2021-05-26,23.95
2021-05-27,23.75
2021-05-28,23.35
2021-06-01,23.46
2021-06-02,23.63
2021-06-03,23.85
2021-06-04,23.85
2021-06-07,23.4
2021-06-08,23.3
2021-06-09,23.4
2021-06-10,23.35
2021-06-11,22.5
2021-06-14,22.56
2021-06-15,22.62
2021-06-16,22.76
2021-06-17,22.91
2021-06-18,23.32
2021-06-21,23.55
2021-06-22,22.95
2021-06-23,22.35
2021-06-24,22.15
2021-06-25,22.23
2021-06-28,22.18
2021-06-29,22.31
2021-06-30,22.5
2021-07-01,22.43
2021-07-02,22.3
2021-07-06,22.72
2021-07-07,22.83
2021-07-08,23.4
2021-07-09,22.97
2021-07-12,22.79
2021-07-13,22.98
2021-07-14,23.1
2021-07-15,23.3
2021-07-16,23.21
2021-07-19,24.3
2021-07-20,23.95
2021-07-21,23.7
2021-07-22,22.99
2021-07-23,22.87
2021-07-26,23.25
2021-07-27,23.7
2021-07-28,23.42
2021-07-29,23.26
2021-07-30,23.5
2021-08-02,23.7
2021-08-03,23.8
2021-08-04,23.45
2021-08-05,23.25
2021-08-06,23.1
2021-08-09,23.06
2021-08-10,22.95
2021-08-11,22.9
2021-08-12,22.5
2021-08-13,22.2
2021-08-16,22.6
2021-08-17,22.95
2021-08-18,23.5
2021-08-19,23.9
2021-08-20,23.83
2021-08-23,23.05
2021-08-24,22.87
2021-08-25,22.87
2021-08-26,23.04
2021-08-27,22.9
2021-08-30,22.45
2021-08-31,22.46
2021-09-01,22.32
2021-09-02,22.18
2021-09-03,22.35
2021-09-07,22.55
2021-09-08,23.0
2021-09-09,23.21
2021-09-10,23.27
2021-09-13,23.4
2021-09-14,23.55
2021-09-15,23.37
2021-09-16,23.28
2021-09-17,23.65
2021-09-20,25.97
2021-09-21,25.15
2021-09-22,24.96
2021-09-23,23.43
2021-09-24,23.2
2021-09-27,22.55
2021-09-28,24.0
2021-09-29,24.1
2021-09-30,24.35
2021-10-01,24.57
2021-10-04,24.53
2021-10-05,24.47
2021-10-06,24.45
2021-10-07,23.33
2021-10-08,22.98
2021-10-11,22.95
2021-10-12,23.17
2021-10-13,22.8
2021-10-14,22.15
2021-10-15,21.65
2021-10-18,21.87
2021-10-19,21.49
2021-10-20,21.43
2021-10-21,21.26
2021-10-22,21.29
2021-10-25,21.33
2021-10-26,21.15
2021-10-27,21.35
2021-10-28,21.25
2021-10-29,21.5
2021-11-01,21.42
2021-11-02,21.0
2021-11-03,20.5
2021-11-04,20.25
2021-11-05,20.62
2021-11-08,20.85
2021-11-09,21.28
2021-11-10,21.55
2021-11-11,21.1
2021-11-12,20.78
2021-11-15,20.55
2021-11-16,20.15
2021-11-17,20.45
2021-11-18,20.75
2021-11-19,21.1
2021-11-22,21.26
2021-11-23,21.6
2021-11-24,21.6
2021-11-26,27.0
2021-11-29,25.8
2021-11-30,25.8
2021-12-01,27.95
2021-12-02,27.26
2021-12-03,31.5
2021-12-06,28.85
2021-12-07,25.85
2021-12-08,23.1
2021-12-09,22.25
2021-12-10,21.85
2021-12-13,21.25
2021-12-14,22.6
2021-12-15,22.55
2021-12-16,21.25
2021-12-17,22.46
2021-12-20,25.75
2021-12-21,22.65
2021-12-22,21.75
