Trade Date,Jun24
2023-09-25,16.65
2023-09-26,20.5
2023-09-27,20.75
2023-09-28,20.55
2023-09-29,20.25
2023-10-02,20.3
2023-10-03,21.1
2023-10-04,21.35
2023-10-05,21.15
2023-10-06,21.05
2023-10-09,20.81
2023-10-10,20.3
2023-10-11,20.5
2023-10-12,20.6
2023-10-13,21.3
2023-10-16,21.15
2023-10-17,21.1
2023-10-18,21.55
2023-10-19,22.15
2023-10-20,22.33
2023-10-23,22.55
2023-10-24,21.75
2023-10-25,22.03
2023-10-26,22.4
2023-10-27,22.4
2023-10-30,22.2
2023-10-31,21.55
2023-11-01,21.04
2023-11-02,20.4
2023-11-03,20.0
2023-11-06,19.64
2023-11-07,19.4
2023-11-08,19.4
2023-11-09,19.4
2023-11-10,19.35
2023-11-13,19.1
2023-11-14,18.95
2023-11-15,18.95
2023-11-16,18.82
2023-11-17,18.7
2023-11-20,18.57
2023-11-21,18.55
2023-11-22,18.55
2023-11-24,18.5
2023-11-27,18.25
2023-11-28,18.2
2023-11-29,18.35
2023-11-30,18.35
2023-12-01,18.25
2023-12-04,18.47
2023-12-05,18.45
2023-12-06,18.4
2023-12-07,18.45
2023-12-08,18.31
2023-12-11,17.98
2023-12-12,17.65
2023-12-13,17.55
2023-12-14,17.39
2023-12-15,17.45
2023-12-18,17.65
2023-12-19,18.05
2023-12-20,18.65
2023-12-21,18.55
2023-12-22,18.52
2023-12-26,18.35
2023-12-27,18.05
2023-12-28,17.78
2023-12-29,17.8
2024-01-02,18.0
2024-01-03,18.1
2024-01-04,17.9
2024-01-05,18.05
2024-01-08,17.51
2024-01-09,17.25
2024-01-10,17.0
2024-01-11,17.05
2024-01-12,16.95
2024-01-16,17.42
2024-01-17,17.75
2024-01-18,17.5
2024-01-19,17.17
2024-01-22,16.86
2024-01-23,16.55
2024-01-24,16.55
2024-01-25,16.65
2024-01-26,16.7
2024-01-29,16.73
2024-01-30,16.65
2024-01-31,17.1
2024-02-01,17.1
2024-02-02,16.98
2024-02-05,17.12
2024-02-06,16.71
2024-02-07,16.55
2024-02-08,16.57
2024-02-09,16.55
2024-02-12,16.9
2024-02-13,17.9
2024-02-14,17.27
2024-02-15,17.11
2024-02-16,17.08
2024-02-20,17.35
2024-02-21,17.15
2024-02-22,16.9
2024-02-23,16.81
2024-02-26,16.55
2024-02-27,16.41
2024-02-28,16.45
2024-02-29,16.43
2024-03-01,16.33
2024-03-04,16.4
2024-03-05,17.02
2024-03-06,16.8
2024-03-07,16.91
2024-03-08,17.42
2024-03-11,17.26
2024-03-12,17.17
2024-03-13,16.67
2024-03-14,17.22
2024-03-15,17.5
2024-03-18,17.08
2024-03-19,17.0
2024-03-20,16.7
2024-03-21,16.4
2024-03-22,16.4
2024-03-25,16.5
2024-03-26,16.22
2024-03-27,16.25
2024-03-28,16.17
2024-04-01,16.37
2024-04-02,16.85
2024-04-03,16.67
2024-04-04,17.05
2024-04-05,17.08
2024-04-08,17.01
2024-04-09,16.9
2024-04-10,17.1
2024-04-11,17.21
2024-04-12,17.98
2024-04-15,18.38
2024-04-16,18.75
2024-04-17,18.2
2024-04-18,17.85
2024-04-19,19.55
2024-04-22,17.87
2024-04-23,16.8
2024-04-24,16.42
2024-04-25,16.9
2024-04-26,16.05
2024-04-29,15.95
2024-04-30,16.1
2024-05-01,16.37
2024-05-02,16.18
2024-05-03,15.57
2024-05-06,15.13
2024-05-07,14.85
2024-05-08,14.8
2024-05-09,14.75
2024-05-10,14.62
2024-05-13,14.6
2024-05-14,14.65
2024-05-15,14.3
2024-05-16,13.9
2024-05-17,13.85
2024-05-20,13.7
2024-05-21,13.73
2024-05-22,13.85
2024-05-23,14.05
2024-05-24,13.95
2024-05-28,14.0
2024-05-29,14.5
2024-05-30,14.7
2024-05-31,14.7
2024-06-03,14.25
2024-06-04,14.25
2024-06-05,13.9
2024-06-06,13.45
2024-06-07,13.6
2024-06-10,13.6
2024-06-11,13.5
2024-06-12,13.1
2024-06-13,13.05
2024-06-14,13.6
2024-06-17,13.25
2024-06-18,12.9
