Trade Date,M:01 Y:22
2021-04-26,
2021-04-27,24.65
2021-04-28,24.4
2021-04-29,24.6
2021-04-30,
2021-05-03,24.35
2021-05-04,
2021-05-05,24.45
2021-05-06,24.45
2021-05-07,24.26
2021-05-10,24.22
2021-05-11,25.15
2021-05-12,26.1
2021-05-13,25.29
2021-05-14,24.38
2021-05-17,24.8
2021-05-18,25.25
2021-05-19,25.5
2021-05-20,25.01
2021-05-21,25.0
2021-05-24,24.5
2021-05-25,24.6
2021-05-26,24.19
2021-05-27,23.83
2021-05-28,23.95
2021-06-01,24.03
2021-06-02,24.3
2021-06-03,24.51
2021-06-04,23.99
2021-06-07,23.8
2021-06-08,23.8
2021-06-09,24.05
2021-06-10,23.28
2021-06-11,23.04
2021-06-14,23.45
2021-06-15,23.52
2021-06-16,23.8
2021-06-17,23.55
2021-06-18,24.25
2021-06-21,23.9
2021-06-22,23.45
2021-06-23,23.25
2021-06-24,23.15
2021-06-25,23.05
2021-06-28,23.0
2021-06-29,23.15
2021-06-30,23.32
2021-07-01,23.27
2021-07-02,23.28
2021-07-06,23.45
2021-07-07,23.4
2021-07-08,23.8
2021-07-09,23.57
2021-07-12,23.55
2021-07-13,23.82
2021-07-14,23.86
2021-07-15,23.81
2021-07-16,24.05
2021-07-19,24.3
2021-07-20,24.5
2021-07-21,23.89
2021-07-22,23.75
2021-07-23,23.85
2021-07-26,23.85
2021-07-27,24.35
2021-07-28,24.05
2021-07-29,24.05
2021-07-30,24.11
2021-08-02,24.55
2021-08-03,24.25
2021-08-04,24.15
2021-08-05,23.89
2021-08-06,23.7
2021-08-09,23.72
2021-08-10,23.65
2021-08-11,23.4
2021-08-12,23.0
2021-08-13,23.1
2021-08-16,23.2
2021-08-17,23.7
2021-08-18,24.2
2021-08-19,24.3
2021-08-20,23.9
2021-08-23,23.5
2021-08-24,23.8
2021-08-25,23.55
2021-08-26,23.9
2021-08-27,23.44
2021-08-30,23.32
2021-08-31,23.35
2021-09-01,23.25
2021-09-02,23.25
2021-09-03,23.35
2021-09-07,23.66
2021-09-08,23.83
2021-09-09,23.95
2021-09-10,24.15
2021-09-13,24.15
2021-09-14,24.14
2021-09-15,23.95
2021-09-16,23.9
2021-09-17,24.4
2021-09-20,25.55
2021-09-21,25.15
2021-09-22,24.25
2021-09-23,23.75
2021-09-24,23.25
2021-09-27,23.51
2021-09-28,24.6
2021-09-29,24.68
2021-09-30,24.66
2021-10-01,24.38
2021-10-04,24.85
2021-10-05,24.55
2021-10-06,24.29
2021-10-07,23.88
2021-10-08,23.88
2021-10-11,23.9
2021-10-12,23.9
2021-10-13,23.42
2021-10-14,22.8
2021-10-15,22.92
2021-10-18,23.2
2021-10-19,23.0
2021-10-20,22.72
2021-10-21,22.54
2021-10-22,22.8
2021-10-25,22.18
2021-10-26,22.4
2021-10-27,22.68
2021-10-28,22.55
2021-10-29,22.6
2021-11-01,22.46
2021-11-02,22.03
2021-11-03,21.55
2021-11-04,21.77
2021-11-05,22.27
2021-11-08,22.17
2021-11-09,22.55
2021-11-10,22.68
2021-11-11,22.45
2021-11-12,22.0
2021-11-15,21.91
2021-11-16,21.95
2021-11-17,22.4
2021-11-18,22.62
2021-11-19,22.7
2021-11-22,22.92
2021-11-23,22.74
2021-11-24,22.38
2021-11-26,26.45
2021-11-29,24.04
2021-11-30,26.0
2021-12-01,27.43
2021-12-02,26.72
2021-12-03,28.25
2021-12-06,26.7
2021-12-07,24.03
2021-12-08,22.95
2021-12-09,23.62
2021-12-10,22.36
2021-12-13,22.94
2021-12-14,23.72
2021-12-15,21.9
2021-12-16,22.8
2021-12-17,23.42
2021-12-20,24.15
2021-12-21,23.1
2021-12-22,21.8
2021-12-23,21.7
2021-12-27,21.05
2021-12-28,20.5
2021-12-29,20.0
2021-12-30,19.72
2021-12-31,19.65
2022-01-03,19.05
2022-01-04,19.0
2022-01-05,20.95
2022-01-06,20.9
2022-01-07,20.5
2022-01-10,19.98
2022-01-11,19.05
2022-01-12,18.7
2022-01-13,20.45
2022-01-14,19.7
2022-01-18,22.65
2022-01-19,22.25
