Trade Date,Oct24
2024-01-22,20.65
2024-01-23,20.26
2024-01-24,20.75
2024-01-25,20.81
2024-01-26,21.25
2024-01-29,20.7
2024-01-30,20.64
2024-01-31,20.78
2024-02-01,20.8
2024-02-02,20.7
2024-02-05,20.9
2024-02-06,20.5
2024-02-07,20.4
2024-02-08,20.5
2024-02-09,20.4
2024-02-12,20.55
2024-02-13,21.46
2024-02-14,20.8
2024-02-15,20.86
2024-02-16,20.8
2024-02-20,21.1
2024-02-21,20.98
2024-02-22,20.5
2024-02-23,20.4
2024-02-26,20.3
2024-02-27,20.21
2024-02-28,20.46
2024-02-29,20.5
2024-03-01,20.48
2024-03-04,20.6
2024-03-05,21.0
2024-03-06,20.86
2024-03-07,20.92
2024-03-08,21.23
2024-03-11,21.12
2024-03-12,21.2
2024-03-13,20.85
2024-03-14,21.26
2024-03-15,21.43
2024-03-18,21.1
2024-03-19,21.03
2024-03-20,20.8
2024-03-21,20.63
2024-03-22,20.67
2024-03-25,20.75
2024-03-26,20.61
2024-03-27,20.55
2024-03-28,20.6
2024-04-01,20.67
2024-04-02,21.04
2024-04-03,20.85
2024-04-04,21.1
2024-04-05,21.25
2024-04-08,21.25
2024-04-09,21.07
2024-04-10,21.37
2024-04-11,21.45
2024-04-12,21.95
2024-04-15,21.92
2024-04-16,22.15
2024-04-17,21.57
2024-04-18,21.38
2024-04-19,22.27
2024-04-22,21.25
2024-04-23,20.37
2024-04-24,20.28
2024-04-25,20.45
2024-04-26,20.05
2024-04-29,20.04
2024-04-30,19.95
2024-05-01,20.15
2024-05-02,20.1
2024-05-03,19.65
2024-05-06,19.37
2024-05-07,19.05
2024-05-08,19.05
2024-05-09,18.91
2024-05-10,18.75
2024-05-13,18.72
2024-05-14,18.71
2024-05-15,18.4
2024-05-16,18.1
2024-05-17,18.1
2024-05-20,17.85
2024-05-21,17.86
2024-05-22,18.05
2024-05-23,18.1
2024-05-24,18.1
2024-05-28,18.0
2024-05-29,18.25
2024-05-30,18.3
2024-05-31,18.18
2024-06-03,17.98
2024-06-04,18.11
2024-06-05,18.07
2024-06-06,18.05
2024-06-07,18.16
2024-06-10,18.12
2024-06-11,18.05
2024-06-12,18.05
2024-06-13,18.17
2024-06-14,18.4
2024-06-17,18.49
2024-06-18,18.42
2024-06-20,18.85
2024-06-21,19.05
2024-06-24,18.63
2024-06-25,18.5
2024-06-26,18.35
2024-06-27,18.25
2024-06-28,18.2
2024-07-01,18.21
2024-07-02,17.9
2024-07-03,17.85
2024-07-05,17.8
2024-07-08,17.75
2024-07-09,17.65
2024-07-10,17.65
2024-07-11,17.75
2024-07-12,17.68
2024-07-15,17.65
2024-07-16,17.65
2024-07-17,18.05
2024-07-18,18.2
2024-07-19,18.45
2024-07-22,18.67
2024-07-23,17.97
2024-07-24,19.15
2024-07-25,19.57
2024-07-26,19.25
2024-07-29,18.72
2024-07-30,19.12
2024-07-31,18.77
2024-08-01,19.82
2024-08-02,22.63
2024-08-05,34.5
2024-08-06,27.8
2024-08-07,25.07
2024-08-08,24.91
2024-08-09,23.2
2024-08-12,20.9
2024-08-13,20.7
2024-08-14,19.3
2024-08-15,18.5
2024-08-16,18.3
2024-08-19,18.4
2024-08-20,18.6
2024-08-21,18.82
2024-08-22,19.15
2024-08-23,19.0
2024-08-26,18.36
2024-08-27,18.25
2024-08-28,18.6
2024-08-29,18.65
2024-08-30,17.85
2024-09-03,20.7
2024-09-04,21.4
2024-09-05,20.6
2024-09-06,21.6
2024-09-09,21.3
2024-09-10,20.47
2024-09-11,20.68
2024-09-12,19.2
2024-09-13,18.7
2024-09-16,19.1
2024-09-17,19.3
2024-09-18,19.25
2024-09-19,18.9
2024-09-20,18.25
2024-09-23,18.21
2024-09-24,18.7
2024-09-25,18.4
2024-09-26,18.55
2024-09-27,19.4
2024-09-30,19.95
2024-10-01,20.7
2024-10-02,21.15
2024-10-03,21.3
2024-10-04,21.25
2024-10-07,22.75
2024-10-08,22.81
2024-10-09,21.6
2024-10-10,21.65
2024-10-11,21.72
2024-10-14,21.25
2024-10-15,21.25
2024-10-16,21.55
