Trade Date,M:09 Y:21
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-04,
2021-01-05,
2021-01-06,25.85
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,26.7
2021-01-19,
2021-01-20,
2021-01-21,26.7
2021-01-22,27.15
2021-01-25,27.6
2021-01-26,27.6
2021-01-27,30.05
2021-01-28,28.55
2021-01-29,29.38
2021-02-01,29.19
2021-02-02,28.3
2021-02-03,27.9
2021-02-04,27.85
2021-02-05,27.7
2021-02-08,28.0
2021-02-09,28.1
2021-02-10,28.55
2021-02-11,28.54
2021-02-12,28.6
2021-02-16,29.15
2021-02-17,29.35
2021-02-18,29.37
2021-02-19,29.37
2021-02-22,29.53
2021-02-23,29.48
2021-02-24,28.7
2021-02-25,29.45
2021-02-26,29.15
2021-03-01,28.18
2021-03-02,28.55
2021-03-03,28.95
2021-03-04,29.33
2021-03-05,28.45
2021-03-08,28.65
2021-03-09,28.7
2021-03-10,28.55
2021-03-11,28.15
2021-03-12,28.31
2021-03-15,27.97
2021-03-16,27.83
2021-03-17,27.25
2021-03-18,27.3
2021-03-19,27.6
2021-03-22,26.34
2021-03-23,26.4
2021-03-24,26.4
2021-03-25,26.2
2021-03-26,25.78
2021-03-29,25.48
2021-03-30,25.0
2021-03-31,24.83
2021-04-01,24.38
2021-04-05,24.1
2021-04-06,24.07
2021-04-07,23.75
2021-04-08,23.75
2021-04-09,24.0
2021-04-12,23.83
2021-04-13,24.04
2021-04-14,24.2
2021-04-15,24.12
2021-04-16,23.9
2021-04-19,24.3
2021-04-20,24.85
2021-04-21,24.5
2021-04-22,24.95
2021-04-23,24.65
2021-04-26,24.5
2021-04-27,24.1
2021-04-28,24.04
2021-04-29,24.2
2021-04-30,24.51
2021-05-03,24.01
2021-05-04,24.5
2021-05-05,24.15
2021-05-06,24.15
2021-05-07,23.55
2021-05-10,24.08
2021-05-11,25.03
2021-05-12,26.75
2021-05-13,25.45
2021-05-14,23.75
2021-05-17,24.18
2021-05-18,24.9
2021-05-19,25.45
2021-05-20,24.7
2021-05-21,24.3
2021-05-24,23.65
2021-05-25,23.79
2021-05-26,23.2
2021-05-27,22.52
2021-05-28,22.6
2021-06-01,22.75
2021-06-02,22.9
2021-06-03,23.15
2021-06-04,22.55
2021-06-07,22.25
2021-06-08,22.35
2021-06-09,22.5
2021-06-10,21.69
2021-06-11,21.35
2021-06-14,21.6
2021-06-15,21.75
2021-06-16,22.15
2021-06-17,21.85
2021-06-18,22.97
2021-06-21,22.27
2021-06-22,21.45
2021-06-23,21.1
2021-06-24,20.87
2021-06-25,20.75
2021-06-28,20.75
2021-06-29,20.9
2021-06-30,20.95
2021-07-01,20.85
2021-07-02,20.79
2021-07-06,21.05
2021-07-07,21.11
2021-07-08,22.05
2021-07-09,21.16
2021-07-12,21.04
2021-07-13,21.45
2021-07-14,21.15
2021-07-15,21.3
2021-07-16,21.66
2021-07-19,23.27
2021-07-20,22.61
2021-07-21,21.49
2021-07-22,21.5
2021-07-23,21.74
2021-07-26,21.58
2021-07-27,22.38
2021-07-28,22.05
2021-07-29,21.75
2021-07-30,21.95
2021-08-02,22.55
2021-08-03,21.95
2021-08-04,21.75
2021-08-05,21.3
2021-08-06,20.79
2021-08-09,20.6
2021-08-10,20.38
2021-08-11,19.88
2021-08-12,19.28
2021-08-13,19.6
2021-08-16,19.7
2021-08-17,20.44
2021-08-18,21.65
2021-08-19,22.24
2021-08-20,20.56
2021-08-23,19.7
2021-08-24,19.65
2021-08-25,19.25
2021-08-26,20.15
2021-08-27,19.05
2021-08-30,18.7
2021-08-31,18.6
2021-09-01,18.1
2021-09-02,18.1
2021-09-03,18.26
2021-09-07,18.92
2021-09-08,19.1
2021-09-09,19.4
2021-09-10,20.49
2021-09-13,19.25
2021-09-14,19.65
2021-09-15,19.4
