Trade Date,Dec17
2017-03-27,17.5
2017-03-28,17.55
2017-03-29,17.36
2017-03-30,17.24
2017-03-31,17.2
2017-04-03,17.2
2017-04-04,17.25
2017-04-05,17.0
2017-04-06,17.1
2017-04-07,17.1
2017-04-10,17.25
2017-04-11,17.46
2017-04-12,17.39
2017-04-13,17.33
2017-04-17,17.4
2017-04-18,17.11
2017-04-19,17.22
2017-04-20,17.0
2017-04-21,16.95
2017-04-24,16.7
2017-04-25,16.4
2017-04-26,16.29
2017-04-27,16.3
2017-04-28,16.35
2017-05-01,16.2
2017-05-02,15.97
2017-05-03,16.07
2017-05-04,16.1
2017-05-05,16.12
2017-05-08,16.24
2017-05-09,16.29
2017-05-10,16.38
2017-05-11,16.56
2017-05-12,16.39
2017-05-15,16.39
2017-05-16,16.54
2017-05-17,17.15
2017-05-18,17.1
2017-05-19,16.86
2017-05-22,16.49
2017-05-23,16.42
2017-05-24,16.5
2017-05-25,16.45
2017-05-26,16.49
2017-05-30,16.5
2017-05-31,16.3
2017-06-01,16.17
2017-06-02,16.14
2017-06-05,16.12
2017-06-06,16.25
2017-06-07,16.33
2017-06-08,16.25
2017-06-09,16.3
2017-06-12,16.34
2017-06-13,16.07
2017-06-14,15.95
2017-06-15,16.05
2017-06-16,15.95
2017-06-19,15.68
2017-06-20,15.73
2017-06-21,15.6
2017-06-22,15.6
2017-06-23,15.55
2017-06-26,15.45
2017-06-27,15.3
2017-06-28,15.25
2017-06-29,15.78
2017-06-30,15.3
2017-07-03,15.35
2017-07-05,15.45
2017-07-06,15.63
2017-07-07,15.5
2017-07-10,15.47
2017-07-11,15.39
2017-07-12,15.1
2017-07-13,14.85
2017-07-14,14.8
2017-07-17,14.5
2017-07-18,14.62
2017-07-19,14.55
2017-07-20,14.55
2017-07-21,14.65
2017-07-24,14.42
2017-07-25,14.22
2017-07-26,14.25
2017-07-27,14.39
2017-07-28,14.21
2017-07-31,14.17
2017-08-01,13.92
2017-08-02,13.95
2017-08-03,14.13
2017-08-04,14.2
2017-08-07,14.25
2017-08-08,14.58
2017-08-09,14.7
2017-08-10,15.5
2017-08-11,15.8
2017-08-14,15.7
2017-08-15,14.65
2017-08-16,14.63
2017-08-17,15.5
2017-08-18,15.4
2017-08-21,15.39
2017-08-22,14.99
2017-08-23,14.8
2017-08-24,14.95
2017-08-25,14.79
2017-08-28,14.8
2017-08-29,15.3
2017-08-30,14.7
2017-08-31,14.7
2017-09-01,14.5
2017-09-05,15.13
2017-09-06,14.99
2017-09-07,15.1
2017-09-08,15.2
2017-09-11,15.01
2017-09-12,14.8
2017-09-13,14.55
2017-09-14,14.39
2017-09-15,14.5
2017-09-18,14.17
2017-09-19,13.98
2017-09-20,14.07
2017-09-21,13.86
2017-09-22,14.13
2017-09-25,14.27
2017-09-26,14.05
2017-09-27,13.85
2017-09-28,13.85
2017-09-29,13.78
2017-10-02,13.57
2017-10-03,13.3
2017-10-04,13.4
2017-10-05,13.35
2017-10-06,13.3
2017-10-09,13.35
2017-10-10,13.34
2017-10-11,13.1
2017-10-12,12.95
2017-10-13,12.8
2017-10-16,12.59
2017-10-17,12.47
2017-10-18,12.4
2017-10-19,12.99
2017-10-20,12.25
2017-10-23,12.55
2017-10-24,12.55
2017-10-25,13.4
2017-10-26,12.81
2017-10-27,12.75
2017-10-30,12.5
2017-10-31,12.35
2017-11-01,12.38
2017-11-02,12.6
2017-11-03,12.35
2017-11-06,12.6
2017-11-07,12.45
2017-11-08,12.5
2017-11-09,13.05
2017-11-10,12.76
2017-11-13,12.92
2017-11-14,13.15
2017-11-15,13.5
2017-11-16,13.28
2017-11-17,12.85
2017-11-20,12.9
2017-11-21,12.17
2017-11-22,11.69
2017-11-24,11.7
2017-11-27,11.6
2017-11-28,11.5
2017-11-29,11.75
2017-11-30,11.75
2017-12-01,13.47
2017-12-04,11.95
2017-12-05,12.05
2017-12-06,12.25
2017-12-07,11.85
2017-12-08,11.3
2017-12-11,11.02
2017-12-12,10.5
2017-12-13,10.8
2017-12-14,10.75
2017-12-15,10.55
2017-12-18,10.0
2017-12-19,10.15
2017-12-20,10.1
