Trade Date,M:09 Y:23
2022-12-27,27.07
2022-12-28,
2022-12-29,26.79
2022-12-30,26.95
2023-01-03,
2023-01-04,26.2
2023-01-05,26.15
2023-01-06,25.5
2023-01-09,25.55
2023-01-10,25.15
2023-01-11,25.05
2023-01-12,24.8
2023-01-13,24.7
2023-01-17,24.6
2023-01-18,24.95
2023-01-19,25.0
2023-01-20,24.6
2023-01-23,24.31
2023-01-24,23.83
2023-01-25,23.6
2023-01-26,23.3
2023-01-27,23.08
2023-01-30,23.15
2023-01-31,22.95
2023-02-01,22.6
2023-02-02,22.9
2023-02-03,23.07
2023-02-06,23.15
2023-02-07,23.05
2023-02-08,23.32
2023-02-09,23.7
2023-02-10,23.95
2023-02-13,23.43
2023-02-14,23.19
2023-02-15,22.95
2023-02-16,23.41
2023-02-17,23.47
2023-02-21,24.17
2023-02-22,23.72
2023-02-23,23.41
2023-02-24,23.93
2023-02-27,23.58
2023-02-28,23.45
2023-03-01,23.57
2023-03-02,23.2
2023-03-03,22.75
2023-03-06,22.5
2023-03-07,22.75
2023-03-08,22.51
2023-03-09,23.54
2023-03-10,24.53
2023-03-13,24.95
2023-03-14,24.25
2023-03-15,25.55
2023-03-16,24.5
2023-03-17,25.74
2023-03-20,25.55
2023-03-21,24.55
2023-03-22,24.62
2023-03-23,24.87
2023-03-24,24.9
2023-03-27,24.29
2023-03-28,24.18
2023-03-29,23.86
2023-03-30,24.02
2023-03-31,23.99
2023-04-03,23.77
2023-04-04,24.27
2023-04-05,24.45
2023-04-06,24.27
2023-04-10,23.92
2023-04-11,23.87
2023-04-12,23.85
2023-04-13,23.52
2023-04-14,23.6
2023-04-17,23.42
2023-04-18,23.55
2023-04-19,23.6
2023-04-20,23.83
2023-04-21,23.88
2023-04-24,23.82
2023-04-25,24.47
2023-04-26,24.35
2023-04-27,24.12
2023-04-28,24.1
2023-05-01,23.95
2023-05-02,24.2
2023-05-03,24.73
2023-05-04,24.96
2023-05-05,24.26
2023-05-08,24.06
2023-05-09,24.07
2023-05-10,23.79
2023-05-11,23.56
2023-05-12,23.68
2023-05-15,23.41
2023-05-16,23.72
2023-05-17,23.32
2023-05-18,22.95
2023-05-19,23.39
2023-05-22,23.23
2023-05-23,23.25
2023-05-24,23.25
2023-05-25,23.17
2023-05-26,22.5
2023-05-30,22.36
2023-05-31,22.22
2023-06-01,21.38
2023-06-02,20.95
2023-06-05,20.63
2023-06-06,19.92
2023-06-07,19.98
2023-06-08,19.51
2023-06-09,19.48
2023-06-12,19.42
2023-06-13,19.56
2023-06-14,19.23
2023-06-15,19.32
2023-06-16,19.07
2023-06-20,19.05
2023-06-21,18.87
2023-06-22,18.67
2023-06-23,18.87
2023-06-26,18.66
2023-06-27,18.15
2023-06-28,17.7
2023-06-29,17.9
2023-06-30,17.65
2023-07-03,17.56
2023-07-05,17.63
2023-07-06,18.31
2023-07-07,17.94
2023-07-10,17.75
2023-07-11,17.62
2023-07-12,17.08
2023-07-13,17.12
2023-07-14,17.05
2023-07-17,17.05
2023-07-18,17.03
2023-07-19,17.33
2023-07-20,17.27
2023-07-21,17.07
2023-07-24,16.67
2023-07-25,16.72
2023-07-26,16.42
2023-07-27,16.87
2023-07-28,16.65
2023-07-31,16.36
2023-08-01,16.65
2023-08-02,17.86
2023-08-03,17.65
2023-08-04,18.06
2023-08-07,17.3
2023-08-08,17.71
2023-08-09,17.57
2023-08-10,17.66
2023-08-11,17.06
2023-08-14,16.76
2023-08-15,17.82
2023-08-16,17.96
2023-08-17,18.9
2023-08-18,18.5
2023-08-21,18.0
2023-08-22,17.91
2023-08-23,16.95
2023-08-24,18.1
2023-08-25,17.3
2023-08-28,16.45
2023-08-29,15.89
2023-08-30,15.32
2023-08-31,15.0
2023-09-01,14.8
2023-09-05,15.15
2023-09-06,15.3
2023-09-07,15.28
2023-09-08,14.89
2023-09-11,14.62
2023-09-12,14.6
2023-09-13,13.95
2023-09-14,13.37
2023-09-15,14.15
2023-09-18,14.03
2023-09-19,14.1
2023-09-20,13.86
