Trade Date,Nov21
2021-02-22,28.05
2021-02-23,27.15
2021-02-24,28.08
2021-02-25,28.8
2021-02-26,28.66
2021-03-01,28.05
2021-03-02,26.5
2021-03-03,28.14
2021-03-04,29.15
2021-03-05,28.75
2021-03-08,27.88
2021-03-09,28.14
2021-03-10,27.95
2021-03-11,27.89
2021-03-12,27.95
2021-03-15,28.0
2021-03-16,27.6
2021-03-17,27.66
2021-03-18,27.0
2021-03-19,27.18
2021-03-22,27.2
2021-03-23,26.4
2021-03-24,26.3
2021-03-25,26.5
2021-03-26,25.85
2021-03-29,25.85
2021-03-30,25.45
2021-03-31,25.0
2021-04-01,24.7
2021-04-05,24.35
2021-04-06,24.17
2021-04-07,24.18
2021-04-08,23.89
2021-04-09,24.07
2021-04-12,24.2
2021-04-13,24.0
2021-04-14,24.2
2021-04-15,24.15
2021-04-16,24.31
2021-04-19,24.53
2021-04-20,24.9
2021-04-21,24.9
2021-04-22,24.97
2021-04-23,24.92
2021-04-26,24.75
2021-04-27,24.77
2021-04-28,24.25
2021-04-29,24.55
2021-04-30,24.5
2021-05-03,24.45
2021-05-04,24.85
2021-05-05,24.5
2021-05-06,24.4
2021-05-07,24.27
2021-05-10,24.15
2021-05-11,24.92
2021-05-12,26.37
2021-05-13,26.2
2021-05-14,25.25
2021-05-17,24.9
2021-05-18,25.1
2021-05-19,26.22
2021-05-20,25.5
2021-05-21,24.73
2021-05-24,24.65
2021-05-25,24.3
2021-05-26,24.1
2021-05-27,23.9
2021-05-28,23.42
2021-06-01,23.55
2021-06-02,23.7
2021-06-03,23.95
2021-06-04,23.9
2021-06-07,23.46
2021-06-08,23.3
2021-06-09,23.35
2021-06-10,23.35
2021-06-11,22.45
2021-06-14,22.52
2021-06-15,22.63
2021-06-16,22.79
2021-06-17,22.95
2021-06-18,23.39
2021-06-21,23.65
2021-06-22,23.0
2021-06-23,22.31
2021-06-24,22.1
2021-06-25,22.12
2021-06-28,22.1
2021-06-29,22.22
2021-06-30,22.4
2021-07-01,22.3
2021-07-02,22.15
2021-07-06,22.57
2021-07-07,22.65
2021-07-08,23.35
2021-07-09,22.91
2021-07-12,22.65
2021-07-13,22.86
2021-07-14,22.95
2021-07-15,23.15
2021-07-16,23.1
2021-07-19,24.35
2021-07-20,24.05
2021-07-21,23.81
2021-07-22,22.97
2021-07-23,22.82
2021-07-26,23.17
2021-07-27,23.66
2021-07-28,23.4
2021-07-29,23.2
2021-07-30,23.5
2021-08-02,23.75
2021-08-03,23.8
2021-08-04,23.45
2021-08-05,23.2
2021-08-06,22.99
2021-08-09,22.87
2021-08-10,22.67
2021-08-11,22.55
2021-08-12,22.1
2021-08-13,21.66
2021-08-16,22.17
2021-08-17,22.7
2021-08-18,23.4
2021-08-19,24.05
2021-08-20,23.93
2021-08-23,22.82
2021-08-24,22.58
2021-08-25,22.62
2021-08-26,22.85
2021-08-27,22.68
2021-08-30,22.2
2021-08-31,22.09
2021-09-01,21.94
2021-09-02,21.8
2021-09-03,21.95
2021-09-07,22.15
2021-09-08,22.61
2021-09-09,22.85
2021-09-10,22.9
2021-09-13,22.97
2021-09-14,23.05
2021-09-15,22.78
2021-09-16,22.65
2021-09-17,23.2
2021-09-20,26.45
2021-09-21,25.1
2021-09-22,24.75
2021-09-23,23.05
2021-09-24,22.68
2021-09-27,21.85
2021-09-28,23.75
2021-09-29,23.85
2021-09-30,24.07
2021-10-01,24.5
2021-10-04,24.3
2021-10-05,24.22
2021-10-06,24.1
2021-10-07,22.75
2021-10-08,22.28
2021-10-11,22.16
2021-10-12,22.31
2021-10-13,21.86
2021-10-14,21.05
2021-10-15,20.15
2021-10-18,20.55
2021-10-19,19.85
2021-10-20,19.75
2021-10-21,19.7
2021-10-22,19.6
2021-10-25,19.45
2021-10-26,19.4
2021-10-27,19.5
2021-10-28,19.35
2021-10-29,19.55
2021-11-01,19.26
2021-11-02,18.66
2021-11-03,18.15
2021-11-04,17.8
2021-11-05,18.55
2021-11-08,18.95
2021-11-09,19.6
2021-11-10,20.3
2021-11-11,19.7
2021-11-12,18.7
2021-11-15,17.88
2021-11-16,17.38
2021-11-17,16.65
