Trade Date,Dec23
2023-03-27,24.25
2023-03-28,23.95
2023-03-29,23.73
2023-03-30,23.67
2023-03-31,23.9
2023-04-03,23.75
2023-04-04,24.0
2023-04-05,24.22
2023-04-06,24.2
2023-04-10,24.15
2023-04-11,23.76
2023-04-12,23.75
2023-04-13,23.65
2023-04-14,23.7
2023-04-17,23.61
2023-04-18,23.75
2023-04-19,23.96
2023-04-20,24.1
2023-04-21,24.06
2023-04-24,24.1
2023-04-25,24.77
2023-04-26,24.75
2023-04-27,24.4
2023-04-28,24.44
2023-05-01,24.35
2023-05-02,24.85
2023-05-03,24.8
2023-05-04,25.1
2023-05-05,24.9
2023-05-08,24.55
2023-05-09,24.35
2023-05-10,24.31
2023-05-11,24.21
2023-05-12,24.02
2023-05-15,23.92
2023-05-16,24.21
2023-05-17,24.2
2023-05-18,23.9
2023-05-19,24.15
2023-05-22,24.25
2023-05-23,24.12
2023-05-24,24.06
2023-05-25,24.03
2023-05-26,23.85
2023-05-30,23.45
2023-05-31,23.45
2023-06-01,23.12
2023-06-02,22.45
2023-06-05,22.0
2023-06-06,21.75
2023-06-07,21.25
2023-06-08,21.21
2023-06-09,20.91
2023-06-12,20.96
2023-06-13,20.85
2023-06-14,20.9
2023-06-15,20.7
2023-06-16,20.75
2023-06-20,20.65
2023-06-21,20.52
2023-06-22,20.6
2023-06-23,20.65
2023-06-26,20.55
2023-06-27,20.2
2023-06-28,19.85
2023-06-29,19.55
2023-06-30,19.5
2023-07-03,19.2
2023-07-05,19.37
2023-07-06,20.23
2023-07-07,19.76
2023-07-10,19.45
2023-07-11,19.07
2023-07-12,18.85
2023-07-13,18.45
2023-07-14,18.57
2023-07-17,18.45
2023-07-18,18.5
2023-07-19,18.73
2023-07-20,18.85
2023-07-21,18.72
2023-07-24,18.58
2023-07-25,18.35
2023-07-26,18.4
2023-07-27,18.65
2023-07-28,18.3
2023-07-31,18.25
2023-08-01,18.4
2023-08-02,19.22
2023-08-03,19.4
2023-08-04,19.22
2023-08-07,19.0
2023-08-08,19.54
2023-08-09,19.07
2023-08-10,19.0
2023-08-11,19.04
2023-08-14,18.78
2023-08-15,19.1
2023-08-16,19.17
2023-08-17,19.62
2023-08-18,19.95
2023-08-21,19.42
2023-08-22,19.35
2023-08-23,19.22
2023-08-24,19.35
2023-08-25,19.37
2023-08-28,18.81
2023-08-29,18.46
2023-08-30,18.12
2023-08-31,17.9
2023-09-01,17.6
2023-09-05,17.65
2023-09-06,17.85
2023-09-07,18.03
2023-09-08,17.72
2023-09-11,17.33
2023-09-12,17.2
2023-09-13,17.25
2023-09-14,17.05
2023-09-15,17.06
2023-09-18,17.23
2023-09-19,17.25
2023-09-20,17.3
2023-09-21,17.95
2023-09-22,18.03
2023-09-25,18.41
2023-09-26,19.13
2023-09-27,19.5
2023-09-28,18.95
2023-09-29,18.45
2023-10-02,18.6
2023-10-03,19.78
2023-10-04,20.12
2023-10-05,19.63
2023-10-06,19.69
2023-10-09,19.55
2023-10-10,18.61
2023-10-11,18.36
2023-10-12,18.52
2023-10-13,19.85
2023-10-16,19.75
2023-10-17,19.03
2023-10-18,19.8
2023-10-19,20.73
2023-10-20,21.0
2023-10-23,21.62
2023-10-24,20.05
2023-10-25,20.65
2023-10-26,21.05
2023-10-27,21.3
2023-10-30,21.15
2023-10-31,19.9
2023-11-01,18.84
2023-11-02,17.92
2023-11-03,17.5
2023-11-06,16.9
2023-11-07,16.62
2023-11-08,16.55
2023-11-09,16.8
2023-11-10,16.66
2023-11-13,16.4
2023-11-14,16.0
2023-11-15,15.66
2023-11-16,15.5
2023-11-17,15.25
2023-11-20,15.0
2023-11-21,14.95
2023-11-22,14.75
2023-11-24,14.65
2023-11-27,14.2
2023-11-28,14.1
2023-11-29,14.1
2023-11-30,14.15
2023-12-01,13.85
2023-12-04,14.3
2023-12-05,14.05
2023-12-06,13.85
2023-12-07,13.9
2023-12-08,13.87
2023-12-11,13.35
2023-12-12,13.0
2023-12-13,12.55
2023-12-14,12.65
2023-12-15,12.8
2023-12-18,12.6
2023-12-19,12.65
2023-12-20,12.6
