Trade Date,May22
2021-08-23,16.65
2021-08-24,24.9
2021-08-25,24.75
2021-08-26,24.75
2021-08-27,24.44
2021-08-30,24.2
2021-08-31,24.25
2021-09-01,24.25
2021-09-02,24.15
2021-09-03,24.45
2021-09-07,24.6
2021-09-08,25.0
2021-09-09,24.85
2021-09-10,25.17
2021-09-13,25.2
2021-09-14,25.25
2021-09-15,25.2
2021-09-16,25.05
2021-09-17,25.25
2021-09-20,26.55
2021-09-21,26.05
2021-09-22,25.5
2021-09-23,24.95
2021-09-24,25.03
2021-09-27,24.8
2021-09-28,25.7
2021-09-29,25.7
2021-09-30,25.9
2021-10-01,26.05
2021-10-04,26.05
2021-10-05,26.0
2021-10-06,26.0
2021-10-07,25.42
2021-10-08,25.38
2021-10-11,25.4
2021-10-12,25.4
2021-10-13,25.35
2021-10-14,24.95
2021-10-15,25.0
2021-10-18,25.2
2021-10-19,25.21
2021-10-20,25.15
2021-10-21,25.07
2021-10-22,25.1
2021-10-25,25.2
2021-10-26,24.85
2021-10-27,25.05
2021-10-28,24.95
2021-10-29,25.0
2021-11-01,25.11
2021-11-02,24.95
2021-11-03,24.66
2021-11-04,24.55
2021-11-05,24.85
2021-11-08,25.02
2021-11-09,25.35
2021-11-10,25.35
2021-11-11,25.15
2021-11-12,24.9
2021-11-15,25.15
2021-11-16,25.25
2021-11-17,25.6
2021-11-18,25.77
2021-11-19,25.9
2021-11-22,25.75
2021-11-23,25.93
2021-11-24,25.83
2021-11-26,27.25
2021-11-29,26.7
2021-11-30,27.13
2021-12-01,27.55
2021-12-02,27.4
2021-12-03,28.27
2021-12-06,27.72
2021-12-07,27.0
2021-12-08,26.03
2021-12-09,25.92
2021-12-10,25.95
2021-12-13,26.25
2021-12-14,26.75
2021-12-15,26.7
2021-12-16,26.35
2021-12-17,26.8
2021-12-20,27.71
2021-12-21,26.7
2021-12-22,26.5
2021-12-23,26.0
2021-12-27,26.0
2021-12-28,25.82
2021-12-29,25.55
2021-12-30,25.41
2021-12-31,25.45
2022-01-03,25.35
2022-01-04,25.23
2022-01-05,25.75
2022-01-06,26.03
2022-01-07,25.75
2022-01-10,25.9
2022-01-11,25.18
2022-01-12,24.55
2022-01-13,25.15
2022-01-14,25.47
2022-01-18,25.55
2022-01-19,25.51
2022-01-20,25.95
2022-01-21,26.85
2022-01-24,28.8
2022-01-25,28.1
2022-01-26,27.45
2022-01-27,28.0
2022-01-28,27.72
2022-01-31,26.85
2022-02-01,25.77
2022-02-02,25.05
2022-02-03,26.3
2022-02-04,26.32
2022-02-07,26.03
2022-02-08,25.42
2022-02-09,24.7
2022-02-10,25.68
2022-02-11,27.05
2022-02-14,27.45
2022-02-15,27.06
2022-02-16,26.22
2022-02-17,26.6
2022-02-18,27.12
2022-02-22,27.64
2022-02-23,27.9
2022-02-24,29.82
2022-02-25,28.08
2022-02-28,28.36
2022-03-01,29.78
2022-03-02,29.97
2022-03-03,29.05
2022-03-04,30.32
2022-03-07,31.6
2022-03-08,32.3
2022-03-09,31.6
2022-03-10,31.32
2022-03-11,30.3
2022-03-14,31.8
2022-03-15,31.75
2022-03-16,30.3
2022-03-17,28.3
2022-03-18,28.15
2022-03-21,26.63
2022-03-22,26.5
2022-03-23,26.4
2022-03-24,26.05
2022-03-25,25.85
2022-03-28,25.95
2022-03-29,24.75
2022-03-30,24.68
2022-03-31,25.05
2022-04-01,25.12
2022-04-04,24.45
2022-04-05,24.9
2022-04-06,26.5
2022-04-07,26.0
2022-04-08,25.21
2022-04-11,25.95
2022-04-12,26.4
2022-04-13,26.35
2022-04-14,25.2
2022-04-18,25.67
2022-04-19,25.01
2022-04-20,24.05
2022-04-21,25.18
2022-04-22,28.55
2022-04-25,29.65
2022-04-26,31.2
2022-04-27,31.0
2022-04-28,30.1
2022-04-29,31.8
2022-05-02,33.45
2022-05-03,31.35
2022-05-04,28.95
2022-05-05,32.1
2022-05-06,33.88
2022-05-09,34.29
2022-05-10,34.9
2022-05-11,33.75
2022-05-12,33.48
2022-05-13,31.6
2022-05-16,29.55
2022-05-17,27.75
2022-05-18,27.2
