Trade Date,Nov23
2023-02-21,16.6
2023-02-22,16.6
2023-02-23,23.75
2023-02-24,24.0
2023-02-27,23.75
2023-02-28,23.7
2023-03-01,23.65
2023-03-02,23.8
2023-03-03,23.3
2023-03-06,22.75
2023-03-07,22.8
2023-03-08,22.7
2023-03-09,23.3
2023-03-10,24.85
2023-03-13,25.05
2023-03-14,24.65
2023-03-15,25.72
2023-03-16,25.32
2023-03-17,25.45
2023-03-20,26.05
2023-03-21,25.25
2023-03-22,24.42
2023-03-23,24.9
2023-03-24,25.45
2023-03-27,24.7
2023-03-28,24.25
2023-03-29,23.98
2023-03-30,24.05
2023-03-31,24.0
2023-04-03,24.1
2023-04-04,24.37
2023-04-05,24.62
2023-04-06,24.55
2023-04-10,24.55
2023-04-11,24.05
2023-04-12,24.05
2023-04-13,24.0
2023-04-14,24.0
2023-04-17,23.85
2023-04-18,23.95
2023-04-19,24.1
2023-04-20,24.25
2023-04-21,24.23
2023-04-24,24.3
2023-04-25,24.95
2023-04-26,24.81
2023-04-27,24.6
2023-04-28,24.6
2023-05-01,24.42
2023-05-02,25.01
2023-05-03,25.0
2023-05-04,25.3
2023-05-05,25.1
2023-05-08,24.7
2023-05-09,24.53
2023-05-10,24.55
2023-05-11,24.45
2023-05-12,24.22
2023-05-15,24.13
2023-05-16,24.36
2023-05-17,24.3
2023-05-18,23.95
2023-05-19,24.11
2023-05-22,24.2
2023-05-23,24.12
2023-05-24,24.07
2023-05-25,24.0
2023-05-26,23.81
2023-05-30,23.35
2023-05-31,23.35
2023-06-01,23.01
2023-06-02,22.3
2023-06-05,21.9
2023-06-06,21.62
2023-06-07,21.07
2023-06-08,21.05
2023-06-09,20.71
2023-06-12,20.8
2023-06-13,20.61
2023-06-14,20.67
2023-06-15,20.45
2023-06-16,20.5
2023-06-20,20.4
2023-06-21,20.27
2023-06-22,20.35
2023-06-23,20.34
2023-06-26,20.25
2023-06-27,19.92
2023-06-28,19.5
2023-06-29,19.25
2023-06-30,19.2
2023-07-03,18.9
2023-07-05,19.06
2023-07-06,20.05
2023-07-07,19.55
2023-07-10,19.25
2023-07-11,18.86
2023-07-12,18.68
2023-07-13,18.25
2023-07-14,18.35
2023-07-17,18.15
2023-07-18,18.15
2023-07-19,18.43
2023-07-20,18.56
2023-07-21,18.45
2023-07-24,18.35
2023-07-25,18.1
2023-07-26,18.2
2023-07-27,18.45
2023-07-28,18.1
2023-07-31,18.0
2023-08-01,18.15
2023-08-02,19.08
2023-08-03,19.3
2023-08-04,19.15
2023-08-07,18.9
2023-08-08,19.55
2023-08-09,19.02
2023-08-10,18.9
2023-08-11,18.96
2023-08-14,18.57
2023-08-15,18.9
2023-08-16,19.0
2023-08-17,19.5
2023-08-18,19.92
2023-08-21,19.33
2023-08-22,19.22
2023-08-23,19.06
2023-08-24,19.25
2023-08-25,19.3
2023-08-28,18.65
2023-08-29,18.25
2023-08-30,17.92
2023-08-31,17.57
2023-09-01,17.25
2023-09-05,17.3
2023-09-06,17.55
2023-09-07,17.73
2023-09-08,17.4
2023-09-11,16.95
2023-09-12,16.85
2023-09-13,16.85
2023-09-14,16.65
2023-09-15,16.6
2023-09-18,16.85
2023-09-19,16.83
2023-09-20,17.0
2023-09-21,17.9
2023-09-22,17.95
2023-09-25,18.45
2023-09-26,19.35
2023-09-27,19.65
2023-09-28,18.95
2023-09-29,18.3
2023-10-02,18.6
2023-10-03,20.0
2023-10-04,20.35
2023-10-05,19.65
2023-10-06,19.72
2023-10-09,19.7
2023-10-10,18.3
2023-10-11,18.2
2023-10-12,18.4
2023-10-13,20.2
2023-10-16,19.9
2023-10-17,18.8
2023-10-18,19.9
2023-10-19,20.82
2023-10-20,21.15
2023-10-23,21.9
2023-10-24,20.05
2023-10-25,20.85
2023-10-26,21.17
2023-10-27,21.4
2023-10-30,21.23
2023-10-31,19.85
2023-11-01,18.4
2023-11-02,17.38
2023-11-03,16.8
2023-11-06,16.18
2023-11-07,15.97
2023-11-08,15.7
2023-11-09,16.06
2023-11-10,15.91
2023-11-13,15.4
2023-11-14,15.05
2023-11-15,14.35
