Trade Date,Nov14
2014-02-24,17.9
2014-02-25,18.48
2014-02-26,18.61
2014-02-27,18.71
2014-02-28,18.83
2014-03-03,19.11
2014-03-04,19.0
2014-03-05,18.65
2014-03-06,18.65
2014-03-07,18.71
2014-03-10,18.8
2014-03-11,18.91
2014-03-12,18.95
2014-03-13,19.1
2014-03-14,19.15
2014-03-17,18.95
2014-03-18,18.6
2014-03-19,18.9
2014-03-20,18.6
2014-03-21,18.53
2014-03-24,18.55
2014-03-25,18.45
2014-03-26,18.66
2014-03-27,18.62
2014-03-28,18.5
2014-03-31,18.37
2014-04-01,18.15
2014-04-02,18.05
2014-04-03,18.05
2014-04-04,18.07
2014-04-07,18.25
2014-04-08,18.1
2014-04-09,18.05
2014-04-10,18.2
2014-04-11,18.33
2014-04-14,18.4
2014-04-15,18.6
2014-04-16,18.3
2014-04-17,18.1
2014-04-21,18.05
2014-04-22,18.07
2014-04-23,18.1
2014-04-24,18.19
2014-04-25,18.2
2014-04-28,18.06
2014-04-29,17.87
2014-04-30,17.8
2014-05-01,17.8
2014-05-02,17.9
2014-05-05,17.97
2014-05-06,17.9
2014-05-07,17.89
2014-05-08,17.7
2014-05-09,17.7
2014-05-12,17.41
2014-05-13,17.3
2014-05-14,17.4
2014-05-15,17.55
2014-05-16,17.45
2014-05-19,17.29
2014-05-20,17.23
2014-05-21,17.15
2014-05-22,17.15
2014-05-23,17.15
2014-05-27,17.16
2014-05-28,17.1
2014-05-29,17.15
2014-05-30,17.3
2014-06-02,17.39
2014-06-03,17.37
2014-06-04,17.25
2014-06-05,17.13
2014-06-06,16.8
2014-06-09,16.4
2014-06-10,16.51
2014-06-11,16.53
2014-06-12,16.93
2014-06-13,16.89
2014-06-16,16.76
2014-06-17,16.58
2014-06-18,16.46
2014-06-19,16.1
2014-06-20,16.2
2014-06-23,16.3
2014-06-24,16.22
2014-06-25,16.25
2014-06-26,16.02
2014-06-27,15.85
2014-06-30,15.77
2014-07-01,15.59
2014-07-02,15.4
2014-07-03,15.18
2014-07-07,15.3
2014-07-08,15.61
2014-07-09,15.33
2014-07-10,15.49
2014-07-11,15.3
2014-07-14,15.12
2014-07-15,15.05
2014-07-16,15.0
2014-07-17,15.79
2014-07-18,15.71
2014-07-21,15.15
2014-07-22,15.1
2014-07-23,15.1
2014-07-24,15.2
2014-07-25,15.39
2014-07-28,15.43
2014-07-29,15.3
2014-07-30,15.26
2014-07-31,16.1
2014-08-01,16.55
2014-08-04,16.65
2014-08-05,16.85
2014-08-06,16.95
2014-08-07,17.39
2014-08-08,18.15
2014-08-11,17.1
2014-08-12,16.43
2014-08-13,16.18
2014-08-14,15.75
2014-08-15,15.9
2014-08-18,15.2
2014-08-19,14.8
2014-08-20,14.94
2014-08-21,14.95
2014-08-22,15.05
2014-08-25,14.84
2014-08-26,14.95
2014-08-27,15.13
2014-08-28,15.5
2014-08-29,15.25
2014-09-02,15.3
2014-09-03,15.3
2014-09-04,15.3
2014-09-05,15.29
2014-09-08,15.08
2014-09-09,15.18
2014-09-10,15.32
2014-09-11,15.3
2014-09-12,15.43
2014-09-15,15.6
2014-09-16,15.7
2014-09-17,15.08
2014-09-18,14.96
2014-09-19,15.05
2014-09-22,15.42
2014-09-23,15.9
2014-09-24,15.95
2014-09-25,16.4
2014-09-26,16.18
2014-09-29,16.65
2014-09-30,16.7
2014-10-01,17.28
2014-10-02,17.36
2014-10-03,16.9
2014-10-06,16.25
2014-10-07,17.2
2014-10-08,17.3
2014-10-09,17.05
2014-10-10,18.8
2014-10-13,21.0
2014-10-14,21.0
2014-10-15,22.69
2014-10-16,23.5
2014-10-17,21.1
2014-10-20,20.2
2014-10-21,18.83
2014-10-22,18.6
2014-10-23,18.2
2014-10-24,18.4
2014-10-27,17.83
2014-10-28,16.95
2014-10-29,16.62
2014-10-30,16.9
2014-10-31,16.15
2014-11-03,16.15
2014-11-04,16.5
2014-11-05,15.85
2014-11-06,15.7
2014-11-07,15.22
2014-11-10,14.95
2014-11-11,14.4
2014-11-12,14.55
2014-11-13,14.95
2014-11-14,14.75
2014-11-17,14.9
2014-11-18,14.4
2014-11-19,14.05
