Trade Date,M:07 Y:22
2021-10-25,
2021-10-26,25.0
2021-10-27,25.25
2021-10-28,25.25
2021-10-29,25.0
2021-11-01,25.05
2021-11-02,25.15
2021-11-03,25.05
2021-11-04,24.9
2021-11-05,25.05
2021-11-08,25.2
2021-11-09,25.5
2021-11-10,25.5
2021-11-11,25.3
2021-11-12,24.8
2021-11-15,25.15
2021-11-16,25.5
2021-11-17,25.9
2021-11-18,26.0
2021-11-19,25.9
2021-11-22,26.0
2021-11-23,25.75
2021-11-24,25.68
2021-11-26,26.55
2021-11-29,26.0
2021-11-30,26.85
2021-12-01,27.4
2021-12-02,26.95
2021-12-03,27.48
2021-12-06,26.95
2021-12-07,26.15
2021-12-08,25.85
2021-12-09,26.11
2021-12-10,25.88
2021-12-13,26.27
2021-12-14,26.55
2021-12-15,25.9
2021-12-16,26.35
2021-12-17,26.85
2021-12-20,26.82
2021-12-21,26.65
2021-12-22,26.4
2021-12-23,26.4
2021-12-27,26.16
2021-12-28,26.05
2021-12-29,25.9
2021-12-30,26.0
2021-12-31,26.07
2022-01-03,25.9
2022-01-04,25.95
2022-01-05,26.55
2022-01-06,26.45
2022-01-07,26.05
2022-01-10,25.78
2022-01-11,25.41
2022-01-12,25.45
2022-01-13,25.87
2022-01-14,25.75
2022-01-18,25.89
2022-01-19,26.2
2022-01-20,26.35
2022-01-21,27.1
2022-01-24,26.87
2022-01-25,27.3
2022-01-26,27.02
2022-01-27,26.85
2022-01-28,26.55
2022-01-31,25.85
2022-02-01,25.21
2022-02-02,25.46
2022-02-03,25.75
2022-02-04,26.3
2022-02-07,25.83
2022-02-08,25.55
2022-02-09,25.15
2022-02-10,25.85
2022-02-11,26.55
2022-02-14,26.8
2022-02-15,25.95
2022-02-16,25.45
2022-02-17,26.3
2022-02-18,26.7
2022-02-22,26.6
2022-02-23,27.4
2022-02-24,27.01
2022-02-25,26.52
2022-02-28,27.2
2022-03-01,28.38
2022-03-02,27.92
2022-03-03,28.05
2022-03-04,28.6
2022-03-07,30.05
2022-03-08,30.19
2022-03-09,29.42
2022-03-10,29.07
2022-03-11,29.6
2022-03-14,30.0
2022-03-15,29.54
2022-03-16,28.17
2022-03-17,27.98
2022-03-18,26.74
2022-03-21,26.85
2022-03-22,26.6
2022-03-23,26.77
2022-03-24,26.5
2022-03-25,26.08
2022-03-28,25.87
2022-03-29,25.41
2022-03-30,25.6
2022-03-31,25.98
2022-04-01,25.95
2022-04-04,25.41
2022-04-05,26.2
2022-04-06,26.87
2022-04-07,26.53
2022-04-08,26.4
2022-04-11,27.3
2022-04-12,27.45
2022-04-13,26.72
2022-04-14,27.09
2022-04-18,26.93
2022-04-19,26.37
2022-04-20,25.8
2022-04-21,27.1
2022-04-22,28.7
2022-04-25,28.16
2022-04-26,29.96
2022-04-27,29.6
2022-04-28,29.2
2022-04-29,30.37
2022-05-02,30.47
2022-05-03,29.32
2022-05-04,27.72
2022-05-05,30.7
2022-05-06,30.69
2022-05-09,32.5
2022-05-10,31.67
2022-05-11,31.35
2022-05-12,31.32
2022-05-13,29.75
2022-05-16,29.1
2022-05-17,28.5
2022-05-18,31.42
2022-05-19,29.66
2022-05-20,29.9
2022-05-23,29.64
2022-05-24,29.88
2022-05-25,29.18
2022-05-26,29.1
2022-05-27,28.15
2022-05-31,27.78
2022-06-01,27.62
2022-06-02,27.05
2022-06-03,27.37
2022-06-06,27.0
2022-06-07,26.36
2022-06-08,26.23
2022-06-09,27.35
2022-06-10,28.92
2022-06-13,32.8
2022-06-14,31.9
2022-06-15,29.75
2022-06-16,32.05
2022-06-17,30.9
2022-06-21,30.05
2022-06-22,29.15
2022-06-23,29.2
2022-06-24,28.35
2022-06-27,27.4
2022-06-28,28.49
2022-06-29,28.08
2022-06-30,28.83
2022-07-01,27.8
2022-07-05,27.85
2022-07-06,27.27
2022-07-07,26.9
2022-07-08,26.05
2022-07-11,27.1
2022-07-12,27.4
2022-07-13,27.26
2022-07-14,26.9
2022-07-15,25.35
2022-07-18,25.6
2022-07-19,24.6
2022-07-20,24.5
