Trade Date,Jul25
2024-10-21,18.65
2024-10-22,19.05
2024-10-23,19.4
2024-10-24,19.45
2024-10-25,19.65
2024-10-28,18.95
2024-10-29,19.05
2024-10-30,19.8
2024-10-31,19.9
2024-11-01,19.95
2024-11-04,19.9
2024-11-05,19.4
2024-11-06,18.85
2024-11-07,18.69
2024-11-08,18.25
2024-11-11,18.3
2024-11-12,18.35
2024-11-13,18.7
2024-11-14,18.4
2024-11-15,18.95
2024-11-18,18.4
2024-11-19,18.75
2024-11-20,18.66
2024-11-21,18.65
2024-11-22,18.4
2024-11-25,18.26
2024-11-26,18.1
2024-11-27,18.17
2024-11-29,18.05
2024-12-02,18.17
2024-12-03,18.29
2024-12-04,18.35
2024-12-05,18.65
2024-12-06,18.68
2024-12-09,18.7
2024-12-10,18.68
2024-12-11,18.78
2024-12-12,18.9
2024-12-13,18.95
2024-12-16,19.05
2024-12-17,19.2
2024-12-18,20.37
2024-12-19,20.66
2024-12-20,20.9
2024-12-23,19.47
2024-12-24,18.6
2024-12-26,18.57
2024-12-27,19.0
2024-12-30,19.4
2024-12-31,19.2
2025-01-02,19.55
2025-01-03,19.05
2025-01-06,18.7
2025-01-07,19.0
2025-01-08,19.4
2025-01-09,19.25
2025-01-10,19.86
2025-01-13,20.06
