Trade Date,Jan23
2022-04-25,26.0
2022-04-26,27.4
2022-04-27,27.25
2022-04-28,27.9
2022-04-29,27.4
2022-05-02,28.5
2022-05-03,28.15
2022-05-04,27.75
2022-05-05,28.4
2022-05-06,29.05
2022-05-09,29.42
2022-05-10,29.3
2022-05-11,29.35
2022-05-12,29.5
2022-05-13,28.71
2022-05-16,28.6
2022-05-17,28.41
2022-05-18,29.5
2022-05-19,29.65
2022-05-20,29.8
2022-05-23,29.1
2022-05-24,29.5
2022-05-25,29.15
2022-05-26,28.75
2022-05-27,28.5
2022-05-31,28.85
2022-06-01,28.8
2022-06-02,28.4
2022-06-03,28.37
2022-06-06,28.5
2022-06-07,28.81
2022-06-08,28.65
2022-06-09,28.99
2022-06-10,30.0
2022-06-13,31.0
2022-06-14,31.15
2022-06-15,30.9
2022-06-16,31.2
2022-06-17,31.02
2022-06-21,30.9
2022-06-22,30.3
2022-06-23,29.8
2022-06-24,29.5
2022-06-27,29.25
2022-06-28,29.4
2022-06-29,29.67
2022-06-30,30.0
2022-07-01,29.85
2022-07-05,29.85
2022-07-06,29.55
2022-07-07,29.3
2022-07-08,29.25
2022-07-11,29.43
2022-07-12,29.65
2022-07-13,30.0
2022-07-14,30.31
2022-07-15,29.95
2022-07-18,29.8
2022-07-19,29.65
2022-07-20,29.25
2022-07-21,29.0
2022-07-22,29.18
2022-07-25,29.1
2022-07-26,29.21
2022-07-27,28.95
2022-07-28,28.7
2022-07-29,28.0
2022-08-01,28.2
2022-08-02,28.6
2022-08-03,28.55
2022-08-04,28.4
2022-08-05,28.65
2022-08-08,28.47
2022-08-09,28.6
2022-08-10,28.55
2022-08-11,28.05
2022-08-12,27.8
2022-08-15,27.68
2022-08-16,27.53
2022-08-17,27.81
2022-08-18,27.75
2022-08-19,28.23
2022-08-22,28.6
2022-08-23,28.6
2022-08-24,28.55
2022-08-25,28.05
2022-08-26,28.79
2022-08-29,29.05
2022-08-30,28.87
2022-08-31,28.6
2022-09-01,28.97
2022-09-02,28.57
2022-09-06,28.8
2022-09-07,28.75
2022-09-08,28.2
2022-09-09,27.75
2022-09-12,27.7
2022-09-13,28.97
2022-09-14,28.9
2022-09-15,28.9
2022-09-16,29.33
2022-09-19,29.07
2022-09-20,28.53
2022-09-21,28.81
2022-09-22,29.0
2022-09-23,30.02
2022-09-26,30.4
2022-09-27,30.87
2022-09-28,31.15
2022-09-29,30.95
2022-09-30,30.76
2022-10-03,31.04
2022-10-04,30.0
2022-10-05,30.27
2022-10-06,30.3
2022-10-07,31.15
2022-10-10,31.8
2022-10-11,31.95
2022-10-12,31.95
2022-10-13,32.18
2022-10-14,31.88
2022-10-17,31.45
2022-10-18,30.92
2022-10-19,31.02
2022-10-20,30.85
2022-10-21,30.69
2022-10-24,30.67
2022-10-25,30.3
2022-10-26,29.79
2022-10-27,29.08
2022-10-28,28.9
2022-10-31,28.35
2022-11-01,27.67
2022-11-02,27.85
2022-11-03,28.17
2022-11-04,27.6
2022-11-07,27.2
2022-11-08,27.5
2022-11-09,28.2
2022-11-10,28.12
2022-11-11,27.45
2022-11-14,27.37
2022-11-15,27.88
2022-11-16,27.51
2022-11-17,27.5
2022-11-18,26.95
2022-11-21,26.7
2022-11-22,26.01
2022-11-23,25.42
2022-11-25,25.2
2022-11-28,26.0
2022-11-29,25.98
2022-11-30,25.82
2022-12-01,25.0
2022-12-02,25.05
2022-12-05,24.65
2022-12-06,25.0
2022-12-07,25.4
2022-12-08,25.37
2022-12-09,25.2
2022-12-12,25.2
2022-12-13,25.15
2022-12-14,24.25
2022-12-15,25.1
2022-12-16,25.45
2022-12-19,24.65
2022-12-20,24.85
2022-12-21,23.95
2022-12-22,25.4
2022-12-23,24.5
2022-12-27,24.1
2022-12-28,23.65
2022-12-29,23.6
2022-12-30,23.71
2023-01-03,23.95
2023-01-04,23.3
2023-01-05,23.2
2023-01-06,22.81
2023-01-09,22.62
2023-01-10,22.73
2023-01-11,21.45
2023-01-12,21.62
2023-01-13,20.2
2023-01-17,20.1
2023-01-18,19.7
