Trade Date,Aug21
2020-11-23,24.55
2020-11-24,22.0
2020-11-25,21.5
2020-11-27,21.5
2020-11-30,22.0
2020-12-01,22.15
2020-12-02,22.55
2020-12-03,22.25
2020-12-04,22.35
2020-12-07,24.65
2020-12-08,24.75
2020-12-09,23.5
2020-12-10,24.0
2020-12-11,26.2
2020-12-14,25.0
2020-12-15,26.75
2020-12-16,23.5
2020-12-17,23.5
2020-12-18,26.4
2020-12-21,27.1
2020-12-22,27.0
2020-12-23,26.15
2020-12-24,25.3
2020-12-28,25.85
2020-12-29,25.1
2020-12-30,26.23
2020-12-31,25.3
2021-01-04,27.0
2021-01-05,26.1
2021-01-06,25.9
2021-01-07,25.6
2021-01-08,25.6
2021-01-11,26.25
2021-01-12,26.4
2021-01-13,26.1
2021-01-14,26.35
2021-01-15,26.9
2021-01-19,26.85
2021-01-20,26.9
2021-01-21,27.1
2021-01-22,27.35
2021-01-25,28.02
2021-01-26,27.75
2021-01-27,30.1
2021-01-28,29.9
2021-01-29,29.92
2021-02-01,30.24
2021-02-02,29.36
2021-02-03,28.4
2021-02-04,28.15
2021-02-05,28.0
2021-02-08,28.12
2021-02-09,28.34
2021-02-10,29.02
2021-02-11,29.1
2021-02-12,29.12
2021-02-16,29.27
2021-02-17,29.95
2021-02-18,29.75
2021-02-19,29.75
2021-02-22,29.98
2021-02-23,30.32
2021-02-24,29.81
2021-02-25,29.8
2021-02-26,29.45
2021-03-01,28.95
2021-03-02,28.7
2021-03-03,29.0
2021-03-04,29.72
2021-03-05,29.65
2021-03-08,28.87
2021-03-09,28.65
2021-03-10,28.8
2021-03-11,28.47
2021-03-12,28.47
2021-03-15,28.32
2021-03-16,27.95
2021-03-17,27.8
2021-03-18,27.3
2021-03-19,27.4
2021-03-22,27.4
2021-03-23,26.52
2021-03-24,26.36
2021-03-25,26.75
2021-03-26,25.95
2021-03-29,25.9
2021-03-30,25.3
2021-03-31,24.75
2021-04-01,24.48
2021-04-05,23.99
2021-04-06,23.75
2021-04-07,23.7
2021-04-08,23.57
2021-04-09,23.7
2021-04-12,23.86
2021-04-13,23.6
2021-04-14,23.81
2021-04-15,23.73
2021-04-16,23.7
2021-04-19,24.1
2021-04-20,24.61
2021-04-21,24.53
2021-04-22,24.6
2021-04-23,24.41
2021-04-26,24.1
2021-04-27,24.17
2021-04-28,23.7
2021-04-29,24.03
2021-04-30,24.06
2021-05-03,23.97
2021-05-04,24.37
2021-05-05,24.0
2021-05-06,23.93
2021-05-07,23.63
2021-05-10,23.47
2021-05-11,24.56
2021-05-12,26.87
2021-05-13,26.7
2021-05-14,25.2
2021-05-17,24.51
2021-05-18,24.55
2021-05-19,26.22
2021-05-20,25.22
2021-05-21,24.2
2021-05-24,24.0
2021-05-25,23.5
2021-05-26,23.23
2021-05-27,22.85
2021-05-28,21.9
2021-06-01,22.25
2021-06-02,22.27
2021-06-03,22.68
2021-06-04,22.63
2021-06-07,21.8
2021-06-08,21.77
2021-06-09,21.85
2021-06-10,21.91
2021-06-11,20.85
2021-06-14,20.75
2021-06-15,21.0
2021-06-16,21.42
2021-06-17,21.71
2021-06-18,22.48
2021-06-21,22.9
2021-06-22,21.6
2021-06-23,20.51
2021-06-24,20.1
2021-06-25,19.98
2021-06-28,19.8
2021-06-29,20.0
2021-06-30,20.15
2021-07-01,19.8
2021-07-02,19.65
2021-07-06,20.3
2021-07-07,20.45
2021-07-08,21.62
2021-07-09,21.35
2021-07-12,20.26
2021-07-13,20.1
2021-07-14,20.25
2021-07-15,20.35
2021-07-16,20.7
2021-07-19,24.85
2021-07-20,23.65
2021-07-21,21.85
2021-07-22,20.85
2021-07-23,20.5
2021-07-26,21.45
2021-07-27,21.9
2021-07-28,21.25
2021-07-29,20.7
2021-07-30,21.12
2021-08-02,21.3
2021-08-03,21.45
2021-08-04,20.46
2021-08-05,19.95
2021-08-06,19.5
2021-08-09,19.35
2021-08-10,18.6
2021-08-11,18.3
2021-08-12,17.8
2021-08-13,17.05
2021-08-16,17.95
2021-08-17,19.35
2021-08-18,18.4
