Trade Date,M:06 Y:23
2022-09-26,29.55
2022-09-27,29.77
2022-09-28,29.4
2022-09-29,29.75
2022-09-30,29.85
2022-10-03,29.25
2022-10-04,29.02
2022-10-05,29.21
2022-10-06,29.52
2022-10-07,29.95
2022-10-10,30.2
2022-10-11,30.4
2022-10-12,30.45
2022-10-13,29.81
2022-10-14,30.3
2022-10-17,29.8
2022-10-18,29.65
2022-10-19,29.8
2022-10-20,29.8
2022-10-21,29.61
2022-10-24,29.5
2022-10-25,29.2
2022-10-26,28.75
2022-10-27,28.92
2022-10-28,28.25
2022-10-31,28.35
2022-11-01,28.05
2022-11-02,28.35
2022-11-03,27.99
2022-11-04,27.8
2022-11-07,27.61
2022-11-08,27.95
2022-11-09,28.5
2022-11-10,27.75
2022-11-11,27.95
2022-11-14,28.1
2022-11-15,28.25
2022-11-16,28.05
2022-11-17,28.02
2022-11-18,27.85
2022-11-21,27.6
2022-11-22,27.15
2022-11-23,26.87
2022-11-25,27.1
2022-11-28,27.55
2022-11-29,27.38
2022-11-30,26.67
2022-12-01,26.56
2022-12-02,26.32
2022-12-05,26.32
2022-12-06,26.51
2022-12-07,26.66
2022-12-08,26.4
2022-12-09,26.65
2022-12-12,26.45
2022-12-13,26.2
2022-12-14,25.86
2022-12-15,26.66
2022-12-16,26.7
2022-12-19,26.68
2022-12-20,26.51
2022-12-21,26.12
2022-12-22,26.7
2022-12-23,26.45
2022-12-27,26.42
2022-12-28,26.48
2022-12-29,26.4
2022-12-30,26.26
2023-01-03,25.85
2023-01-04,25.54
2023-01-05,25.41
2023-01-06,24.79
2023-01-09,24.87
2023-01-10,24.29
2023-01-11,24.21
2023-01-12,23.95
2023-01-13,23.25
2023-01-17,23.5
2023-01-18,23.92
2023-01-19,23.93
2023-01-20,23.41
2023-01-23,23.06
2023-01-24,22.56
2023-01-25,22.41
2023-01-26,22.27
2023-01-27,21.98
2023-01-30,22.01
2023-01-31,21.77
2023-02-01,21.49
2023-02-02,21.8
2023-02-03,22.07
2023-02-06,22.18
2023-02-07,21.96
2023-02-08,22.42
2023-02-09,22.75
2023-02-10,23.16
2023-02-13,22.53
2023-02-14,22.27
2023-02-15,22.02
2023-02-16,22.55
2023-02-17,22.61
2023-02-21,23.57
2023-02-22,23.04
2023-02-23,22.67
2023-02-24,23.26
2023-02-27,22.8
2023-02-28,22.59
2023-03-01,22.74
2023-03-02,22.2
2023-03-03,21.71
2023-03-06,21.4
2023-03-07,21.77
2023-03-08,21.46
2023-03-09,22.85
2023-03-10,24.05
2023-03-13,24.84
2023-03-14,24.08
2023-03-15,25.57
2023-03-16,24.25
2023-03-17,25.95
2023-03-20,25.32
2023-03-21,23.9
2023-03-22,24.14
2023-03-23,24.51
2023-03-24,24.47
2023-03-27,23.59
2023-03-28,23.34
2023-03-29,22.93
2023-03-30,23.05
2023-03-31,22.95
2023-04-03,22.55
2023-04-04,23.0
2023-04-05,23.09
2023-04-06,22.76
2023-04-10,22.4
2023-04-11,22.26
2023-04-12,22.27
2023-04-13,21.85
2023-04-14,21.61
2023-04-17,21.19
2023-04-18,21.29
2023-04-19,21.42
2023-04-20,21.75
2023-04-21,21.69
2023-04-24,21.59
2023-04-25,22.67
2023-04-26,22.39
2023-04-27,21.73
2023-04-28,21.3
2023-05-01,21.15
2023-05-02,21.51
2023-05-03,22.33
2023-05-04,22.93
2023-05-05,21.45
2023-05-08,20.95
2023-05-09,21.29
2023-05-10,20.78
2023-05-11,20.52
2023-05-12,20.6
2023-05-15,20.11
2023-05-16,20.5
2023-05-17,19.86
2023-05-18,19.15
2023-05-19,19.8
2023-05-22,19.65
2023-05-23,20.1
2023-05-24,20.64
2023-05-25,20.48
2023-05-26,19.4
2023-05-30,18.94
2023-05-31,18.91
2023-06-01,17.69
2023-06-02,17.05
2023-06-05,16.53
2023-06-06,15.45
2023-06-07,15.45
2023-06-08,15.03
2023-06-09,15.2
2023-06-12,15.5
2023-06-13,15.27
2023-06-14,14.7
2023-06-15,15.05
2023-06-16,14.34
2023-06-20,13.96
2023-06-21,13.65
