Trade Date,M:02 Y:21
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,27.3
2020-06-05,
2020-06-08,26.73
2020-06-09,
2020-06-10,27.02
2020-06-11,29.41
2020-06-12,30.1
2020-06-15,
2020-06-16,
2020-06-17,29.45
2020-06-18,29.55
2020-06-19,30.5
2020-06-22,29.85
2020-06-23,29.15
2020-06-24,30.75
2020-06-25,30.35
2020-06-26,31.05
2020-06-29,30.25
2020-06-30,29.39
2020-07-01,29.05
2020-07-02,28.64
2020-07-06,28.55
2020-07-07,29.12
2020-07-08,28.8
2020-07-09,29.07
2020-07-10,28.7
2020-07-13,30.2
2020-07-14,29.05
2020-07-15,28.95
2020-07-16,28.87
2020-07-17,28.53
2020-07-20,27.55
2020-07-21,27.88
2020-07-22,27.84
2020-07-23,28.35
2020-07-24,28.7
2020-07-27,28.4
2020-07-28,28.6
2020-07-29,28.4
2020-07-30,28.4
2020-07-31,28.48
2020-08-03,28.4
2020-08-04,28.05
2020-08-05,27.94
2020-08-06,27.96
2020-08-07,28.0
2020-08-10,27.75
2020-08-11,28.04
2020-08-12,27.75
2020-08-13,27.92
2020-08-14,28.2
2020-08-17,27.87
2020-08-18,27.65
2020-08-19,28.15
2020-08-20,27.95
2020-08-21,28.75
2020-08-24,28.7
2020-08-25,28.4
2020-08-26,28.66
2020-08-27,28.55
2020-08-28,28.65
2020-08-31,29.15
2020-09-01,29.26
2020-09-02,29.95
2020-09-03,30.07
2020-09-04,29.15
2020-09-08,28.55
2020-09-09,28.2
2020-09-10,28.12
2020-09-11,28.12
2020-09-14,28.1
2020-09-15,28.14
2020-09-16,28.4
2020-09-17,28.92
2020-09-18,29.29
2020-09-21,29.51
2020-09-22,29.9
2020-09-23,30.4
2020-09-24,30.17
2020-09-25,29.65
2020-09-28,29.45
2020-09-29,29.14
2020-09-30,29.4
2020-10-01,29.75
2020-10-02,30.04
2020-10-05,29.33
2020-10-06,29.62
2020-10-07,29.3
2020-10-08,28.77
2020-10-09,27.87
2020-10-12,27.55
2020-10-13,27.6
2020-10-14,27.48
2020-10-15,27.64
2020-10-16,27.94
2020-10-19,28.3
2020-10-20,28.36
2020-10-21,27.85
2020-10-22,27.6
2020-10-23,27.6
2020-10-26,28.7
2020-10-27,29.17
2020-10-28,30.65
2020-10-29,30.0
2020-10-30,29.9
2020-11-02,29.05
2020-11-03,28.3
2020-11-04,27.45
2020-11-05,27.55
2020-11-06,27.1
2020-11-09,25.65
2020-11-10,25.65
2020-11-11,25.5
2020-11-12,26.25
2020-11-13,25.65
2020-11-16,25.5
2020-11-17,25.45
2020-11-18,26.25
2020-11-19,26.3
2020-11-20,26.05
2020-11-23,25.86
2020-11-24,25.7
2020-11-25,25.35
2020-11-27,25.35
2020-11-30,25.02
2020-12-01,24.86
2020-12-02,24.75
2020-12-03,24.95
2020-12-04,24.91
2020-12-07,25.2
2020-12-08,24.55
2020-12-09,25.13
2020-12-10,25.4
2020-12-11,26.19
2020-12-14,26.65
2020-12-15,25.85
2020-12-16,25.65
2020-12-17,25.4
2020-12-18,25.55
2020-12-21,27.0
2020-12-22,26.9
2020-12-23,26.05
2020-12-24,25.66
2020-12-28,25.44
2020-12-29,26.43
2020-12-30,25.65
2020-12-31,25.48
2021-01-04,27.19
2021-01-05,26.7
2021-01-06,25.94
2021-01-07,24.97
2021-01-08,24.82
2021-01-11,26.05
2021-01-12,25.51
2021-01-13,24.98
2021-01-14,25.32
2021-01-15,26.35
2021-01-19,25.3
2021-01-20,24.9
2021-01-21,24.6
2021-01-22,24.85
2021-01-25,25.85
2021-01-26,25.3
2021-01-27,33.05
2021-01-28,30.49
2021-01-29,32.85
2021-02-01,30.6
2021-02-02,27.35
2021-02-03,25.5
2021-02-04,24.3
2021-02-05,24.2
2021-02-08,23.85
2021-02-09,23.7
2021-02-10,23.75
2021-02-11,23.0
2021-02-12,21.4
2021-02-16,21.6
2021-02-17,21.7
