Trade Date,M:04 Y:22
2021-07-26,
2021-07-27,
2021-07-28,24.25
2021-07-29,
2021-07-30,24.8
2021-08-02,24.81
2021-08-03,24.75
2021-08-04,24.78
2021-08-05,
2021-08-06,24.25
2021-08-09,24.32
2021-08-10,24.25
2021-08-11,24.15
2021-08-12,23.9
2021-08-13,24.09
2021-08-16,24.1
2021-08-17,24.56
2021-08-18,25.2
2021-08-19,25.3
2021-08-20,25.0
2021-08-23,24.65
2021-08-24,24.75
2021-08-25,24.49
2021-08-26,24.85
2021-08-27,24.2
2021-08-30,24.15
2021-08-31,24.25
2021-09-01,24.2
2021-09-02,24.17
2021-09-03,24.3
2021-09-07,24.66
2021-09-08,24.75
2021-09-09,24.95
2021-09-10,25.13
2021-09-13,25.1
2021-09-14,25.12
2021-09-15,24.95
2021-09-16,24.95
2021-09-17,25.35
2021-09-20,25.99
2021-09-21,25.71
2021-09-22,25.22
2021-09-23,24.95
2021-09-24,24.5
2021-09-27,24.85
2021-09-28,25.55
2021-09-29,25.75
2021-09-30,25.8
2021-10-01,25.5
2021-10-04,25.8
2021-10-05,25.65
2021-10-06,25.5
2021-10-07,25.22
2021-10-08,25.3
2021-10-11,25.35
2021-10-12,25.35
2021-10-13,25.0
2021-10-14,24.6
2021-10-15,24.8
2021-10-18,25.1
2021-10-19,24.95
2021-10-20,24.78
2021-10-21,24.65
2021-10-22,24.87
2021-10-25,24.4
2021-10-26,24.55
2021-10-27,24.71
2021-10-28,24.65
2021-10-29,24.7
2021-11-01,24.68
2021-11-02,24.42
2021-11-03,24.07
2021-11-04,24.25
2021-11-05,24.65
2021-11-08,24.72
2021-11-09,24.96
2021-11-10,24.87
2021-11-11,24.67
2021-11-12,24.45
2021-11-15,24.65
2021-11-16,24.78
2021-11-17,25.2
2021-11-18,25.3
2021-11-19,25.15
2021-11-22,25.38
2021-11-23,25.26
2021-11-24,25.07
2021-11-26,26.99
2021-11-29,25.9
2021-11-30,26.73
2021-12-01,27.58
2021-12-02,26.95
2021-12-03,27.73
2021-12-06,27.1
2021-12-07,25.71
2021-12-08,25.36
2021-12-09,25.73
2021-12-10,25.25
2021-12-13,25.73
2021-12-14,26.25
2021-12-15,25.2
2021-12-16,25.8
2021-12-17,26.25
2021-12-20,26.55
2021-12-21,26.12
2021-12-22,25.63
2021-12-23,25.55
2021-12-27,25.3
2021-12-28,24.95
2021-12-29,24.75
2021-12-30,24.65
2021-12-31,24.66
2022-01-03,24.45
2022-01-04,24.4
2022-01-05,25.1
2022-01-06,25.1
2022-01-07,24.55
2022-01-10,24.25
2022-01-11,23.86
2022-01-12,23.88
2022-01-13,24.6
2022-01-14,24.3
2022-01-18,24.8
2022-01-19,25.15
2022-01-20,25.65
2022-01-21,26.77
2022-01-24,27.1
2022-01-25,27.73
2022-01-26,27.44
2022-01-27,27.37
2022-01-28,26.85
2022-01-31,25.67
2022-02-01,24.45
2022-02-02,24.81
2022-02-03,25.2
2022-02-04,25.68
2022-02-07,24.93
2022-02-08,24.28
2022-02-09,23.73
2022-02-10,25.08
2022-02-11,26.65
2022-02-14,27.1
2022-02-15,25.63
2022-02-16,24.8
2022-02-17,26.85
2022-02-18,27.3
2022-02-22,27.07
2022-02-23,28.55
2022-02-24,28.0
2022-02-25,27.0
2022-02-28,28.11
2022-03-01,30.32
2022-03-02,29.35
2022-03-03,29.39
2022-03-04,30.6
2022-03-07,32.82
2022-03-08,32.8
2022-03-09,31.25
2022-03-10,29.93
2022-03-11,30.67
2022-03-14,31.65
2022-03-15,30.37
2022-03-16,27.45
2022-03-17,27.49
2022-03-18,25.6
2022-03-21,25.4
2022-03-22,24.9
2022-03-23,25.1
2022-03-24,24.25
2022-03-25,23.6
2022-03-28,22.95
2022-03-29,21.85
2022-03-30,21.99
2022-03-31,23.1
2022-04-01,22.48
2022-04-04,21.1
2022-04-05,22.85
2022-04-06,24.05
2022-04-07,23.1
2022-04-08,22.9
2022-04-11,24.73
2022-04-12,24.9
2022-04-13,22.88
2022-04-14,23.61
2022-04-18,22.65
2022-04-19,21.6
2022-04-20,20.25
