Trade Date,Mar21
2020-06-22,21.1
2020-06-23,17.25
2020-06-24,19.0
2020-06-25,25.0
2020-06-26,21.1
2020-06-29,22.1
2020-06-30,23.3
2020-07-01,23.85
2020-07-02,24.0
2020-07-06,24.45
2020-07-07,23.45
2020-07-08,23.85
2020-07-09,18.1
2020-07-10,20.25
2020-07-13,21.4
2020-07-14,22.1
2020-07-15,22.2
2020-07-16,30.75
2020-07-17,28.5
2020-07-20,25.6
2020-07-21,26.15
2020-07-22,26.2
2020-07-23,28.3
2020-07-24,28.5
2020-07-27,28.6
2020-07-28,28.58
2020-07-29,28.35
2020-07-30,29.39
2020-07-31,28.92
2020-08-03,28.45
2020-08-04,28.31
2020-08-05,27.85
2020-08-06,28.05
2020-08-07,28.03
2020-08-10,27.7
2020-08-11,28.0
2020-08-12,27.9
2020-08-13,27.75
2020-08-14,28.1
2020-08-17,27.8
2020-08-18,27.62
2020-08-19,27.84
2020-08-20,28.3
2020-08-21,28.4
2020-08-24,28.37
2020-08-25,28.47
2020-08-26,28.13
2020-08-27,28.75
2020-08-28,28.34
2020-08-31,28.37
2020-09-01,28.47
2020-09-02,28.8
2020-09-03,29.6
2020-09-04,29.64
2020-09-08,28.95
2020-09-09,28.46
2020-09-10,28.25
2020-09-11,27.94
2020-09-14,27.85
2020-09-15,27.97
2020-09-16,28.2
2020-09-17,28.8
2020-09-18,29.0
2020-09-21,29.72
2020-09-22,29.68
2020-09-23,30.16
2020-09-24,30.4
2020-09-25,30.0
2020-09-28,29.25
2020-09-29,29.13
2020-09-30,29.0
2020-10-01,29.19
2020-10-02,30.61
2020-10-05,29.41
2020-10-06,29.26
2020-10-07,29.2
2020-10-08,28.84
2020-10-09,28.37
2020-10-12,27.7
2020-10-13,27.81
2020-10-14,27.45
2020-10-15,27.95
2020-10-16,27.67
2020-10-19,28.22
2020-10-20,28.0
2020-10-21,28.1
2020-10-22,27.85
2020-10-23,27.45
2020-10-26,28.9
2020-10-27,28.95
2020-10-28,30.55
2020-10-29,30.27
2020-10-30,30.05
2020-11-02,29.65
2020-11-03,28.41
2020-11-04,28.45
2020-11-05,27.4
2020-11-06,27.67
2020-11-09,26.7
2020-11-10,25.89
2020-11-11,25.67
2020-11-12,26.27
2020-11-13,26.2
2020-11-16,25.75
2020-11-17,26.0
2020-11-18,26.2
2020-11-19,26.25
2020-11-20,26.25
2020-11-23,26.05
2020-11-24,25.8
2020-11-25,25.9
2020-11-27,25.45
2020-11-30,26.03
2020-12-01,25.15
2020-12-02,25.2
2020-12-03,25.2
2020-12-04,25.15
2020-12-07,25.25
2020-12-08,25.4
2020-12-09,25.5
2020-12-10,25.7
2020-12-11,26.62
2020-12-14,26.6
2020-12-15,26.7
2020-12-16,26.35
2020-12-17,26.15
2020-12-18,26.44
2020-12-21,28.05
2020-12-22,27.25
2020-12-23,27.27
2020-12-24,26.07
2020-12-28,25.91
2020-12-29,26.63
2020-12-30,26.55
2020-12-31,26.01
2021-01-04,27.57
2021-01-05,27.62
2021-01-06,27.17
2021-01-07,25.97
2021-01-08,25.97
2021-01-11,26.51
2021-01-12,26.63
2021-01-13,26.2
2021-01-14,26.15
2021-01-15,26.95
2021-01-19,27.0
2021-01-20,26.6
2021-01-21,26.62
2021-01-22,27.17
2021-01-25,28.05
2021-01-26,27.77
2021-01-27,33.85
2021-01-28,32.72
2021-01-29,32.95
2021-02-01,33.5
2021-02-02,31.25
2021-02-03,28.7
2021-02-04,28.1
2021-02-05,27.15
2021-02-08,26.95
2021-02-09,27.02
2021-02-10,27.85
2021-02-11,27.85
2021-02-12,27.46
2021-02-16,26.45
2021-02-17,27.05
2021-02-18,26.75
2021-02-19,26.55
2021-02-22,26.33
2021-02-23,27.55
2021-02-24,26.0
2021-02-25,29.0
2021-02-26,29.35
2021-03-01,27.0
2021-03-02,25.15
2021-03-03,26.4
2021-03-04,29.25
2021-03-05,28.55
2021-03-08,26.65
2021-03-09,25.55
2021-03-10,24.25
2021-03-11,23.65
2021-03-12,23.81
2021-03-15,22.24
2021-03-16,20.6
2021-03-17,20.7
