Trade Date,M:06 Y:25
2024-09-23,
2024-09-24,19.6
2024-09-25,19.25
2024-09-26,19.15
2024-09-27,19.45
2024-09-30,
2024-10-01,19.92
2024-10-02,19.9
2024-10-03,20.09
2024-10-04,19.7
2024-10-07,20.25
2024-10-08,19.8
2024-10-09,19.5
2024-10-10,19.48
2024-10-11,19.38
2024-10-14,18.95
2024-10-15,18.97
2024-10-16,18.85
2024-10-17,18.84
2024-10-18,18.71
2024-10-21,18.7
2024-10-22,18.65
2024-10-23,19.01
2024-10-24,19.05
2024-10-25,19.25
2024-10-28,18.8
2024-10-29,18.8
2024-10-30,19.1
2024-10-31,19.65
2024-11-01,19.65
2024-11-04,19.3
2024-11-05,18.81
2024-11-06,18.35
2024-11-07,18.1
2024-11-08,18.05
2024-11-11,17.87
2024-11-12,18.09
2024-11-13,18.0
2024-11-14,18.15
2024-11-15,18.4
2024-11-18,18.04
2024-11-19,18.1
2024-11-20,18.25
2024-11-21,18.16
2024-11-22,18.02
2024-11-25,17.77
2024-11-26,17.77
2024-11-27,17.82
2024-11-29,17.7
2024-12-02,17.83
2024-12-03,17.87
2024-12-04,18.07
2024-12-05,18.31
2024-12-06,18.17
2024-12-09,18.37
2024-12-10,18.4
2024-12-11,18.47
2024-12-12,18.56
2024-12-13,18.6
2024-12-16,18.72
2024-12-17,18.77
2024-12-18,19.95
2024-12-19,20.27
2024-12-20,19.11
2024-12-23,18.31
2024-12-24,17.92
2024-12-26,18.08
2024-12-27,18.47
2024-12-30,18.72
2024-12-31,18.6
2025-01-02,18.77
2025-01-03,18.4
2025-01-06,18.15
2025-01-07,18.65
2025-01-08,18.75
2025-01-09,18.85
2025-01-10,19.49
2025-01-13,19.33
2025-01-14,19.07
2025-01-15,18.62
2025-01-16,18.51
2025-01-17,18.58
