Trade Date,May25
2024-08-26,17.9
2024-08-27,17.0
2024-08-28,19.0
2024-08-29,18.9
2024-08-30,18.75
2024-09-03,19.7
2024-09-04,20.55
2024-09-05,20.15
2024-09-06,20.52
2024-09-09,20.25
2024-09-10,20.25
2024-09-11,20.1
2024-09-12,19.25
2024-09-13,19.2
2024-09-16,19.4
2024-09-17,19.4
2024-09-18,19.3
2024-09-19,19.0
2024-09-20,18.92
2024-09-23,19.0
2024-09-24,19.15
2024-09-25,19.05
2024-09-26,19.0
2024-09-27,19.41
2024-09-30,19.5
2024-10-01,20.0
2024-10-02,19.91
2024-10-03,20.05
2024-10-04,19.9
2024-10-07,20.22
2024-10-08,20.25
2024-10-09,19.6
2024-10-10,19.6
2024-10-11,19.55
2024-10-14,19.32
2024-10-15,19.05
2024-10-16,18.95
2024-10-17,19.0
2024-10-18,18.87
2024-10-21,18.87
2024-10-22,18.75
2024-10-23,19.05
2024-10-24,19.15
2024-10-25,19.26
2024-10-28,18.9
2024-10-29,18.85
2024-10-30,19.05
2024-10-31,19.67
2024-11-01,19.7
2024-11-04,19.7
2024-11-05,19.3
2024-11-06,18.7
2024-11-07,18.32
2024-11-08,17.97
2024-11-11,17.85
2024-11-12,18.0
2024-11-13,18.1
2024-11-14,18.05
2024-11-15,18.51
2024-11-18,18.27
2024-11-19,18.5
2024-11-20,18.27
2024-11-21,18.25
2024-11-22,17.96
2024-11-25,17.85
2024-11-26,17.62
2024-11-27,17.75
2024-11-29,17.6
2024-12-02,17.7
2024-12-03,17.78
2024-12-04,17.9
2024-12-05,18.15
2024-12-06,18.17
2024-12-09,18.15
2024-12-10,18.2
2024-12-11,18.3
2024-12-12,18.37
2024-12-13,18.43
2024-12-16,18.55
2024-12-17,18.73
2024-12-18,20.05
2024-12-19,20.55
2024-12-20,20.77
2024-12-23,19.13
2024-12-24,18.2
2024-12-26,18.2
2024-12-27,18.67
2024-12-30,19.17
2024-12-31,18.82
2025-01-02,19.2
2025-01-03,18.68
2025-01-06,18.34
2025-01-07,18.74
2025-01-08,19.09
2025-01-09,19.0
2025-01-10,19.63
2025-01-13,19.98
