Trade Date,M:09 Y:13
2013-01-02,22.55
2013-01-03,22.55
2013-01-04,22.28
2013-01-07,22.38
2013-01-08,22.46
2013-01-09,22.12
2013-01-10,21.74
2013-01-11,21.62
2013-01-14,21.4
2013-01-15,21.35
2013-01-16,21.3
2013-01-17,21.08
2013-01-18,20.55
2013-01-22,19.75
2013-01-23,19.55
2013-01-24,19.4
2013-01-25,19.31
2013-01-28,19.25
2013-01-29,19.25
2013-01-30,19.48
2013-01-31,19.6
2013-02-01,19.48
2013-02-04,19.7
2013-02-05,19.55
2013-02-06,19.46
2013-02-07,19.4
2013-02-08,19.19
2013-02-11,18.99
2013-02-12,18.9
2013-02-13,18.87
2013-02-14,18.86
2013-02-15,19.03
2013-02-19,18.62
2013-02-20,19.02
2013-02-21,19.18
2013-02-22,18.92
2013-02-25,19.23
2013-02-26,19.27
2013-02-27,18.67
2013-02-28,18.92
2013-03-01,19.03
2013-03-04,18.82
2013-03-05,18.42
2013-03-06,18.32
2013-03-07,18.37
2013-03-08,18.23
2013-03-11,18.18
2013-03-12,18.34
2013-03-13,18.44
2013-03-14,18.38
2013-03-15,18.37
2013-03-18,18.64
2013-03-19,18.71
2013-03-20,18.7
2013-03-21,18.62
2013-03-22,18.74
2013-03-25,18.32
2013-03-26,18.33
2013-03-27,18.38
2013-03-28,18.42
2013-04-01,18.63
2013-04-02,18.37
2013-04-03,18.49
2013-04-04,18.4
2013-04-05,18.51
2013-04-08,18.12
2013-04-09,17.93
2013-04-10,17.72
2013-04-11,17.62
2013-04-12,17.41
2013-04-15,18.5
2013-04-16,17.73
2013-04-17,17.98
2013-04-18,18.6
2013-04-19,18.71
2013-04-22,18.12
2013-04-23,17.42
2013-04-24,17.43
2013-04-25,17.43
2013-04-26,17.48
2013-04-29,17.37
2013-04-30,17.22
2013-05-01,17.65
2013-05-02,17.5
2013-05-03,17.23
2013-05-06,16.98
2013-05-07,16.83
2013-05-08,16.93
2013-05-09,17.18
2013-05-10,17.27
2013-05-13,17.39
2013-05-14,17.33
2013-05-15,17.4
2013-05-16,17.56
2013-05-17,17.37
2013-05-20,17.58
2013-05-21,17.77
2013-05-22,17.72
2013-05-23,17.97
2013-05-24,17.93
2013-05-28,17.81
2013-05-29,17.76
2013-05-30,17.83
2013-05-31,18.33
2013-06-03,18.32
2013-06-04,18.37
2013-06-05,18.72
2013-06-06,18.53
2013-06-07,18.32
2013-06-10,18.07
2013-06-11,18.73
2013-06-12,19.33
2013-06-13,18.93
2013-06-14,19.38
2013-06-17,19.08
2013-06-18,18.97
2013-06-19,19.01
2013-06-20,20.03
2013-06-21,19.85
2013-06-24,20.8
2013-06-25,20.5
2013-06-26,20.35
2013-06-27,19.85
2013-06-28,19.81
2013-07-01,19.35
2013-07-02,19.45
2013-07-03,19.3
2013-07-05,18.7
2013-07-08,17.86
2013-07-09,17.75
2013-07-10,17.39
2013-07-11,17.15
2013-07-12,17.26
2013-07-15,16.9
2013-07-16,17.42
2013-07-17,16.93
2013-07-18,16.88
2013-07-19,16.48
2013-07-22,16.18
2013-07-23,16.12
2013-07-24,16.17
2013-07-25,15.87
2013-07-26,15.83
2013-07-29,15.93
2013-07-30,15.68
2013-07-31,15.38
2013-08-01,15.02
2013-08-02,14.62
2013-08-05,14.43
2013-08-06,14.82
2013-08-07,15.03
2013-08-08,14.81
2013-08-09,15.17
2013-08-12,14.96
2013-08-13,14.88
2013-08-14,15.13
2013-08-15,15.71
2013-08-16,15.57
2013-08-19,15.93
2013-08-20,15.64
2013-08-21,16.08
2013-08-22,15.43
2013-08-23,15.18
2013-08-26,15.84
2013-08-27,17.2
2013-08-28,17.34
2013-08-29,17.32
2013-08-30,17.47
2013-09-03,16.82
2013-09-04,16.69
2013-09-05,16.37
2013-09-06,16.49
2013-09-09,15.78
2013-09-10,15.13
2013-09-11,14.53
2013-09-12,14.78
2013-09-13,14.77
2013-09-16,14.68
2013-09-17,14.61
2013-09-18,
