Trade Date,M:11 Y:17
2017-02-21,
2017-02-22,18.24
2017-02-23,18.35
2017-02-24,18.5
2017-02-27,18.3
2017-02-28,18.25
2017-03-01,18.1
2017-03-02,18.2
2017-03-03,18.05
2017-03-06,17.98
2017-03-07,17.95
2017-03-08,17.95
2017-03-09,18.0
2017-03-10,18.01
2017-03-13,17.84
2017-03-14,17.95
2017-03-15,17.82
2017-03-16,17.7
2017-03-17,17.55
2017-03-20,17.6
2017-03-21,17.8
2017-03-22,17.83
2017-03-23,17.94
2017-03-24,17.7
2017-03-27,17.5
2017-03-28,17.29
2017-03-29,17.1
2017-03-30,17.0
2017-03-31,17.03
2017-04-03,17.05
2017-04-04,16.82
2017-04-05,17.0
2017-04-06,16.78
2017-04-07,16.95
2017-04-10,17.07
2017-04-11,17.15
2017-04-12,17.18
2017-04-13,17.34
2017-04-17,16.85
2017-04-18,16.89
2017-04-19,16.87
2017-04-20,16.87
2017-04-21,16.7
2017-04-24,16.38
2017-04-25,16.05
2017-04-26,16.09
2017-04-27,16.15
2017-04-28,16.1
2017-05-01,15.71
2017-05-02,15.75
2017-05-03,15.9
2017-05-04,15.8
2017-05-05,15.95
2017-05-08,16.0
2017-05-09,16.0
2017-05-10,16.1
2017-05-11,16.13
2017-05-12,16.25
2017-05-15,16.15
2017-05-16,16.18
2017-05-17,16.7
2017-05-18,16.75
2017-05-19,16.23
2017-05-22,16.05
2017-05-23,16.2
2017-05-24,16.15
2017-05-25,16.15
2017-05-26,16.15
2017-05-30,15.88
2017-05-31,15.9
2017-06-01,15.76
2017-06-02,15.85
2017-06-05,15.8
2017-06-06,15.95
2017-06-07,15.92
2017-06-08,15.76
2017-06-09,15.75
2017-06-12,15.75
2017-06-13,15.6
2017-06-14,15.5
2017-06-15,15.59
2017-06-16,15.4
2017-06-19,15.31
2017-06-20,15.2
2017-06-21,15.16
2017-06-22,15.16
2017-06-23,15.12
2017-06-26,14.83
2017-06-27,14.89
2017-06-28,14.83
2017-06-29,14.87
2017-06-30,14.93
2017-07-03,15.1
2017-07-05,15.1
2017-07-06,15.3
2017-07-07,15.3
2017-07-10,15.0
2017-07-11,14.83
2017-07-12,14.62
2017-07-13,14.6
2017-07-14,14.2
2017-07-17,14.2
2017-07-18,14.25
2017-07-19,14.15
2017-07-20,14.05
2017-07-21,14.0
2017-07-24,13.9
2017-07-25,13.95
2017-07-26,13.92
2017-07-27,13.82
2017-07-28,13.83
2017-07-31,13.68
2017-08-01,13.55
2017-08-02,13.7
2017-08-03,13.85
2017-08-04,13.98
2017-08-07,13.87
2017-08-08,14.18
2017-08-09,14.3
2017-08-10,15.4
2017-08-11,15.75
2017-08-14,14.3
2017-08-15,14.45
2017-08-16,14.2
2017-08-17,15.25
2017-08-18,15.35
2017-08-21,14.95
2017-08-22,14.25
2017-08-23,14.65
2017-08-24,14.54
2017-08-25,14.45
2017-08-28,14.35
2017-08-29,14.43
2017-08-30,14.5
2017-08-31,14.2
2017-09-01,14.25
2017-09-05,14.47
2017-09-06,14.72
2017-09-07,14.68
2017-09-08,14.9
2017-09-11,14.4
2017-09-12,14.13
2017-09-13,13.74
2017-09-14,13.75
2017-09-15,13.65
2017-09-18,13.25
2017-09-19,13.27
2017-09-20,13.18
2017-09-21,13.26
2017-09-22,13.4
2017-09-25,13.35
2017-09-26,13.27
2017-09-27,13.26
2017-09-28,13.1
2017-09-29,13.0
2017-10-02,12.7
2017-10-03,12.75
2017-10-04,12.8
2017-10-05,12.45
2017-10-06,12.5
2017-10-09,12.6
2017-10-10,12.3
2017-10-11,12.18
2017-10-12,12.07
2017-10-13,11.85
2017-10-16,11.68
2017-10-17,11.7
2017-10-18,11.6
2017-10-19,11.5
2017-10-20,11.35
2017-10-23,11.8
2017-10-24,11.94
2017-10-25,12.0
2017-10-26,12.1
2017-10-27,11.45
2017-10-30,11.59
2017-10-31,11.27
2017-11-01,11.4
2017-11-02,11.15
2017-11-03,10.95
2017-11-06,10.75
2017-11-07,10.88
2017-11-08,10.87
2017-11-09,11.11
2017-11-10,11.57
2017-11-13,11.63
2017-11-14,12.02
2017-11-15,13.05
