Trade Date,Aug24
2023-11-20,18.85
2023-11-21,18.85
2023-11-22,18.8
2023-11-24,19.07
2023-11-27,18.89
2023-11-28,18.75
2023-11-29,18.96
2023-11-30,18.9
2023-12-01,18.85
2023-12-04,19.05
2023-12-05,19.05
2023-12-06,18.95
2023-12-07,18.95
2023-12-08,18.85
2023-12-11,18.55
2023-12-12,18.2
2023-12-13,18.1
2023-12-14,17.95
2023-12-15,18.0
2023-12-18,18.0
2023-12-19,18.35
2023-12-20,19.01
2023-12-21,18.85
2023-12-22,18.95
2023-12-26,18.76
2023-12-27,18.6
2023-12-28,18.3
2023-12-29,18.35
2024-01-02,18.5
2024-01-03,18.57
2024-01-04,18.45
2024-01-05,18.52
2024-01-08,18.05
2024-01-09,17.95
2024-01-10,17.6
2024-01-11,17.81
2024-01-12,17.68
2024-01-16,18.08
2024-01-17,18.35
2024-01-18,18.14
2024-01-19,17.8
2024-01-22,17.5
2024-01-23,17.25
2024-01-24,17.2
2024-01-25,17.3
2024-01-26,17.35
2024-01-29,17.35
2024-01-30,17.35
2024-01-31,17.75
2024-02-01,17.72
2024-02-02,17.61
2024-02-05,17.77
2024-02-06,17.45
2024-02-07,17.3
2024-02-08,17.4
2024-02-09,17.4
2024-02-12,17.7
2024-02-13,18.52
2024-02-14,17.9
2024-02-15,17.87
2024-02-16,17.85
2024-02-20,18.1
2024-02-21,17.95
2024-02-22,17.65
2024-02-23,17.6
2024-02-26,17.38
2024-02-27,17.25
2024-02-28,17.35
2024-02-29,17.35
2024-03-01,17.31
2024-03-04,17.47
2024-03-05,17.93
2024-03-06,17.8
2024-03-07,17.85
2024-03-08,18.32
2024-03-11,18.2
2024-03-12,18.11
2024-03-13,17.8
2024-03-14,18.32
2024-03-15,18.5
2024-03-18,18.16
2024-03-19,18.08
2024-03-20,17.86
2024-03-21,17.62
2024-03-22,17.67
2024-03-25,17.75
2024-03-26,17.55
2024-03-27,17.55
2024-03-28,17.5
2024-04-01,17.62
2024-04-02,17.98
2024-04-03,17.87
2024-04-04,18.08
2024-04-05,18.15
2024-04-08,18.15
2024-04-09,17.95
2024-04-10,18.15
2024-04-11,18.26
2024-04-12,18.72
2024-04-15,18.98
2024-04-16,19.25
2024-04-17,18.78
2024-04-18,18.51
2024-04-19,19.6
2024-04-22,18.45
2024-04-23,17.52
2024-04-24,17.37
2024-04-25,17.65
2024-04-26,17.05
2024-04-29,17.05
2024-04-30,17.05
2024-05-01,17.25
2024-05-02,17.18
2024-05-03,16.68
2024-05-06,16.38
2024-05-07,16.08
2024-05-08,16.05
2024-05-09,15.95
2024-05-10,15.8
2024-05-13,15.78
2024-05-14,15.82
2024-05-15,15.55
2024-05-16,15.3
2024-05-17,15.27
2024-05-20,15.05
2024-05-21,15.1
2024-05-22,15.25
2024-05-23,15.4
2024-05-24,15.32
2024-05-28,15.3
2024-05-29,15.6
2024-05-30,15.7
2024-05-31,15.63
2024-06-03,15.45
2024-06-04,15.45
2024-06-05,15.3
2024-06-06,15.2
2024-06-07,15.27
2024-06-10,15.22
2024-06-11,15.18
2024-06-12,15.0
2024-06-13,15.05
2024-06-14,15.4
2024-06-17,15.45
2024-06-18,15.35
2024-06-20,15.77
2024-06-21,15.95
2024-06-24,15.58
2024-06-25,15.35
2024-06-26,15.1
2024-06-27,15.0
2024-06-28,14.95
2024-07-01,14.95
2024-07-02,14.6
2024-07-03,14.4
2024-07-05,14.5
2024-07-08,14.41
2024-07-09,14.3
2024-07-10,14.25
2024-07-11,14.45
2024-07-12,14.25
2024-07-15,14.3
2024-07-16,14.35
2024-07-17,15.05
2024-07-18,15.5
2024-07-19,16.15
2024-07-22,16.2
2024-07-23,15.4
2024-07-24,17.25
2024-07-25,17.95
2024-07-26,17.15
2024-07-29,16.36
2024-07-30,17.1
2024-07-31,16.65
2024-08-01,18.2
2024-08-02,23.0
2024-08-05,37.1
2024-08-06,30.72
2024-08-07,25.95
2024-08-08,26.07
2024-08-09,23.0
2024-08-12,19.85
2024-08-13,19.74
2024-08-14,17.9
2024-08-15,16.5
2024-08-16,15.8
2024-08-19,15.9
2024-08-20,16.0
2024-08-21,16.2
