Trade Date,M:07 Y:13
2013-01-02,21.43
2013-01-03,21.39
2013-01-04,21.11
2013-01-07,21.17
2013-01-08,21.14
2013-01-09,20.88
2013-01-10,20.59
2013-01-11,20.48
2013-01-14,20.28
2013-01-15,20.28
2013-01-16,20.07
2013-01-17,19.78
2013-01-18,19.12
2013-01-22,18.55
2013-01-23,18.26
2013-01-24,18.19
2013-01-25,18.08
2013-01-28,18.18
2013-01-29,18.02
2013-01-30,18.37
2013-01-31,18.47
2013-02-01,18.42
2013-02-04,18.55
2013-02-05,18.47
2013-02-06,18.28
2013-02-07,18.22
2013-02-08,17.96
2013-02-11,17.77
2013-02-12,17.7
2013-02-13,17.61
2013-02-14,17.68
2013-02-15,17.74
2013-02-19,17.26
2013-02-20,17.78
2013-02-21,17.94
2013-02-22,17.7
2013-02-25,18.3
2013-02-26,18.32
2013-02-27,17.67
2013-02-28,17.93
2013-03-01,18.04
2013-03-04,17.74
2013-03-05,17.37
2013-03-06,17.43
2013-03-07,17.41
2013-03-08,17.28
2013-03-11,17.14
2013-03-12,17.28
2013-03-13,17.37
2013-03-14,17.22
2013-03-15,17.33
2013-03-18,17.65
2013-03-19,17.63
2013-03-20,17.47
2013-03-21,17.63
2013-03-22,17.6
2013-03-25,17.34
2013-03-26,17.24
2013-03-27,17.28
2013-03-28,17.33
2013-04-01,17.47
2013-04-02,17.12
2013-04-03,17.29
2013-04-04,17.21
2013-04-05,17.22
2013-04-08,16.76
2013-04-09,16.67
2013-04-10,16.31
2013-04-11,16.29
2013-04-12,15.96
2013-04-15,17.55
2013-04-16,16.33
2013-04-17,17.13
2013-04-18,17.86
2013-04-19,17.51
2013-04-22,16.93
2013-04-23,16.35
2013-04-24,16.21
2013-04-25,16.25
2013-04-26,16.37
2013-04-29,16.27
2013-04-30,16.22
2013-05-01,16.66
2013-05-02,16.37
2013-05-03,16.16
2013-05-06,15.86
2013-05-07,15.76
2013-05-08,15.91
2013-05-09,16.22
2013-05-10,16.16
2013-05-13,16.16
2013-05-14,16.06
2013-05-15,16.2
2013-05-16,16.3
2013-05-17,16.11
2013-05-20,16.21
2013-05-21,16.45
2013-05-22,16.39
2013-05-23,16.53
2013-05-24,16.47
2013-05-28,16.32
2013-05-29,16.39
2013-05-30,16.52
2013-05-31,17.11
2013-06-03,16.98
2013-06-04,17.07
2013-06-05,17.66
2013-06-06,17.23
2013-06-07,16.88
2013-06-10,16.68
2013-06-11,17.56
2013-06-12,18.53
2013-06-13,17.69
2013-06-14,18.28
2013-06-17,17.78
2013-06-18,17.63
2013-06-19,17.54
2013-06-20,19.59
2013-06-21,18.98
2013-06-24,20.12
2013-06-25,19.42
2013-06-26,18.83
2013-06-27,18.16
2013-06-28,18.03
2013-07-01,17.65
2013-07-02,17.58
2013-07-03,17.21
2013-07-05,15.9
2013-07-08,15.34
2013-07-09,15.08
2013-07-10,14.81
2013-07-11,14.46
2013-07-12,14.63
2013-07-15,14.02
2013-07-16,14.21
2013-07-17,
