Trade Date,M:10 Y:21
2021-01-25,
2021-01-26,
2021-01-27,28.8
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,27.9
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,28.7
2021-02-12,
2021-02-16,28.91
2021-02-17,29.4
2021-02-18,29.4
2021-02-19,29.4
2021-02-22,29.65
2021-02-23,29.24
2021-02-24,28.55
2021-02-25,29.2
2021-02-26,28.9
2021-03-01,27.95
2021-03-02,28.5
2021-03-03,28.77
2021-03-04,29.12
2021-03-05,28.35
2021-03-08,28.55
2021-03-09,28.55
2021-03-10,28.3
2021-03-11,28.1
2021-03-12,28.15
2021-03-15,27.88
2021-03-16,27.75
2021-03-17,27.15
2021-03-18,27.2
2021-03-19,27.5
2021-03-22,26.35
2021-03-23,26.4
2021-03-24,26.45
2021-03-25,26.2
2021-03-26,25.81
2021-03-29,25.55
2021-03-30,25.08
2021-03-31,24.95
2021-04-01,24.55
2021-04-05,24.27
2021-04-06,24.25
2021-04-07,23.9
2021-04-08,23.95
2021-04-09,24.15
2021-04-12,23.95
2021-04-13,24.2
2021-04-14,24.35
2021-04-15,24.3
2021-04-16,24.21
2021-04-19,24.49
2021-04-20,25.05
2021-04-21,24.7
2021-04-22,25.1
2021-04-23,24.9
2021-04-26,24.7
2021-04-27,24.35
2021-04-28,24.25
2021-04-29,24.4
2021-04-30,24.67
2021-05-03,24.3
2021-05-04,24.7
2021-05-05,24.35
2021-05-06,24.35
2021-05-07,23.82
2021-05-10,24.3
2021-05-11,25.15
2021-05-12,26.6
2021-05-13,25.5
2021-05-14,23.97
2021-05-17,24.42
2021-05-18,25.15
2021-05-19,25.55
2021-05-20,24.8
2021-05-21,24.6
2021-05-24,24.0
2021-05-25,24.12
2021-05-26,23.66
2021-05-27,23.05
2021-05-28,23.17
2021-06-01,23.23
2021-06-02,23.45
2021-06-03,23.7
2021-06-04,23.15
2021-06-07,22.84
2021-06-08,22.95
2021-06-09,23.06
2021-06-10,22.27
2021-06-11,21.95
2021-06-14,22.25
2021-06-15,22.3
2021-06-16,22.61
2021-06-17,22.3
2021-06-18,23.25
2021-06-21,22.75
2021-06-22,22.09
2021-06-23,21.82
2021-06-24,21.65
2021-06-25,21.65
2021-06-28,21.6
2021-06-29,21.75
2021-06-30,21.86
2021-07-01,21.72
2021-07-02,21.7
2021-07-06,21.9
2021-07-07,21.9
2021-07-08,22.6
2021-07-09,22.0
2021-07-12,22.02
2021-07-13,22.4
2021-07-14,22.2
2021-07-15,22.3
2021-07-16,22.5
2021-07-19,23.46
2021-07-20,23.4
2021-07-21,22.43
2021-07-22,22.3
2021-07-23,22.5
2021-07-26,22.4
2021-07-27,23.05
2021-07-28,22.8
2021-07-29,22.7
2021-07-30,22.86
2021-08-02,23.33
2021-08-03,22.95
2021-08-04,22.75
2021-08-05,22.37
2021-08-06,21.88
2021-08-09,21.8
2021-08-10,21.68
2021-08-11,21.27
2021-08-12,20.66
2021-08-13,20.9
2021-08-16,21.07
2021-08-17,21.85
2021-08-18,22.8
2021-08-19,23.2
2021-08-20,22.16
2021-08-23,21.43
2021-08-24,21.55
2021-08-25,21.28
2021-08-26,21.97
2021-08-27,21.25
2021-08-30,20.95
2021-08-31,20.9
2021-09-01,20.45
2021-09-02,20.51
2021-09-03,20.45
2021-09-07,20.91
2021-09-08,21.13
2021-09-09,21.33
2021-09-10,21.91
2021-09-13,21.3
2021-09-14,21.45
2021-09-15,20.79
2021-09-16,20.7
2021-09-17,22.35
2021-09-20,24.75
2021-09-21,23.95
2021-09-22,21.95
2021-09-23,20.6
2021-09-24,19.8
2021-09-27,20.4
2021-09-28,22.85
2021-09-29,22.73
2021-09-30,22.79
2021-10-01,21.56
2021-10-04,22.69
2021-10-05,21.55
2021-10-06,21.25
2021-10-07,20.1
2021-10-08,20.0
2021-10-11,20.15
2021-10-12,20.12
2021-10-13,19.3
2021-10-14,17.7
2021-10-15,17.15
2021-10-18,16.85
2021-10-19,16.05
2021-10-20,15.8
