Trade Date,M:04 Y:25
2024-07-22,
2024-07-23,18.95
2024-07-24,19.18
2024-07-25,19.29
2024-07-26,18.9
2024-07-29,18.75
2024-07-30,18.9
2024-07-31,18.6
2024-08-01,19.22
2024-08-02,20.65
2024-08-05,24.0
2024-08-06,21.77
2024-08-07,22.0
2024-08-08,
2024-08-09,20.09
2024-08-12,19.3
2024-08-13,18.85
2024-08-14,18.45
2024-08-15,18.45
2024-08-16,18.5
2024-08-19,18.65
2024-08-20,18.87
2024-08-21,18.8
2024-08-22,19.15
2024-08-23,18.81
2024-08-26,18.55
2024-08-27,18.4
2024-08-28,18.55
2024-08-29,18.65
2024-08-30,18.44
2024-09-03,19.53
2024-09-04,19.9
2024-09-05,19.46
2024-09-06,20.45
2024-09-09,19.66
2024-09-10,19.59
2024-09-11,18.94
2024-09-12,18.95
2024-09-13,19.01
2024-09-16,19.1
2024-09-17,19.07
2024-09-18,18.99
2024-09-19,18.5
2024-09-20,18.77
2024-09-23,18.85
2024-09-24,18.76
2024-09-25,18.84
2024-09-26,18.83
2024-09-27,19.3
2024-09-30,19.1
2024-10-01,19.64
2024-10-02,19.55
2024-10-03,19.91
2024-10-04,19.55
2024-10-07,20.22
2024-10-08,19.7
2024-10-09,19.41
2024-10-10,19.37
2024-10-11,19.3
2024-10-14,18.75
2024-10-15,18.85
2024-10-16,18.8
2024-10-17,18.74
2024-10-18,18.51
2024-10-21,18.46
2024-10-22,18.42
2024-10-23,18.76
2024-10-24,18.72
2024-10-25,19.07
2024-10-28,18.61
2024-10-29,18.62
2024-10-30,18.87
2024-10-31,19.59
2024-11-01,19.57
2024-11-04,19.22
2024-11-05,18.6
2024-11-06,18.05
2024-11-07,17.82
2024-11-08,17.66
2024-11-11,17.56
2024-11-12,17.76
2024-11-13,17.66
2024-11-14,17.71
2024-11-15,17.97
2024-11-18,17.7
2024-11-19,17.8
2024-11-20,17.8
2024-11-21,17.83
2024-11-22,17.58
2024-11-25,17.33
2024-11-26,17.29
2024-11-27,17.33
2024-11-29,17.21
2024-12-02,17.26
2024-12-03,17.32
2024-12-04,17.53
2024-12-05,17.75
2024-12-06,17.58
2024-12-09,17.77
2024-12-10,17.8
2024-12-11,17.87
2024-12-12,17.98
2024-12-13,17.99
2024-12-16,18.15
2024-12-17,18.35
2024-12-18,19.85
2024-12-19,20.41
2024-12-20,18.88
2024-12-23,18.01
2024-12-24,17.5
2024-12-26,17.65
2024-12-27,18.13
2024-12-30,18.41
2024-12-31,18.26
2025-01-02,18.51
2025-01-03,18.0
2025-01-06,17.92
2025-01-07,18.47
2025-01-08,18.6
2025-01-09,18.71
2025-01-10,19.5
2025-01-13,19.28
2025-01-14,19.02
2025-01-15,18.3
2025-01-16,18.22
2025-01-17,18.21
